GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4,N2O,HFCs(1) (kt CO2 equivalent),PFCs(1),Unspecified mix of HFCs and PFCs(1),SF6 (kt),NF3,NOx,CO,NMVOC,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Year,Level,Parent_Sector
Total national emissions and removals,597922.1096053956,5412.773361828221,151.4358931095106,13102.55620347052,617.6405516478967,"NO,NE",0.05827520672488,9.57327306e-06,2733.0432180452694,7488.4492609391855,2625.7373044117826,3429.07816152208,1992,Subsector,CO2 captured
1. Energy,552920.4130407373,1498.6733222588928,12.06596797736782,,,,,,2644.2903070310686,6706.935615567613,1641.700598760675,3341.666222359019,1992,Subsector,CO2 captured
A. Fuel combustion     Reference approach(2),551017.7827981057,,,,,,,,,,,,1992,Subsector,CO2 captured
                                           Sectoral approach(2),546476.2099848527,127.43002771434573,11.91851692422838,,,,,,2640.3450324470127,6657.245871287686,1030.642964361028,3325.129483315901,1992,Subsector,CO2 captured
1.  Energy industries,224541.45163845716,9.50191435455435,4.61697502670495,,,,,,732.8663724285284,136.91391752522932,9.1740491045002,2447.5364299619487,1992,Subsector,CO2 captured
2.  Manufacturing industries and construction                          ,76523.4505846677,4.2362424306715,0.9758305905451,,,,,,320.5805690345089,513.8223314699582,28.54698904746759,500.07978797238127,1992,Subsector,CO2 captured
3.  Transport,120729.88080780614,49.61701991694057,4.87281852405445,,,,,,1315.4040642565185,4953.847799865873,900.7644982565134,146.3577886105852,1992,Subsector,CO2 captured
4.  Other sectors,120586.33536095692,63.97071973156307,1.3033324926728,,,,,,236.68280452928303,1044.064465796699,90.47387071322129,220.6241314174237,1992,Subsector,CO2 captured
5.  Other,4095.09159296483,0.10413128061624,0.14956029025108,,,,,,34.8112221981737,8.5973566299274,1.68355723932545,10.53134535356201,1992,Subsector,CO2 captured
B. Fugitive emissions from fuels,6444.203055884522,1371.243294544547,0.14745105313944,,,,,,3.9452745840561,49.68974427992703,611.0576343996469,16.5367390431181,1992,Subsector,CO2 captured
1.  Solid fuels,1122.5609233797313,890.3646176577033,8.8452e-05,,,,,,0.33204674857323,33.1687950483573,202.25181657264056,16.03521230661977,1992,Subsector,CO2 captured
2.  Oil and natural gas and other emissions from energy production,5321.64213250479,480.87867688684366,0.14736260113944,,,,,,3.61322783548287,16.52094923156973,408.80581782700636,0.50152673649833,1992,Subsector,CO2 captured
C. CO2 Transport and storage,NO,,,,,,,,,,,,1992,Subsector,CO2 captured
2.  Industrial processes and product use,39962.87757134683,11.88387041449758,67.88775016961074,13102.55620347052,617.6405516478967,"NO,NE",0.05827520672488,9.57327306e-06,41.18476214930466,602.212586876618,848.3232276998024,79.15578039412493,1992,Subsector,CO2 captured
A.  Mineral industry,7976.125129490574,,,,,,,,NO,3.84656961592554,3.52528340750278,10.2352408026389,1992,Subsector,CO2 captured
B.  Chemical industry,7456.115937121439,9.44111304449843,65.80519170619417,13046.102657772539,16.1620677446289,NO,NO,NO,17.23880980192104,87.59897189393804,154.1278686598326,37.08677645541578,1992,Subsector,CO2 captured
C.  Metal industry,23019.003962862444,1.53954961906062,0.06596969875409,NO,513.1553970238398,,0.01698125,,22.33181045424363,497.66817255448456,4.14256051426168,27.15558354402754,1992,Subsector,CO2 captured
D.  Non-energy products from fuels and solvent use ,1511.6325418723688,"NO,IE","NO,NE,IE",,,,,,"NO,IE","NO,IE",597.0756680295763,1.78608900576272,1992,Subsector,CO2 captured
E.  Electronic industry ,,,,6.52491267030939,"NO,NE,IE","NO,NE","NO,NE,IE",9.57327306e-06,,,,,1992,Subsector,CO2 captured
F.  Product uses as substitutes for ODS,,,,49.92863302767309,NO,,,,,,,,1992,Subsector,CO2 captured
G.  Other product manufacture and use ,NO,NO,2.01658876466249,,88.32308687942798,,0.04129395672488,,0.1680966,5.1456237,0.45199308,NO,1992,Subsector,CO2 captured
H.  Other(3),"IE,NE,NO",0.90320775093853,NO,,,,,,1.44604529313999,7.95324911226997,88.99985400862911,2.89209058627999,1992,Subsector,CO2 captured
Note: All footnotes for this table are given at the end of the table on sheet 3.,,,,,,,,,,,,,1992,Subsector,CO2 captured
