GREENHOUSE GAS SOURCE AND SINK CATEGORIES,CO2 (kt),CH4,N2O,HFCs (1) (kt CO2 equivalent),PFCs(1),Unspecified mix of HFCs and PFCs(1),SF6 (kt),NF3,NOx,CO,NMVOC,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Year,Level,Parent_Sector
3.  Agriculture,1312.915065421947,1172.9264618307725,62.92123886438919,,,,,,44.62385404001178,191.23846463425443,119.06686810928694,1.30183363981021,1990,Subsector,CO2 emissions from biomass
A.  Enteric fermentation,,988.5792854152403,,,,,,,,,,,1990,Subsector,CO2 emissions from biomass
B.  Manure management,,165.93408129716465,11.46756402078032,,,,,,,,72.56304331602252,,1990,Subsector,CO2 emissions from biomass
C.  Rice cultivation,,NO,,,,,,,,,NO,,1990,Subsector,CO2 emissions from biomass
D.  Agricultural soils,,NE,50.67324186235371,,,,,,36.24149455939841,NE,42.86817685184901,,1990,Subsector,CO2 emissions from biomass
E.  Prescribed burning of savannas,,NO,NO,,,,,,NO,NO,NO,,1990,Subsector,CO2 emissions from biomass
F.  Field burning of agricultural residues,,7.46282683056716,0.1934806956073,,,,,,6.43739418448167,190.7731691194494,3.62680217539734,,1990,Subsector,CO2 emissions from biomass
G. Liming,1016.4167639794517,,,,,,,,,,,,1990,Subsector,CO2 emissions from biomass
H. Urea application,292.9543696691042,,,,,,,,,,,,1990,Subsector,CO2 emissions from biomass
I.  Other carbon-contining fertilizers,NO,,,,,,,,,,,,1990,Subsector,CO2 emissions from biomass
J.  Other ,3.54393177339109,10.9502682878003,0.58695228564786,,,,,,1.9449652961317,0.46529551480505,0.00884576601808,1.30183363981021,1990,Subsector,CO2 emissions from biomass
"4.  Land use, land-use change and forestry  (4)",3671.103523583243,198.97047038452743,7.20830433478355,,,,,,0.85579978391276,18.76391414835045,NO,NO,1990,Subsector,CO2 emissions from biomass
A. Forest land (4),-13940.1560393277,3.55322414450354,1.65640375353389,,,,,,0.09434438909754,3.47181261074727,NO,,1990,Subsector,CO2 emissions from biomass
B. Cropland (4),14230.876954181369,11.87016846889981,2.46509349029626,,,,,,0.00350677394965,0.12716727643567,NO,,1990,Subsector,CO2 emissions from biomass
C. Grassland (4),-618.7529639992829,100.25169886799863,0.08677754963568,,,,,,0.6644339800972,11.82957874042895,NO,,1990,Subsector,CO2 emissions from biomass
D. Wetlands (4),668.771306501126,82.6157463124651,0.07130350057994,,,,,,NO,NO,NO,,1990,Subsector,CO2 emissions from biomass
E. Settlements (4),5426.53467899998,0.14650627053711,1.47876170366521,,,,,,0.09351464076837,3.33535552073856,NO,,1990,Subsector,CO2 emissions from biomass
F. Other land (4),NO,NO,NO,,,,,,NO,NO,NO,,1990,Subsector,CO2 emissions from biomass
G. Harvested wood products ,-2096.170412772249,,,,,,,,,,,,1990,Subsector,CO2 emissions from biomass
H. Other  (4),"NO,IE",0.53312632012323,0.42378365267333,,,,,,NO,NO,NO,NO,1990,Subsector,CO2 emissions from biomass
5.  Waste,1445.1711054254847,2508.3689637134266,3.2836697786173,,,,,,6.73635357389768,37.6293114946466,18.93838598210195,7.730869915973,1990,Subsector,CO2 emissions from biomass
A.  Solid waste disposal (5),"NO,NE",2415.476830752694,,,,,,,"NO,NE","NO,NE",8.96962610272054,,1990,Subsector,CO2 emissions from biomass
B.  Biological treatment of solid waste (5),,0.78179388894899,0.04665065472522,,,,,,NE,NE,NE,,1990,Subsector,CO2 emissions from biomass
C.  Incineration and open burning of waste (5),1445.1711054254847,7.63512171144274,0.23184927271014,,,,,,6.73635357389768,37.6293114946466,9.60860435333234,7.730869915973,1990,Subsector,CO2 emissions from biomass
D.  Wastewater treatment and discharge,,84.47521736034132,3.00516985118194,,,,,,"NO,NE","NO,NE",0.36015552604907,,1990,Subsector,CO2 emissions from biomass
E.  Other (5),NO,NO,NO,,,,,,NO,NO,NO,NO,1990,Subsector,CO2 emissions from biomass
6.  Other   (please specify)(6),NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,1990,Subsector,CO2 emissions from biomass
Note: All footnotes for this table are given at the end of the table on sheet 3.,,,,,,,,,,,,,1990,Subsector,CO2 emissions from biomass
