GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),Sheet,Country,Year,Level
International bunkers,455.94549,0.00318843,0.01275372,Summary1.As3,BELARUS,2018,Sector
CO2 emissions from biomass,4612.416782400001,,,Summary1.As3,BELARUS,2018,Sector
Indirect N2O,,,6.117989929,Summary1.As3,BELARUS,2018,Sector
