GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt),Sheet,Country,Year,Level
1. Energy,54608.447518717476,122.76653684628486,1.8650807442,,,,Summary1.As1,BELARUS,2009,Sector
2.  Industrial processes and product use,4744.523921400139,2.744394,2.30048781224394,65.26592135912885,16.61550383239742,0.000248646232,Summary1.As1,BELARUS,2009,Sector
