GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt),Sheet,Country,Year,Level
1. Energy,40125.36512881684,12.33155625016211,1.881169553,,,,Summary1.As1,FINLAND,2017,Sector
2.  Industrial processes and product use,4339.97939808155,0.1529142766,0.86375443044028,1064.0475580412237,1.49787368064139,0.001087559875,Summary1.As1,FINLAND,2017,Sector
