SUMMARY 1.A  SUMMARY REPORT FOR NATIONAL GREENHOUSE GAS INVENTORIES,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Inventory 1990,SUMMARY 1.A SUMMARY REPORT FOR NATIONAL GREENHOUSE GAS INVENTORIES (IPCC TABLE 7A)
G. Harvested wood products ,-2096.170412772249,,,,,,,,,,,,
H. Other  (4),"NO,IE",0.53312632012323,0.42378365267333,,,,,,NO,NO,NO,NO,
5.  Waste,1445.1711054254847,2508.3689637134266,3.2836697786173,,,,,,6.73635357389768,37.6293114946466,18.93838598210195,7.730869915973,
A.  Solid waste disposal (5),"NO,NE",2415.476830752694,,,,,,,"NO,NE","NO,NE",8.96962610272054,,
B.  Biological treatment of solid waste (5),,0.78179388894899,0.04665065472522,,,,,,NE,NE,NE,,
C.  Incineration and open burning of waste (5),1445.1711054254847,7.63512171144274,0.23184927271014,,,,,,6.73635357389768,37.6293114946466,9.60860435333234,7.730869915973,
D.  Wastewater treatment and discharge,,84.47521736034132,3.00516985118194,,,,,,"NO,NE","NO,NE",0.36015552604907,,
E.  Other (5),NO,NO,NO,,,,,,NO,NO,NO,NO,
6.  Other   (please specify)(6),NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
,,,,,,,,,,,,,
Note: All footnotes for this table are given at the end of the table on sheet 3.,,,,,,,,,,,,,
,,,,,,,,,,,,Submission 2023 v2,(Sheet 3 of 3)
,,,,,,,,,,,,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND,
,,,,,,,,,,,,,
,Net CO2,CH4,N2O,HFCs(1),PFCs(1),Unspecified mix of HFCs and PFCs(1),SF6,NF3,NOx,CO ,NMVOC,SO2,GREENHOUSE GAS SOURCE AND 
, emissions/removals,,,,,,,,,,,,SINK CATEGORIES
,(kt),,,(kt CO2 equivalent),,,(kt),,,,,,
,,,,,,,,,,,,,Memo items:(7)
,24271.88183065447,0.44290986744877,0.90837589239406,,,,,,286.88196827282457,28.73024913104538,13.15329069578696,143.2001811825171,International bunkers
,15390.61599457615,0.31000786325955,0.48864381283995,,,,,,68.55305090793883,20.03289545293062,6.48014869059573,2.93904729549216,Aviation
,8881.265836078323,0.13290200418922,0.41973207955411,,,,,,218.32891736488574,8.69735367811476,6.67314200519123,140.26113388702495,Navigation
,NE,NE,NE,,,,,,NE,NE,NE,NE,Multilateral operations
,3849.1392108948125,,,,,,,,,,,,CO2 emissions from biomass
,NO,,,,,,,,,,,,CO2 captured
,NE,,,,,,,,,,,,Long-term storage of C in waste disposal sites
,,,13.80953057549712,,,,,,,,,,Indirect N2O
,"NO,NE",,,,,,,,,,,,Indirect CO2
,,,,,,,,,,,,,
,,,,,,,,,,,,,"(1)   The emissions of hydrofluorocarbons (HFCs), perfluorocarbons (PFCs), unspecified mix of HFCs and PFCs and other fluorinated gases are to be expressed as carbon dioxide (CO2) equivalent emissions. Data on disaggregated emissions of HFCs and PFCs are to be provided in table 2(II) of this common reporting format."
,,,,,,,,,,,,,"(2)   For verification purposes, Parties are requested to report the results of their calculations using the Reference approach and to explain any differences with the Sectoral approach in the documentation box to table 1.A(c). For estimating national total emissions, the results from the Sectoral approach should be used."
,,,,,,,,,,,,,(3)   2.H. Other includes pulp and paper and food and beverages industry.
,,,,,,,,,,,,,"(4)  For the purposes of reporting, the signs for removals are always negative (-) and for emissions positive (+). "
,,,,,,,,,,,,,(5)   CO2 from categories solid waste disposal on land and waste incineration should only be included if it stems from non-biogenic or inorganic waste streams. Only emissions from  
,,,,,,,,,,,,,"waste incineration without energy recovery are to be reported in the waste sector, whereas emissions from incineration with energy recovery are to be reported in the energy sector."
,,,,,,,,,,,,,"(6)   If reporting any country-specific category under sector ""6. Other"", detailed explanations should be provided in Chapter 8: Other (CRF sector 6) of the national inventory report (NIR)."
,,,,,,,,,,,,,"(7)   Parties are asked to report emissions from international aviation and international navigation and multilateral operations, as well as CO2 emissions from biomass and CO2 captured, under Memo Items.  These emissions should not be included in the national total emissions from the energy sector.  Amounts of biomass used as fuel are included in the national energy consumption but the corresponding CO2 emissions  are not included in the national total as it is assumed that the biomass is produced in a sustainable manner.  If the biomass is harvested at an unsustainable rate, net CO2 emissions  are accounted for as a loss of biomass stocks in the Land Use, Land-use Change and Forestry sector. "
