Main_Category,Sub_Category,Detail_Category,Year,Sheet,GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Gas,Emissions_kt
Total national emissions and removals,Energy,A. Fuel combustion     Reference approach(2),1992,Summary1As1_Combined,A. Fuel combustion     Reference approach(2),Net CO2 emissions/removals (kt),551017.7827981057
Total national emissions and removals,Energy,                                           Sectoral approach(2),1992,Summary1As1_Combined,                                           Sectoral approach(2),Net CO2 emissions/removals (kt),546476.2099848527
Total national emissions and removals,Energy,1.  Energy industries,1992,Summary1As1_Combined,1.  Energy industries,Net CO2 emissions/removals (kt),224541.4516384572
Total national emissions and removals,Energy,2.  Manufacturing industries and construction                          ,1992,Summary1As1_Combined,2.  Manufacturing industries and construction                          ,Net CO2 emissions/removals (kt),76523.4505846677
Total national emissions and removals,Energy,3.  Transport,1992,Summary1As1_Combined,3.  Transport,Net CO2 emissions/removals (kt),120729.88080780614
Total national emissions and removals,Energy,4.  Other sectors,1992,Summary1As1_Combined,4.  Other sectors,Net CO2 emissions/removals (kt),120586.33536095692
Total national emissions and removals,Energy,5.  Other,1992,Summary1As1_Combined,5.  Other,Net CO2 emissions/removals (kt),4095.09159296483
Total national emissions and removals,Energy,B. Fugitive emissions from fuels,1992,Summary1As1_Combined,B. Fugitive emissions from fuels,Net CO2 emissions/removals (kt),6444.203055884522
Total national emissions and removals,Energy,1.  Solid fuels,1992,Summary1As1_Combined,1.  Solid fuels,Net CO2 emissions/removals (kt),1122.560923379731
Total national emissions and removals,Energy,2.  Oil and natural gas and other emissions from energy production,1992,Summary1As1_Combined,2.  Oil and natural gas and other emissions from energy production,Net CO2 emissions/removals (kt),5321.64213250479
2.  Industrial processes and product use,Industrial processes and product use,,1992,Summary1As1_Combined,2.  Industrial processes and product use,Net CO2 emissions/removals (kt),39962.87757134683
Total national emissions and removals,Industrial processes and product use,A.  Mineral industry,1992,Summary1As1_Combined,A.  Mineral industry,Net CO2 emissions/removals (kt),7976.125129490574
Total national emissions and removals,Industrial processes and product use,B.  Chemical industry,1992,Summary1As1_Combined,B.  Chemical industry,Net CO2 emissions/removals (kt),7456.115937121439
Total national emissions and removals,Industrial processes and product use,C.  Metal industry,1992,Summary1As1_Combined,C.  Metal industry,Net CO2 emissions/removals (kt),23019.003962862444
Total national emissions and removals,Industrial processes and product use,D.  Non-energy products from fuels and solvent use ,1992,Summary1As1_Combined,D.  Non-energy products from fuels and solvent use ,Net CO2 emissions/removals (kt),1511.6325418723688
Total national emissions and removals,Total national emissions and removals,,1993,Summary1As1_Combined,Total national emissions and removals,Net CO2 emissions/removals (kt),583385.0584462105
1. Energy,Energy,,1993,Summary1As1_Combined,1. Energy,Net CO2 emissions/removals (kt),539546.6466957834
Total national emissions and removals,Energy,A. Fuel combustion     Reference approach(2),1993,Summary1As1_Combined,A. Fuel combustion     Reference approach(2),Net CO2 emissions/removals (kt),532929.7716399181
Total national emissions and removals,Energy,                                           Sectoral approach(2),1993,Summary1As1_Combined,                                           Sectoral approach(2),Net CO2 emissions/removals (kt),532911.0132782923
Total national emissions and removals,Energy,1.  Energy industries,1993,Summary1As1_Combined,1.  Energy industries,Net CO2 emissions/removals (kt),208802.333708318
Total national emissions and removals,Energy,2.  Manufacturing industries and construction                          ,1993,Summary1As1_Combined,2.  Manufacturing industries and construction                          ,Net CO2 emissions/removals (kt),74066.51052749823
Total national emissions and removals,Energy,3.  Transport,1993,Summary1As1_Combined,3.  Transport,Net CO2 emissions/removals (kt),121998.99797121914
Total national emissions and removals,Energy,4.  Other sectors,1993,Summary1As1_Combined,4.  Other sectors,Net CO2 emissions/removals (kt),123894.8655016057
Total national emissions and removals,Energy,5.  Other,1993,Summary1As1_Combined,5.  Other,Net CO2 emissions/removals (kt),4148.30556965114
Total national emissions and removals,Energy,B. Fugitive emissions from fuels,1993,Summary1As1_Combined,B. Fugitive emissions from fuels,Net CO2 emissions/removals (kt),6635.633417491165
Total national emissions and removals,Energy,1.  Solid fuels,1993,Summary1As1_Combined,1.  Solid fuels,Net CO2 emissions/removals (kt),1022.2091415743452
Total national emissions and removals,Energy,2.  Oil and natural gas and other emissions from energy production,1993,Summary1As1_Combined,2.  Oil and natural gas and other emissions from energy production,Net CO2 emissions/removals (kt),5613.42427591682
2.  Industrial processes and product use,Industrial processes and product use,,1993,Summary1As1_Combined,2.  Industrial processes and product use,Net CO2 emissions/removals (kt),39558.08022770985
Total national emissions and removals,Industrial processes and product use,A.  Mineral industry,1993,Summary1As1_Combined,A.  Mineral industry,Net CO2 emissions/removals (kt),7965.099800860758
Total national emissions and removals,Industrial processes and product use,B.  Chemical industry,1993,Summary1As1_Combined,B.  Chemical industry,Net CO2 emissions/removals (kt),7425.547412528549
Total national emissions and removals,Industrial processes and product use,C.  Metal industry,1993,Summary1As1_Combined,C.  Metal industry,Net CO2 emissions/removals (kt),22471.20406027026
Total national emissions and removals,Industrial processes and product use,D.  Non-energy products from fuels and solvent use ,1993,Summary1As1_Combined,D.  Non-energy products from fuels and solvent use ,Net CO2 emissions/removals (kt),1696.2289540502811
Total national emissions and removals,Total national emissions and removals,,1994,Summary1As1_Combined,Total national emissions and removals,Net CO2 emissions/removals (kt),577002.1620812862
1. Energy,Energy,,1994,Summary1As1_Combined,1. Energy,Net CO2 emissions/removals (kt),531410.7662984238
Total national emissions and removals,Energy,A. Fuel combustion     Reference approach(2),1994,Summary1As1_Combined,A. Fuel combustion     Reference approach(2),Net CO2 emissions/removals (kt),524563.9573584192
Total national emissions and removals,Energy,                                           Sectoral approach(2),1994,Summary1As1_Combined,                                           Sectoral approach(2),Net CO2 emissions/removals (kt),523985.2463865404
Total national emissions and removals,Energy,1.  Energy industries,1994,Summary1As1_Combined,1.  Energy industries,Net CO2 emissions/removals (kt),204502.41875183812
Total national emissions and removals,Energy,2.  Manufacturing industries and construction                          ,1994,Summary1As1_Combined,2.  Manufacturing industries and construction                          ,Net CO2 emissions/removals (kt),73103.39220920968
Total national emissions and removals,Energy,3.  Transport,1994,Summary1As1_Combined,3.  Transport,Net CO2 emissions/removals (kt),123412.65892346363
Total national emissions and removals,Energy,4.  Other sectors,1994,Summary1As1_Combined,4.  Other sectors,Net CO2 emissions/removals (kt),119000.13779905609
Total national emissions and removals,Energy,5.  Other,1994,Summary1As1_Combined,5.  Other,Net CO2 emissions/removals (kt),3966.63870297274
Total national emissions and removals,Energy,B. Fugitive emissions from fuels,1994,Summary1As1_Combined,B. Fugitive emissions from fuels,Net CO2 emissions/removals (kt),7425.519911883423
Total national emissions and removals,Energy,1.  Solid fuels,1994,Summary1As1_Combined,1.  Solid fuels,Net CO2 emissions/removals (kt),791.7676864289202
Total national emissions and removals,Energy,2.  Oil and natural gas and other emissions from energy production,1994,Summary1As1_Combined,2.  Oil and natural gas and other emissions from energy production,Net CO2 emissions/removals (kt),6633.752225454503
2.  Industrial processes and product use,Industrial processes and product use,,1994,Summary1As1_Combined,2.  Industrial processes and product use,Net CO2 emissions/removals (kt),41887.94475758753
Total national emissions and removals,Industrial processes and product use,A.  Mineral industry,1994,Summary1As1_Combined,A.  Mineral industry,Net CO2 emissions/removals (kt),9075.512596453364
Total national emissions and removals,Industrial processes and product use,B.  Chemical industry,1994,Summary1As1_Combined,B.  Chemical industry,Net CO2 emissions/removals (kt),7715.727862139439
Total national emissions and removals,Industrial processes and product use,C.  Metal industry,1994,Summary1As1_Combined,C.  Metal industry,Net CO2 emissions/removals (kt),23456.046025778644
Total national emissions and removals,Industrial processes and product use,D.  Non-energy products from fuels and solvent use ,1994,Summary1As1_Combined,D.  Non-energy products from fuels and solvent use ,Net CO2 emissions/removals (kt),1640.658273216084
Total national emissions and removals,Total national emissions and removals,,1995,Summary1As1_Combined,Total national emissions and removals,Net CO2 emissions/removals (kt),569166.3775157833
1. Energy,Energy,,1995,Summary1As1_Combined,1. Energy,Net CO2 emissions/removals (kt),522914.2198673837
Total national emissions and removals,Energy,A. Fuel combustion     Reference approach(2),1995,Summary1As1_Combined,A. Fuel combustion     Reference approach(2),Net CO2 emissions/removals (kt),515536.4486177543
Total national emissions and removals,Energy,                                           Sectoral approach(2),1995,Summary1As1_Combined,                                           Sectoral approach(2),Net CO2 emissions/removals (kt),514573.0265494808
Total national emissions and removals,Energy,1.  Energy industries,1995,Summary1As1_Combined,1.  Energy industries,Net CO2 emissions/removals (kt),202492.538259512
Total national emissions and removals,Energy,2.  Manufacturing industries and construction                          ,1995,Summary1As1_Combined,2.  Manufacturing industries and construction                          ,Net CO2 emissions/removals (kt),70344.6393880114
Total national emissions and removals,Energy,3.  Transport,1995,Summary1As1_Combined,3.  Transport,Net CO2 emissions/removals (kt),122840.36715227288
Total national emissions and removals,Energy,4.  Other sectors,1995,Summary1As1_Combined,4.  Other sectors,Net CO2 emissions/removals (kt),115002.34945380648
Total national emissions and removals,Energy,5.  Other,1995,Summary1As1_Combined,5.  Other,Net CO2 emissions/removals (kt),3893.13229587805
Total national emissions and removals,Energy,B. Fugitive emissions from fuels,1995,Summary1As1_Combined,B. Fugitive emissions from fuels,Net CO2 emissions/removals (kt),8341.1933179029
Total national emissions and removals,Energy,1.  Solid fuels,1995,Summary1As1_Combined,1.  Solid fuels,Net CO2 emissions/removals (kt),737.4210967891712
Total national emissions and removals,Energy,2.  Oil and natural gas and other emissions from energy production,1995,Summary1As1_Combined,2.  Oil and natural gas and other emissions from energy production,Net CO2 emissions/removals (kt),7603.772221113728
2.  Industrial processes and product use,Industrial processes and product use,,1995,Summary1As1_Combined,2.  Industrial processes and product use,Net CO2 emissions/removals (kt),42581.24896397609
Total national emissions and removals,Industrial processes and product use,A.  Mineral industry,1995,Summary1As1_Combined,A.  Mineral industry,Net CO2 emissions/removals (kt),9263.281723540988
Total national emissions and removals,Industrial processes and product use,B.  Chemical industry,1995,Summary1As1_Combined,B.  Chemical industry,Net CO2 emissions/removals (kt),7762.113615267349
Total national emissions and removals,Industrial processes and product use,C.  Metal industry,1995,Summary1As1_Combined,C.  Metal industry,Net CO2 emissions/removals (kt),23989.84334057922
Total national emissions and removals,Industrial processes and product use,D.  Non-energy products from fuels and solvent use ,1995,Summary1As1_Combined,D.  Non-energy products from fuels and solvent use ,Net CO2 emissions/removals (kt),1566.010284588537
Total national emissions and removals,Total national emissions and removals,,1996,Summary1As1_Combined,Total national emissions and removals,Net CO2 emissions/removals (kt),588829.4196382763
1. Energy,Energy,,1996,Summary1As1_Combined,1. Energy,Net CO2 emissions/removals (kt),541713.8072169732
Total national emissions and removals,Energy,A. Fuel combustion     Reference approach(2),1996,Summary1As1_Combined,A. Fuel combustion     Reference approach(2),Net CO2 emissions/removals (kt),532342.6453999433
Total national emissions and removals,Energy,                                           Sectoral approach(2),1996,Summary1As1_Combined,                                           Sectoral approach(2),Net CO2 emissions/removals (kt),533006.9536396476
Total national emissions and removals,Energy,1.  Energy industries,1996,Summary1As1_Combined,1.  Energy industries,Net CO2 emissions/removals (kt),203508.5831342296
Total national emissions and removals,Energy,2.  Manufacturing industries and construction                          ,1996,Summary1As1_Combined,2.  Manufacturing industries and construction                          ,Net CO2 emissions/removals (kt),70083.26340757462
Total national emissions and removals,Energy,3.  Transport,1996,Summary1As1_Combined,3.  Transport,Net CO2 emissions/removals (kt),127482.35530465136
Total national emissions and removals,Energy,4.  Other sectors,1996,Summary1As1_Combined,4.  Other sectors,Net CO2 emissions/removals (kt),128120.73624566932
Total national emissions and removals,Energy,5.  Other,1996,Summary1As1_Combined,5.  Other,Net CO2 emissions/removals (kt),3812.01554752272
Total national emissions and removals,Energy,B. Fugitive emissions from fuels,1996,Summary1As1_Combined,B. Fugitive emissions from fuels,Net CO2 emissions/removals (kt),8706.853577325543
Total national emissions and removals,Energy,1.  Solid fuels,1996,Summary1As1_Combined,1.  Solid fuels,Net CO2 emissions/removals (kt),553.7547359513629
Total national emissions and removals,Energy,2.  Oil and natural gas and other emissions from energy production,1996,Summary1As1_Combined,2.  Oil and natural gas and other emissions from energy production,Net CO2 emissions/removals (kt),8153.098841374179
2.  Industrial processes and product use,Industrial processes and product use,,1996,Summary1As1_Combined,2.  Industrial processes and product use,Net CO2 emissions/removals (kt),44306.04709860317
Total national emissions and removals,Industrial processes and product use,A.  Mineral industry,1996,Summary1As1_Combined,A.  Mineral industry,Net CO2 emissions/removals (kt),9469.175308820691
Total national emissions and removals,Industrial processes and product use,B.  Chemical industry,1996,Summary1As1_Combined,B.  Chemical industry,Net CO2 emissions/removals (kt),7746.86299672833
Total national emissions and removals,Industrial processes and product use,C.  Metal industry,1996,Summary1As1_Combined,C.  Metal industry,Net CO2 emissions/removals (kt),25042.711563355217
Total national emissions and removals,Industrial processes and product use,D.  Non-energy products from fuels and solvent use ,1996,Summary1As1_Combined,D.  Non-energy products from fuels and solvent use ,Net CO2 emissions/removals (kt),2047.2972296989344
Total national emissions and removals,Total national emissions and removals,,1997,Summary1As1_Combined,Total national emissions and removals,Net CO2 emissions/removals (kt),564783.4410595656
1. Energy,Energy,,1997,Summary1As1_Combined,1. Energy,Net CO2 emissions/removals (kt),519972.88229007047
Total national emissions and removals,Energy,A. Fuel combustion     Reference approach(2),1997,Summary1As1_Combined,A. Fuel combustion     Reference approach(2),Net CO2 emissions/removals (kt),510475.4835409633
Total national emissions and removals,Energy,                                           Sectoral approach(2),1997,Summary1As1_Combined,                                           Sectoral approach(2),Net CO2 emissions/removals (kt),512762.0801841535
Total national emissions and removals,Energy,1.  Energy industries,1997,Summary1As1_Combined,1.  Energy industries,Net CO2 emissions/removals (kt),192672.44681702656
Total national emissions and removals,Energy,2.  Manufacturing industries and construction                          ,1997,Summary1As1_Combined,2.  Manufacturing industries and construction                          ,Net CO2 emissions/removals (kt),69803.5636407435
Total national emissions and removals,Energy,3.  Transport,1997,Summary1As1_Combined,3.  Transport,Net CO2 emissions/removals (kt),128225.04773015072
Total national emissions and removals,Energy,4.  Other sectors,1997,Summary1As1_Combined,4.  Other sectors,Net CO2 emissions/removals (kt),118424.2204506918
Total national emissions and removals,Energy,5.  Other,1997,Summary1As1_Combined,5.  Other,Net CO2 emissions/removals (kt),3636.801545540901
Total national emissions and removals,Energy,B. Fugitive emissions from fuels,1997,Summary1As1_Combined,B. Fugitive emissions from fuels,Net CO2 emissions/removals (kt),7210.802105917001
Total national emissions and removals,Energy,1.  Solid fuels,1997,Summary1As1_Combined,1.  Solid fuels,Net CO2 emissions/removals (kt),631.1653690361505
Total national emissions and removals,Energy,2.  Oil and natural gas and other emissions from energy production,1997,Summary1As1_Combined,2.  Oil and natural gas and other emissions from energy production,Net CO2 emissions/removals (kt),6579.636736880851
