Main_Category,Sub_Category,Detail_Category,Year,Sheet,GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Gas,Emissions_kt
Total national emissions and removals,Energy,4.  Other sectors,2019,Summary1As1_Combined,4.  Other sectors,Net CO2 emissions/removals (kt),88265.12584558982
Total national emissions and removals,Energy,5.  Other,2019,Summary1As1_Combined,5.  Other,Net CO2 emissions/removals (kt),1632.680171815069
Total national emissions and removals,Energy,B. Fugitive emissions from fuels,2019,Summary1As1_Combined,B. Fugitive emissions from fuels,Net CO2 emissions/removals (kt),4283.404491192525
Total national emissions and removals,Energy,1.  Solid fuels,2019,Summary1As1_Combined,1.  Solid fuels,Net CO2 emissions/removals (kt),163.11390127287888
Total national emissions and removals,Energy,2.  Oil and natural gas and other emissions from energy production,2019,Summary1As1_Combined,2.  Oil and natural gas and other emissions from energy production,Net CO2 emissions/removals (kt),4120.290589919646
2.  Industrial processes and product use,Industrial processes and product use,,2019,Summary1As1_Combined,2.  Industrial processes and product use,Net CO2 emissions/removals (kt),21788.280982000782
Total national emissions and removals,Industrial processes and product use,A.  Mineral industry,2019,Summary1As1_Combined,A.  Mineral industry,Net CO2 emissions/removals (kt),6329.854369980611
Total national emissions and removals,Industrial processes and product use,B.  Chemical industry,2019,Summary1As1_Combined,B.  Chemical industry,Net CO2 emissions/removals (kt),4378.767721457266
Total national emissions and removals,Industrial processes and product use,C.  Metal industry,2019,Summary1As1_Combined,C.  Metal industry,Net CO2 emissions/removals (kt),10607.167470239689
Total national emissions and removals,Industrial processes and product use,D.  Non-energy products from fuels and solvent use ,2019,Summary1As1_Combined,D.  Non-energy products from fuels and solvent use ,Net CO2 emissions/removals (kt),472.4914203232224
Total national emissions and removals,Total national emissions and removals,,2020,Summary1As1_Combined,Total national emissions and removals,Net CO2 emissions/removals (kt),321430.23387779394
1. Energy,Energy,,2020,Summary1As1_Combined,1. Energy,Net CO2 emissions/removals (kt),304342.55097109143
Total national emissions and removals,Energy,A. Fuel combustion     Reference approach(2),2020,Summary1As1_Combined,A. Fuel combustion     Reference approach(2),Net CO2 emissions/removals (kt),298783.6618211124
Total national emissions and removals,Energy,                                           Sectoral approach(2),2020,Summary1As1_Combined,                                           Sectoral approach(2),Net CO2 emissions/removals (kt),300902.1605221364
Total national emissions and removals,Energy,1.  Energy industries,2020,Summary1As1_Combined,1.  Energy industries,Net CO2 emissions/removals (kt),75904.16399210814
Total national emissions and removals,Energy,2.  Manufacturing industries and construction                          ,2020,Summary1As1_Combined,2.  Manufacturing industries and construction                          ,Net CO2 emissions/removals (kt),40301.99438734661
Total national emissions and removals,Energy,3.  Transport,2020,Summary1As1_Combined,3.  Transport,Net CO2 emissions/removals (kt),97035.92556911676
Total national emissions and removals,Energy,4.  Other sectors,2020,Summary1As1_Combined,4.  Other sectors,Net CO2 emissions/removals (kt),86285.57121903222
Total national emissions and removals,Energy,5.  Other,2020,Summary1As1_Combined,5.  Other,Net CO2 emissions/removals (kt),1374.5053545326507
Total national emissions and removals,Energy,B. Fugitive emissions from fuels,2020,Summary1As1_Combined,B. Fugitive emissions from fuels,Net CO2 emissions/removals (kt),3440.390448955055
Total national emissions and removals,Energy,1.  Solid fuels,2020,Summary1As1_Combined,1.  Solid fuels,Net CO2 emissions/removals (kt),197.1103257468459
Total national emissions and removals,Energy,2.  Oil and natural gas and other emissions from energy production,2020,Summary1As1_Combined,2.  Oil and natural gas and other emissions from energy production,Net CO2 emissions/removals (kt),3243.2801232082093
2.  Industrial processes and product use,Industrial processes and product use,,2020,Summary1As1_Combined,2.  Industrial processes and product use,Net CO2 emissions/removals (kt),21161.572902241584
Total national emissions and removals,Industrial processes and product use,A.  Mineral industry,2020,Summary1As1_Combined,A.  Mineral industry,Net CO2 emissions/removals (kt),5542.541381605896
Total national emissions and removals,Industrial processes and product use,B.  Chemical industry,2020,Summary1As1_Combined,B.  Chemical industry,Net CO2 emissions/removals (kt),4513.425147361346
Total national emissions and removals,Industrial processes and product use,C.  Metal industry,2020,Summary1As1_Combined,C.  Metal industry,Net CO2 emissions/removals (kt),10732.3429741133
Total national emissions and removals,Industrial processes and product use,D.  Non-energy products from fuels and solvent use ,2020,Summary1As1_Combined,D.  Non-energy products from fuels and solvent use ,Net CO2 emissions/removals (kt),373.2633991610408
Total national emissions and removals,Total national emissions and removals,,2021,Summary1As1_Combined,Total national emissions and removals,Net CO2 emissions/removals (kt),342591.0955324837
1. Energy,Energy,,2021,Summary1As1_Combined,1. Energy,Net CO2 emissions/removals (kt),326511.76114692504
Total national emissions and removals,Energy,A. Fuel combustion     Reference approach(2),2021,Summary1As1_Combined,A. Fuel combustion     Reference approach(2),Net CO2 emissions/removals (kt),323070.7682699211
Total national emissions and removals,Energy,                                           Sectoral approach(2),2021,Summary1As1_Combined,                                           Sectoral approach(2),Net CO2 emissions/removals (kt),323625.13247982407
Total national emissions and removals,Energy,1.  Energy industries,2021,Summary1As1_Combined,1.  Energy industries,Net CO2 emissions/removals (kt),79042.08224085718
Total national emissions and removals,Energy,2.  Manufacturing industries and construction                          ,2021,Summary1As1_Combined,2.  Manufacturing industries and construction                          ,Net CO2 emissions/removals (kt),43264.53152755245
Total national emissions and removals,Energy,3.  Transport,2021,Summary1As1_Combined,3.  Transport,Net CO2 emissions/removals (kt),107071.46218281024
Total national emissions and removals,Energy,4.  Other sectors,2021,Summary1As1_Combined,4.  Other sectors,Net CO2 emissions/removals (kt),92679.09027308565
Total national emissions and removals,Energy,5.  Other,2021,Summary1As1_Combined,5.  Other,Net CO2 emissions/removals (kt),1567.9662555185243
Total national emissions and removals,Energy,B. Fugitive emissions from fuels,2021,Summary1As1_Combined,B. Fugitive emissions from fuels,Net CO2 emissions/removals (kt),2886.6286671009902
Total national emissions and removals,Energy,1.  Solid fuels,2021,Summary1As1_Combined,1.  Solid fuels,Net CO2 emissions/removals (kt),203.98758223384328
Total national emissions and removals,Energy,2.  Oil and natural gas and other emissions from energy production,2021,Summary1As1_Combined,2.  Oil and natural gas and other emissions from energy production,Net CO2 emissions/removals (kt),2682.6410848671467
2.  Industrial processes and product use,Industrial processes and product use,,2021,Summary1As1_Combined,2.  Industrial processes and product use,Net CO2 emissions/removals (kt),20131.738578163506
Total national emissions and removals,Industrial processes and product use,A.  Mineral industry,2021,Summary1As1_Combined,A.  Mineral industry,Net CO2 emissions/removals (kt),6071.116553881695
Total national emissions and removals,Industrial processes and product use,B.  Chemical industry,2021,Summary1As1_Combined,B.  Chemical industry,Net CO2 emissions/removals (kt),2995.065704775039
Total national emissions and removals,Industrial processes and product use,C.  Metal industry,2021,Summary1As1_Combined,C.  Metal industry,Net CO2 emissions/removals (kt),10663.149498089171
Total national emissions and removals,Industrial processes and product use,D.  Non-energy products from fuels and solvent use ,2021,Summary1As1_Combined,D.  Non-energy products from fuels and solvent use ,Net CO2 emissions/removals (kt),402.4068214175966
3.  Agriculture,Agriculture,,1990,Summary1As2_Combined,3.  Agriculture,Net CO2 emissions/removals (kt),1312.915065421947
Total national emissions and removals,Agriculture,G. Liming,1990,Summary1As2_Combined,G. Liming,Net CO2 emissions/removals (kt),1016.4167639794516
Total national emissions and removals,Agriculture,H. Urea application,1990,Summary1As2_Combined,H. Urea application,Net CO2 emissions/removals (kt),292.9543696691042
Total national emissions and removals,Agriculture,J.  Other ,1990,Summary1As2_Combined,J.  Other ,Net CO2 emissions/removals (kt),3.54393177339109
"4.  Land use, land-use change and forestry  (4)","Land use, land-use change and forestry",,1990,Summary1As2_Combined,"4.  Land use, land-use change and forestry  (4)",Net CO2 emissions/removals (kt),3671.103523583243
Total national emissions and removals,"Land use, land-use change and forestry",A. Forest land (4),1990,Summary1As2_Combined,A. Forest land (4),Net CO2 emissions/removals (kt),-13940.1560393277
Total national emissions and removals,"Land use, land-use change and forestry",B. Cropland (4),1990,Summary1As2_Combined,B. Cropland (4),Net CO2 emissions/removals (kt),14230.876954181367
Total national emissions and removals,"Land use, land-use change and forestry",C. Grassland (4),1990,Summary1As2_Combined,C. Grassland (4),Net CO2 emissions/removals (kt),-618.7529639992829
Total national emissions and removals,"Land use, land-use change and forestry",D. Wetlands (4),1990,Summary1As2_Combined,D. Wetlands (4),Net CO2 emissions/removals (kt),668.771306501126
Total national emissions and removals,"Land use, land-use change and forestry",E. Settlements (4),1990,Summary1As2_Combined,E. Settlements (4),Net CO2 emissions/removals (kt),5426.53467899998
Total national emissions and removals,"Land use, land-use change and forestry",G. Harvested wood products ,1990,Summary1As2_Combined,G. Harvested wood products ,Net CO2 emissions/removals (kt),-2096.170412772249
5.  Waste,Waste,,1990,Summary1As2_Combined,5.  Waste,Net CO2 emissions/removals (kt),1445.1711054254847
Total national emissions and removals,Waste,C.  Incineration and open burning of waste (5),1990,Summary1As2_Combined,C.  Incineration and open burning of waste (5),Net CO2 emissions/removals (kt),1445.1711054254847
3.  Agriculture,Agriculture,,1991,Summary1As2_Combined,3.  Agriculture,Net CO2 emissions/removals (kt),1389.6220400746072
Total national emissions and removals,Agriculture,G. Liming,1991,Summary1As2_Combined,G. Liming,Net CO2 emissions/removals (kt),1016.4167639794516
Total national emissions and removals,Agriculture,H. Urea application,1991,Summary1As2_Combined,H. Urea application,Net CO2 emissions/removals (kt),369.64186970555056
Total national emissions and removals,Agriculture,J.  Other ,1991,Summary1As2_Combined,J.  Other ,Net CO2 emissions/removals (kt),3.56340638960483
"4.  Land use, land-use change and forestry  (4)","Land use, land-use change and forestry",,1991,Summary1As2_Combined,"4.  Land use, land-use change and forestry  (4)",Net CO2 emissions/removals (kt),3183.095061353885
Total national emissions and removals,"Land use, land-use change and forestry",A. Forest land (4),1991,Summary1As2_Combined,A. Forest land (4),Net CO2 emissions/removals (kt),-14476.670770223727
Total national emissions and removals,"Land use, land-use change and forestry",B. Cropland (4),1991,Summary1As2_Combined,B. Cropland (4),Net CO2 emissions/removals (kt),14225.703683698042
Total national emissions and removals,"Land use, land-use change and forestry",C. Grassland (4),1991,Summary1As2_Combined,C. Grassland (4),Net CO2 emissions/removals (kt),-687.4543698384172
Total national emissions and removals,"Land use, land-use change and forestry",D. Wetlands (4),1991,Summary1As2_Combined,D. Wetlands (4),Net CO2 emissions/removals (kt),697.0377785478196
Total national emissions and removals,"Land use, land-use change and forestry",E. Settlements (4),1991,Summary1As2_Combined,E. Settlements (4),Net CO2 emissions/removals (kt),5321.860489882822
Total national emissions and removals,"Land use, land-use change and forestry",G. Harvested wood products ,1991,Summary1As2_Combined,G. Harvested wood products ,Net CO2 emissions/removals (kt),-1897.381750712655
5.  Waste,Waste,,1991,Summary1As2_Combined,5.  Waste,Net CO2 emissions/removals (kt),1413.9562295202718
Total national emissions and removals,Waste,C.  Incineration and open burning of waste (5),1991,Summary1As2_Combined,C.  Incineration and open burning of waste (5),Net CO2 emissions/removals (kt),1413.9562295202718
3.  Agriculture,Agriculture,,1992,Summary1As2_Combined,3.  Agriculture,Net CO2 emissions/removals (kt),1256.3574723310055
Total national emissions and removals,Agriculture,G. Liming,1992,Summary1As2_Combined,G. Liming,Net CO2 emissions/removals (kt),1016.4167639794516
Total national emissions and removals,Agriculture,H. Urea application,1992,Summary1As2_Combined,H. Urea application,Net CO2 emissions/removals (kt),236.64799472888703
Total national emissions and removals,Agriculture,J.  Other ,1992,Summary1As2_Combined,J.  Other ,Net CO2 emissions/removals (kt),3.29271362266683
"4.  Land use, land-use change and forestry  (4)","Land use, land-use change and forestry",,1992,Summary1As2_Combined,"4.  Land use, land-use change and forestry  (4)",Net CO2 emissions/removals (kt),2374.4276213895605
Total national emissions and removals,"Land use, land-use change and forestry",A. Forest land (4),1992,Summary1As2_Combined,A. Forest land (4),Net CO2 emissions/removals (kt),-14953.63368924997
Total national emissions and removals,"Land use, land-use change and forestry",B. Cropland (4),1992,Summary1As2_Combined,B. Cropland (4),Net CO2 emissions/removals (kt),14195.849688742212
Total national emissions and removals,"Land use, land-use change and forestry",C. Grassland (4),1992,Summary1As2_Combined,C. Grassland (4),Net CO2 emissions/removals (kt),-806.9337463717778
Total national emissions and removals,"Land use, land-use change and forestry",D. Wetlands (4),1992,Summary1As2_Combined,D. Wetlands (4),Net CO2 emissions/removals (kt),649.5706225756257
Total national emissions and removals,"Land use, land-use change and forestry",E. Settlements (4),1992,Summary1As2_Combined,E. Settlements (4),Net CO2 emissions/removals (kt),5220.711293515785
Total national emissions and removals,"Land use, land-use change and forestry",G. Harvested wood products ,1992,Summary1As2_Combined,G. Harvested wood products ,Net CO2 emissions/removals (kt),-1931.1365478223136
5.  Waste,Waste,,1992,Summary1As2_Combined,5.  Waste,Net CO2 emissions/removals (kt),1408.0338995909156
Total national emissions and removals,Waste,C.  Incineration and open burning of waste (5),1992,Summary1As2_Combined,C.  Incineration and open burning of waste (5),Net CO2 emissions/removals (kt),1408.0338995909156
3.  Agriculture,Agriculture,,1993,Summary1As2_Combined,3.  Agriculture,Net CO2 emissions/removals (kt),1109.19082472245
Total national emissions and removals,Agriculture,G. Liming,1993,Summary1As2_Combined,G. Liming,Net CO2 emissions/removals (kt),890.4238392064632
Total national emissions and removals,Agriculture,H. Urea application,1993,Summary1As2_Combined,H. Urea application,Net CO2 emissions/removals (kt),215.5353833925925
Total national emissions and removals,Agriculture,J.  Other ,1993,Summary1As2_Combined,J.  Other ,Net CO2 emissions/removals (kt),3.23160212339415
"4.  Land use, land-use change and forestry  (4)","Land use, land-use change and forestry",,1993,Summary1As2_Combined,"4.  Land use, land-use change and forestry  (4)",Net CO2 emissions/removals (kt),1813.7736674374844
Total national emissions and removals,"Land use, land-use change and forestry",A. Forest land (4),1993,Summary1As2_Combined,A. Forest land (4),Net CO2 emissions/removals (kt),-15337.25405973761
Total national emissions and removals,"Land use, land-use change and forestry",B. Cropland (4),1993,Summary1As2_Combined,B. Cropland (4),Net CO2 emissions/removals (kt),14342.844143492755
Total national emissions and removals,"Land use, land-use change and forestry",C. Grassland (4),1993,Summary1As2_Combined,C. Grassland (4),Net CO2 emissions/removals (kt),-963.8176831323826
Total national emissions and removals,"Land use, land-use change and forestry",D. Wetlands (4),1993,Summary1As2_Combined,D. Wetlands (4),Net CO2 emissions/removals (kt),632.1094414084321
Total national emissions and removals,"Land use, land-use change and forestry",E. Settlements (4),1993,Summary1As2_Combined,E. Settlements (4),Net CO2 emissions/removals (kt),5126.087215896041
Total national emissions and removals,"Land use, land-use change and forestry",G. Harvested wood products ,1993,Summary1As2_Combined,G. Harvested wood products ,Net CO2 emissions/removals (kt),-1986.195390489751
5.  Waste,Waste,,1993,Summary1As2_Combined,5.  Waste,Net CO2 emissions/removals (kt),1357.3670305573405
Total national emissions and removals,Waste,C.  Incineration and open burning of waste (5),1993,Summary1As2_Combined,C.  Incineration and open burning of waste (5),Net CO2 emissions/removals (kt),1357.3670305573405
3.  Agriculture,Agriculture,,1994,Summary1As2_Combined,3.  Agriculture,Net CO2 emissions/removals (kt),1112.3078198511855
Total national emissions and removals,Agriculture,G. Liming,1994,Summary1As2_Combined,G. Liming,Net CO2 emissions/removals (kt),890.6279511511387
Total national emissions and removals,Agriculture,H. Urea application,1994,Summary1As2_Combined,H. Urea application,Net CO2 emissions/removals (kt),218.43227507866808
Total national emissions and removals,Agriculture,J.  Other ,1994,Summary1As2_Combined,J.  Other ,Net CO2 emissions/removals (kt),3.24759362137874
"4.  Land use, land-use change and forestry  (4)","Land use, land-use change and forestry",,1994,Summary1As2_Combined,"4.  Land use, land-use change and forestry  (4)",Net CO2 emissions/removals (kt),1427.8593689810348
Total national emissions and removals,"Land use, land-use change and forestry",A. Forest land (4),1994,Summary1As2_Combined,A. Forest land (4),Net CO2 emissions/removals (kt),-15336.225273423004
Total national emissions and removals,"Land use, land-use change and forestry",B. Cropland (4),1994,Summary1As2_Combined,B. Cropland (4),Net CO2 emissions/removals (kt),14325.319961073012
Total national emissions and removals,"Land use, land-use change and forestry",C. Grassland (4),1994,Summary1As2_Combined,C. Grassland (4),Net CO2 emissions/removals (kt),-1134.5017252780513
Total national emissions and removals,"Land use, land-use change and forestry",D. Wetlands (4),1994,Summary1As2_Combined,D. Wetlands (4),Net CO2 emissions/removals (kt),739.4394465041241
Total national emissions and removals,"Land use, land-use change and forestry",E. Settlements (4),1994,Summary1As2_Combined,E. Settlements (4),Net CO2 emissions/removals (kt),5038.654028895878
Total national emissions and removals,"Land use, land-use change and forestry",G. Harvested wood products ,1994,Summary1As2_Combined,G. Harvested wood products ,Net CO2 emissions/removals (kt),-2204.827068790923
5.  Waste,Waste,,1994,Summary1As2_Combined,5.  Waste,Net CO2 emissions/removals (kt),1163.283836442643
Total national emissions and removals,Waste,C.  Incineration and open burning of waste (5),1994,Summary1As2_Combined,C.  Incineration and open burning of waste (5),Net CO2 emissions/removals (kt),1163.283836442643
3.  Agriculture,Agriculture,,1995,Summary1As2_Combined,3.  Agriculture,Net CO2 emissions/removals (kt),1093.2274909132848
Total national emissions and removals,Agriculture,G. Liming,1995,Summary1As2_Combined,G. Liming,Net CO2 emissions/removals (kt),911.7815067764476
Total national emissions and removals,Agriculture,H. Urea application,1995,Summary1As2_Combined,H. Urea application,Net CO2 emissions/removals (kt),178.4050347589481
Total national emissions and removals,Agriculture,J.  Other ,1995,Summary1As2_Combined,J.  Other ,Net CO2 emissions/removals (kt),3.04094937788912
"4.  Land use, land-use change and forestry  (4)","Land use, land-use change and forestry",,1995,Summary1As2_Combined,"4.  Land use, land-use change and forestry  (4)",Net CO2 emissions/removals (kt),1447.5452364683065
Total national emissions and removals,"Land use, land-use change and forestry",A. Forest land (4),1995,Summary1As2_Combined,A. Forest land (4),Net CO2 emissions/removals (kt),-15430.666441632891
Total national emissions and removals,"Land use, land-use change and forestry",B. Cropland (4),1995,Summary1As2_Combined,B. Cropland (4),Net CO2 emissions/removals (kt),14519.87560537917
Total national emissions and removals,"Land use, land-use change and forestry",C. Grassland (4),1995,Summary1As2_Combined,C. Grassland (4),Net CO2 emissions/removals (kt),-1154.043982499684
Total national emissions and removals,"Land use, land-use change and forestry",D. Wetlands (4),1995,Summary1As2_Combined,D. Wetlands (4),Net CO2 emissions/removals (kt),826.0298291340741
Total national emissions and removals,"Land use, land-use change and forestry",E. Settlements (4),1995,Summary1As2_Combined,E. Settlements (4),Net CO2 emissions/removals (kt),4956.6301202531085
Total national emissions and removals,"Land use, land-use change and forestry",G. Harvested wood products ,1995,Summary1As2_Combined,G. Harvested wood products ,Net CO2 emissions/removals (kt),-2270.279894165468
5.  Waste,Waste,,1995,Summary1As2_Combined,5.  Waste,Net CO2 emissions/removals (kt),1130.1359570419413
Total national emissions and removals,Waste,C.  Incineration and open burning of waste (5),1995,Summary1As2_Combined,C.  Incineration and open burning of waste (5),Net CO2 emissions/removals (kt),1130.1359570419413
3.  Agriculture,Agriculture,,1996,Summary1As2_Combined,3.  Agriculture,Net CO2 emissions/removals (kt),1195.2641083318638
Total national emissions and removals,Agriculture,G. Liming,1996,Summary1As2_Combined,G. Liming,Net CO2 emissions/removals (kt),1072.2987376876547
Total national emissions and removals,Agriculture,H. Urea application,1996,Summary1As2_Combined,H. Urea application,Net CO2 emissions/removals (kt),119.95509699595222
Total national emissions and removals,Agriculture,J.  Other ,1996,Summary1As2_Combined,J.  Other ,Net CO2 emissions/removals (kt),3.01027364825692
"4.  Land use, land-use change and forestry  (4)","Land use, land-use change and forestry",,1996,Summary1As2_Combined,"4.  Land use, land-use change and forestry  (4)",Net CO2 emissions/removals (kt),477.1863477679066
Total national emissions and removals,"Land use, land-use change and forestry",A. Forest land (4),1996,Summary1As2_Combined,A. Forest land (4),Net CO2 emissions/removals (kt),-15901.514844014428
Total national emissions and removals,"Land use, land-use change and forestry",B. Cropland (4),1996,Summary1As2_Combined,B. Cropland (4),Net CO2 emissions/removals (kt),14395.95328040963
Total national emissions and removals,"Land use, land-use change and forestry",C. Grassland (4),1996,Summary1As2_Combined,C. Grassland (4),Net CO2 emissions/removals (kt),-1333.628129146921
Total national emissions and removals,"Land use, land-use change and forestry",D. Wetlands (4),1996,Summary1As2_Combined,D. Wetlands (4),Net CO2 emissions/removals (kt),710.2643606939916
Total national emissions and removals,"Land use, land-use change and forestry",E. Settlements (4),1996,Summary1As2_Combined,E. Settlements (4),Net CO2 emissions/removals (kt),4818.817176024591
Total national emissions and removals,"Land use, land-use change and forestry",G. Harvested wood products ,1996,Summary1As2_Combined,G. Harvested wood products ,Net CO2 emissions/removals (kt),-2212.705496198958
5.  Waste,Waste,,1996,Summary1As2_Combined,5.  Waste,Net CO2 emissions/removals (kt),1137.1148666002075
Total national emissions and removals,Waste,C.  Incineration and open burning of waste (5),1996,Summary1As2_Combined,C.  Incineration and open burning of waste (5),Net CO2 emissions/removals (kt),1137.1148666002075
3.  Agriculture,Agriculture,,1997,Summary1As2_Combined,3.  Agriculture,Net CO2 emissions/removals (kt),1053.4498246604091
Total national emissions and removals,Agriculture,G. Liming,1997,Summary1As2_Combined,G. Liming,Net CO2 emissions/removals (kt),886.5795008373989
Total national emissions and removals,Agriculture,H. Urea application,1997,Summary1As2_Combined,H. Urea application,Net CO2 emissions/removals (kt),163.90802590886625
Total national emissions and removals,Agriculture,J.  Other ,1997,Summary1As2_Combined,J.  Other ,Net CO2 emissions/removals (kt),2.96229791414401
"4.  Land use, land-use change and forestry  (4)","Land use, land-use change and forestry",,1997,Summary1As2_Combined,"4.  Land use, land-use change and forestry  (4)",Net CO2 emissions/removals (kt),-62.95978519572293
Total national emissions and removals,"Land use, land-use change and forestry",A. Forest land (4),1997,Summary1As2_Combined,A. Forest land (4),Net CO2 emissions/removals (kt),-16024.207596918564
Total national emissions and removals,"Land use, land-use change and forestry",B. Cropland (4),1997,Summary1As2_Combined,B. Cropland (4),Net CO2 emissions/removals (kt),14361.25037052736
Total national emissions and removals,"Land use, land-use change and forestry",C. Grassland (4),1997,Summary1As2_Combined,C. Grassland (4),Net CO2 emissions/removals (kt),-1449.6354756266817
Total national emissions and removals,"Land use, land-use change and forestry",D. Wetlands (4),1997,Summary1As2_Combined,D. Wetlands (4),Net CO2 emissions/removals (kt),636.9166338310508
Total national emissions and removals,"Land use, land-use change and forestry",E. Settlements (4),1997,Summary1As2_Combined,E. Settlements (4),Net CO2 emissions/removals (kt),4802.364294608241
Total national emissions and removals,"Land use, land-use change and forestry",G. Harvested wood products ,1997,Summary1As2_Combined,G. Harvested wood products ,Net CO2 emissions/removals (kt),-2389.648011617133
5.  Waste,Waste,,1997,Summary1As2_Combined,5.  Waste,Net CO2 emissions/removals (kt),730.1345457801694
Total national emissions and removals,Waste,C.  Incineration and open burning of waste (5),1997,Summary1As2_Combined,C.  Incineration and open burning of waste (5),Net CO2 emissions/removals (kt),730.1345457801694
3.  Agriculture,Agriculture,,1998,Summary1As2_Combined,3.  Agriculture,Net CO2 emissions/removals (kt),986.7518717568744
Total national emissions and removals,Agriculture,G. Liming,1998,Summary1As2_Combined,G. Liming,Net CO2 emissions/removals (kt),817.735351240372
Total national emissions and removals,Agriculture,H. Urea application,1998,Summary1As2_Combined,H. Urea application,Net CO2 emissions/removals (kt),165.97620635094168
Total national emissions and removals,Agriculture,J.  Other ,1998,Summary1As2_Combined,J.  Other ,Net CO2 emissions/removals (kt),3.04031416556084
"4.  Land use, land-use change and forestry  (4)","Land use, land-use change and forestry",,1998,Summary1As2_Combined,"4.  Land use, land-use change and forestry  (4)",Net CO2 emissions/removals (kt),-815.3711766353647
Total national emissions and removals,"Land use, land-use change and forestry",A. Forest land (4),1998,Summary1As2_Combined,A. Forest land (4),Net CO2 emissions/removals (kt),-16471.783586163427
Total national emissions and removals,"Land use, land-use change and forestry",B. Cropland (4),1998,Summary1As2_Combined,B. Cropland (4),Net CO2 emissions/removals (kt),14309.950739076014
Total national emissions and removals,"Land use, land-use change and forestry",C. Grassland (4),1998,Summary1As2_Combined,C. Grassland (4),Net CO2 emissions/removals (kt),-1549.4823578236735
Total national emissions and removals,"Land use, land-use change and forestry",D. Wetlands (4),1998,Summary1As2_Combined,D. Wetlands (4),Net CO2 emissions/removals (kt),505.92783349617895
Total national emissions and removals,"Land use, land-use change and forestry",E. Settlements (4),1998,Summary1As2_Combined,E. Settlements (4),Net CO2 emissions/removals (kt),4677.284892811196
Total national emissions and removals,"Land use, land-use change and forestry",G. Harvested wood products ,1998,Summary1As2_Combined,G. Harvested wood products ,Net CO2 emissions/removals (kt),-2287.2686980316503
5.  Waste,Waste,,1998,Summary1As2_Combined,5.  Waste,Net CO2 emissions/removals (kt),734.118553929963
Total national emissions and removals,Waste,C.  Incineration and open burning of waste (5),1998,Summary1As2_Combined,C.  Incineration and open burning of waste (5),Net CO2 emissions/removals (kt),734.118553929963
3.  Agriculture,Agriculture,,1999,Summary1As2_Combined,3.  Agriculture,Net CO2 emissions/removals (kt),930.6023778262796
Total national emissions and removals,Agriculture,G. Liming,1999,Summary1As2_Combined,G. Liming,Net CO2 emissions/removals (kt),768.7174913770759
Total national emissions and removals,Agriculture,H. Urea application,1999,Summary1As2_Combined,H. Urea application,Net CO2 emissions/removals (kt),158.83944196676083
Total national emissions and removals,Agriculture,J.  Other ,1999,Summary1As2_Combined,J.  Other ,Net CO2 emissions/removals (kt),3.04544448244289
"4.  Land use, land-use change and forestry  (4)","Land use, land-use change and forestry",,1999,Summary1As2_Combined,"4.  Land use, land-use change and forestry  (4)",Net CO2 emissions/removals (kt),-647.7010574525444
Total national emissions and removals,"Land use, land-use change and forestry",A. Forest land (4),1999,Summary1As2_Combined,A. Forest land (4),Net CO2 emissions/removals (kt),-16587.44761221034
Total national emissions and removals,"Land use, land-use change and forestry",B. Cropland (4),1999,Summary1As2_Combined,B. Cropland (4),Net CO2 emissions/removals (kt),14249.431748427489
Total national emissions and removals,"Land use, land-use change and forestry",C. Grassland (4),1999,Summary1As2_Combined,C. Grassland (4),Net CO2 emissions/removals (kt),-1004.2862276636724
Total national emissions and removals,"Land use, land-use change and forestry",D. Wetlands (4),1999,Summary1As2_Combined,D. Wetlands (4),Net CO2 emissions/removals (kt),630.802993881389
Total national emissions and removals,"Land use, land-use change and forestry",E. Settlements (4),1999,Summary1As2_Combined,E. Settlements (4),Net CO2 emissions/removals (kt),4585.934574681132
Total national emissions and removals,"Land use, land-use change and forestry",G. Harvested wood products ,1999,Summary1As2_Combined,G. Harvested wood products ,Net CO2 emissions/removals (kt),-2522.136534568543
5.  Waste,Waste,,1999,Summary1As2_Combined,5.  Waste,Net CO2 emissions/removals (kt),683.7176300660886
Total national emissions and removals,Waste,C.  Incineration and open burning of waste (5),1999,Summary1As2_Combined,C.  Incineration and open burning of waste (5),Net CO2 emissions/removals (kt),683.7176300660886
3.  Agriculture,Agriculture,,2000,Summary1As2_Combined,3.  Agriculture,Net CO2 emissions/removals (kt),972.7244192167444
Total national emissions and removals,Agriculture,G. Liming,2000,Summary1As2_Combined,G. Liming,Net CO2 emissions/removals (kt),827.425445409049
Total national emissions and removals,Agriculture,H. Urea application,2000,Summary1As2_Combined,H. Urea application,Net CO2 emissions/removals (kt),142.29494956550886
Total national emissions and removals,Agriculture,J.  Other ,2000,Summary1As2_Combined,J.  Other ,Net CO2 emissions/removals (kt),3.00402424218649
"4.  Land use, land-use change and forestry  (4)","Land use, land-use change and forestry",,2000,Summary1As2_Combined,"4.  Land use, land-use change and forestry  (4)",Net CO2 emissions/removals (kt),-881.9565978461866
Total national emissions and removals,"Land use, land-use change and forestry",A. Forest land (4),2000,Summary1As2_Combined,A. Forest land (4),Net CO2 emissions/removals (kt),-16792.195128512816
Total national emissions and removals,"Land use, land-use change and forestry",B. Cropland (4),2000,Summary1As2_Combined,B. Cropland (4),Net CO2 emissions/removals (kt),14127.289291634956
