Category,Year,Sheet,Gas,Emissions_kt
Total national emissions and removals,1990,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),607337.2622038256
1. Energy,1990,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),557715.5029143459
A. Fuel combustion     Reference approach(2),1990,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),546748.2517665874
                                           Sectoral approach(2),1990,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),550928.4105227769
1.  Energy industries,1990,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),238059.4909129977
2.  Manufacturing industries and construction                          ,1990,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),75237.16423920529
3.  Transport,1990,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),120222.3004660954
4.  Other sectors,1990,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),112116.01744990036
5.  Other,1990,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),5293.43745457813
B. Fugitive emissions from fuels,1990,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),6787.092391569139
1.  Solid fuels,1990,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),1698.561494434334
2.  Oil and natural gas and other emissions from energy production,1990,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),5088.530897134805
2.  Industrial processes and product use,1990,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),43192.569595049
A.  Mineral industry,1990,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),10234.924763495315
B.  Chemical industry,1990,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),6975.588848580359
C.  Metal industry,1990,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),25429.247347380857
D.  Non-energy products from fuels and solvent use ,1990,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),552.8086355924662
Total national emissions and removals,1991,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),614363.2203847475
1. Energy,1991,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),567624.8351479645
A. Fuel combustion     Reference approach(2),1991,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),561819.3001640907
                                           Sectoral approach(2),1991,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),561364.4952109663
1.  Energy industries,1991,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),235358.6178685517
2.  Manufacturing industries and construction                          ,1991,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),78754.59302728824
3.  Transport,1991,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),119332.13441367378
4.  Other sectors,1991,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),123617.75115968892
5.  Other,1991,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),4301.39874176371
B. Fugitive emissions from fuels,1991,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),6260.33993699822
1.  Solid fuels,1991,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),1312.1340809408694
2.  Oil and natural gas and other emissions from energy production,1991,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),4948.205856057351
2.  Industrial processes and product use,1991,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),40751.71190583415
A.  Mineral industry,1991,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),8516.932429211069
B.  Chemical industry,1991,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),7493.080241436179
C.  Metal industry,1991,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),24232.3036309544
D.  Non-energy products from fuels and solvent use ,1991,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),509.3956042325028
Total national emissions and removals,1992,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),597922.1096053956
1. Energy,1992,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),552920.4130407373
A. Fuel combustion     Reference approach(2),1992,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),551017.7827981057
                                           Sectoral approach(2),1992,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),546476.2099848527
1.  Energy industries,1992,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),224541.4516384572
2.  Manufacturing industries and construction                          ,1992,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),76523.4505846677
3.  Transport,1992,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),120729.88080780614
4.  Other sectors,1992,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),120586.33536095692
5.  Other,1992,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),4095.09159296483
B. Fugitive emissions from fuels,1992,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),6444.203055884522
1.  Solid fuels,1992,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),1122.560923379731
2.  Oil and natural gas and other emissions from energy production,1992,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),5321.64213250479
2.  Industrial processes and product use,1992,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),39962.87757134683
A.  Mineral industry,1992,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),7976.125129490574
B.  Chemical industry,1992,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),7456.115937121439
C.  Metal industry,1992,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),23019.003962862444
D.  Non-energy products from fuels and solvent use ,1992,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),1511.6325418723688
Total national emissions and removals,1993,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),583385.0584462105
1. Energy,1993,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),539546.6466957834
A. Fuel combustion     Reference approach(2),1993,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),532929.7716399181
                                           Sectoral approach(2),1993,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),532911.0132782923
1.  Energy industries,1993,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),208802.333708318
2.  Manufacturing industries and construction                          ,1993,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),74066.51052749823
3.  Transport,1993,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),121998.99797121914
4.  Other sectors,1993,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),123894.8655016057
5.  Other,1993,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),4148.30556965114
B. Fugitive emissions from fuels,1993,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),6635.633417491165
1.  Solid fuels,1993,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),1022.2091415743452
2.  Oil and natural gas and other emissions from energy production,1993,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),5613.42427591682
2.  Industrial processes and product use,1993,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),39558.08022770985
A.  Mineral industry,1993,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),7965.099800860758
B.  Chemical industry,1993,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),7425.547412528549
C.  Metal industry,1993,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),22471.20406027026
D.  Non-energy products from fuels and solvent use ,1993,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),1696.2289540502811
Total national emissions and removals,1994,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),577002.1620812862
1. Energy,1994,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),531410.7662984238
A. Fuel combustion     Reference approach(2),1994,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),524563.9573584192
                                           Sectoral approach(2),1994,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),523985.2463865404
1.  Energy industries,1994,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),204502.41875183812
2.  Manufacturing industries and construction                          ,1994,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),73103.39220920968
3.  Transport,1994,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),123412.65892346363
4.  Other sectors,1994,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),119000.13779905609
5.  Other,1994,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),3966.63870297274
B. Fugitive emissions from fuels,1994,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),7425.519911883423
1.  Solid fuels,1994,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),791.7676864289202
2.  Oil and natural gas and other emissions from energy production,1994,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),6633.752225454503
2.  Industrial processes and product use,1994,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),41887.94475758753
A.  Mineral industry,1994,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),9075.512596453364
B.  Chemical industry,1994,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),7715.727862139439
C.  Metal industry,1994,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),23456.046025778644
D.  Non-energy products from fuels and solvent use ,1994,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),1640.658273216084
Total national emissions and removals,1995,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),569166.3775157833
1. Energy,1995,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),522914.2198673837
A. Fuel combustion     Reference approach(2),1995,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),515536.4486177543
                                           Sectoral approach(2),1995,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),514573.0265494808
1.  Energy industries,1995,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),202492.538259512
2.  Manufacturing industries and construction                          ,1995,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),70344.6393880114
3.  Transport,1995,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),122840.36715227288
4.  Other sectors,1995,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),115002.34945380648
5.  Other,1995,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),3893.13229587805
B. Fugitive emissions from fuels,1995,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),8341.1933179029
1.  Solid fuels,1995,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),737.4210967891712
2.  Oil and natural gas and other emissions from energy production,1995,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),7603.772221113728
2.  Industrial processes and product use,1995,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),42581.24896397609
A.  Mineral industry,1995,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),9263.281723540988
B.  Chemical industry,1995,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),7762.113615267349
C.  Metal industry,1995,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),23989.84334057922
D.  Non-energy products from fuels and solvent use ,1995,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),1566.010284588537
Total national emissions and removals,1996,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),588829.4196382763
1. Energy,1996,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),541713.8072169732
A. Fuel combustion     Reference approach(2),1996,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),532342.6453999433
                                           Sectoral approach(2),1996,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),533006.9536396476
1.  Energy industries,1996,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),203508.5831342296
2.  Manufacturing industries and construction                          ,1996,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),70083.26340757462
3.  Transport,1996,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),127482.35530465136
4.  Other sectors,1996,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),128120.73624566932
5.  Other,1996,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),3812.01554752272
B. Fugitive emissions from fuels,1996,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),8706.853577325543
1.  Solid fuels,1996,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),553.7547359513629
2.  Oil and natural gas and other emissions from energy production,1996,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),8153.098841374179
2.  Industrial processes and product use,1996,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),44306.04709860317
A.  Mineral industry,1996,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),9469.175308820691
B.  Chemical industry,1996,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),7746.86299672833
C.  Metal industry,1996,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),25042.711563355217
D.  Non-energy products from fuels and solvent use ,1996,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),2047.2972296989344
Total national emissions and removals,1997,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),564783.4410595656
1. Energy,1997,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),519972.88229007047
A. Fuel combustion     Reference approach(2),1997,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),510475.4835409633
                                           Sectoral approach(2),1997,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),512762.0801841535
1.  Energy industries,1997,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),192672.44681702656
2.  Manufacturing industries and construction                          ,1997,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),69803.5636407435
3.  Transport,1997,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),128225.04773015072
4.  Other sectors,1997,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),118424.2204506918
5.  Other,1997,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),3636.801545540901
B. Fugitive emissions from fuels,1997,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),7210.802105917001
1.  Solid fuels,1997,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),631.1653690361505
2.  Oil and natural gas and other emissions from energy production,1997,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),6579.636736880851
2.  Industrial processes and product use,1997,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),43089.93418425033
A.  Mineral industry,1997,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),9739.374403396352
B.  Chemical industry,1997,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),6907.53630333938
C.  Metal industry,1997,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),24974.26981885538
D.  Non-energy products from fuels and solvent use ,1997,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),1468.7536586592155
Total national emissions and removals,1998,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),569367.1492088307
1. Energy,1998,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),527796.8256472688
A. Fuel combustion     Reference approach(2),1998,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),519058.067759316
                                           Sectoral approach(2),1998,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),520290.2039318028
1.  Energy industries,1998,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),198442.55957229747
2.  Manufacturing industries and construction                          ,1998,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),71405.296497704
3.  Transport,1998,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),127850.70178422405
4.  Other sectors,1998,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),119393.33068488304
5.  Other,1998,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),3198.315392694225
B. Fugitive emissions from fuels,1998,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),7506.621715465976
1.  Solid fuels,1998,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),296.9409774467129
2.  Oil and natural gas and other emissions from energy production,1998,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),7209.680738019263
2.  Industrial processes and product use,1998,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),40664.82431251041
A.  Mineral industry,1998,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),9849.090506251823
B.  Chemical industry,1998,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),7024.247761547371
C.  Metal industry,1998,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),22768.922024159056
D.  Non-energy products from fuels and solvent use ,1998,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),1022.56402055216
Total national emissions and removals,1999,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),562016.9034296797
1. Energy,1999,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),519744.62527999846
A. Fuel combustion     Reference approach(2),1999,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),515422.2882867025
                                           Sectoral approach(2),1999,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),513572.28588555823
1.  Energy industries,1999,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),188957.708937961
2.  Manufacturing industries and construction                          ,1999,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),72135.22991343876
3.  Transport,1999,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),129465.27910168156
4.  Other sectors,1999,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),119859.68292135996
5.  Other,1999,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),3154.3850111169822
B. Fugitive emissions from fuels,1999,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),6172.339394440237
1.  Solid fuels,1999,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),214.3218541169522
2.  Oil and natural gas and other emissions from energy production,1999,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),5958.017540323285
2.  Industrial processes and product use,1999,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),41305.65919924143
A.  Mineral industry,1999,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),9289.969602125286
B.  Chemical industry,1999,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),7432.99320865499
C.  Metal industry,1999,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),24060.56152101584
D.  Non-energy products from fuels and solvent use ,1999,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),522.1348674453151
Total national emissions and removals,2000,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),569664.5188886405
1. Energy,2000,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),530267.7790463596
A. Fuel combustion     Reference approach(2),2000,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),527321.7105883645
                                           Sectoral approach(2),2000,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),523821.6738933293
1.  Energy industries,2000,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),199771.1788528182
2.  Manufacturing industries and construction                          ,2000,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),74377.10037203801
3.  Transport,2000,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),127852.28142772304
4.  Other sectors,2000,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),118900.14777841058
5.  Other,2000,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),2920.965462339494
B. Fugitive emissions from fuels,2000,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),6446.105153030183
1.  Solid fuels,2000,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),190.25651419344
2.  Oil and natural gas and other emissions from energy production,2000,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),6255.848638836743
2.  Industrial processes and product use,2000,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),38596.34721546193
A.  Mineral industry,2000,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),9141.075330266223
B.  Chemical industry,2000,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),6816.267125032734
C.  Metal industry,2000,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),22059.7130667931
D.  Non-energy products from fuels and solvent use ,2000,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),579.2916933698668
Total national emissions and removals,2001,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),578183.0449040702
1. Energy,2001,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),542554.4535788249
A. Fuel combustion     Reference approach(2),2001,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),533823.6914021638
                                           Sectoral approach(2),2001,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),536061.290783983
1.  Energy industries,2001,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),210642.63708632067
2.  Manufacturing industries and construction                          ,2001,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),73416.55327432955
3.  Transport,2001,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),127827.30829853832
4.  Other sectors,2001,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),121248.61536817763
5.  Other,2001,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),2926.176756616829
B. Fugitive emissions from fuels,2001,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),6493.162794841862
1.  Solid fuels,2001,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),197.6322326395928
2.  Oil and natural gas and other emissions from energy production,2001,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),6295.530562202269
2.  Industrial processes and product use,2001,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),35618.52335902183
A.  Mineral industry,2001,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),8698.328512092441
B.  Chemical industry,2001,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),6431.525202123311
C.  Metal industry,2001,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),19934.321636178764
D.  Non-energy products from fuels and solvent use ,2001,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),554.3480086273114
Total national emissions and removals,2002,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),559951.8059813032
1. Energy,2002,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),527861.3651179292
A. Fuel combustion     Reference approach(2),2002,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),518588.9671302894
                                           Sectoral approach(2),2002,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),521682.63134939066
1.  Energy industries,2002,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),207587.6966933281
2.  Manufacturing industries and construction                          ,2002,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),66210.13241942822
3.  Transport,2002,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),130503.27977901373
4.  Other sectors,2002,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),114320.99807339314
5.  Other,2002,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),3060.524384227503
B. Fugitive emissions from fuels,2002,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),6178.7337685385
1.  Solid fuels,2002,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),194.3148078825769
2.  Oil and natural gas and other emissions from energy production,2002,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),5984.418960655923
2.  Industrial processes and product use,2002,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),32988.457575967564
A.  Mineral industry,2002,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),8678.057784277655
B.  Chemical industry,2002,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),6261.419239880947
C.  Metal industry,2002,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),16939.65363881376
D.  Non-energy products from fuels and solvent use ,2002,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),1109.3269129952007
Total national emissions and removals,2003,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),570567.3833893036
1. Energy,2003,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),535489.7215550286
A. Fuel combustion     Reference approach(2),2003,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),527053.0209008344
                                           Sectoral approach(2),2003,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),529926.5187706075
1.  Energy industries,2003,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),215329.6357197356
2.  Manufacturing industries and construction                          ,2003,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),66739.73236305067
3.  Transport,2003,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),129888.02739598168
4.  Other sectors,2003,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),114802.59102218092
5.  Other,2003,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),3166.532269658652
B. Fugitive emissions from fuels,2003,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),5563.202784421118
1.  Solid fuels,2003,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),185.4220100464746
2.  Oil and natural gas and other emissions from energy production,2003,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),5377.780774374643
2.  Industrial processes and product use,2003,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),35973.581220554006
A.  Mineral industry,2003,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),8755.38977855664
B.  Chemical industry,2003,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),6528.977953824418
C.  Metal industry,2003,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),19617.068326759472
D.  Non-energy products from fuels and solvent use ,2003,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),1072.1451614134724
Total national emissions and removals,2004,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),571948.500800855
1. Energy,2004,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),535874.7025984254
A. Fuel combustion     Reference approach(2),2004,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),528838.4949048988
                                           Sectoral approach(2),2004,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),530255.8261122069
1.  Energy industries,2004,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),213547.9715601416
2.  Manufacturing industries and construction                          ,2004,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),65104.96295712645
3.  Transport,2004,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),131251.35397829188
4.  Other sectors,2004,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),117293.9666528138
5.  Other,2004,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),3057.57096383321
B. Fugitive emissions from fuels,2004,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),5618.876486218556
1.  Solid fuels,2004,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),227.727799444994
2.  Oil and natural gas and other emissions from energy production,2004,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),5391.148686773562
2.  Industrial processes and product use,2004,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),37405.59760832267
A.  Mineral industry,2004,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),9062.972208091229
B.  Chemical industry,2004,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),6594.918539923172
C.  Metal industry,2004,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),20007.67740154801
D.  Non-energy products from fuels and solvent use ,2004,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),1740.029458760258
Total national emissions and removals,2005,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),568441.0823483546
1. Energy,2005,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),533765.6345130343
A. Fuel combustion     Reference approach(2),2005,Summary1As1,Net Net CO2 emissions/removals emissions/removals (kt),529805.0368135716
