GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),Unspecified mix of HFCs and PFCs(1),SF6 (kt),Sheet,Country,Year,Level
1. Energy,872832.0415722401,1182.0450241199999,19.68071521146222,,,,,Summary1.As1,GERMANY,1997,Sector
2.  Industrial processes and product use,56298.01422267,21.25125213,79.78537016,3854.9825866894,1495.7094566017,3769.8321342,0.26793175958,Summary1.As1,GERMANY,1997,Sector
