GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),Sheet,Country,Year,Level
International bunkers,17209.5099793,0.10204571,0.59377229,Summary1.As3,GERMANY,2020,Sector
CO2 emissions from biomass,106438.90438619,,,Summary1.As3,GERMANY,2020,Sector
