GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),Unspecified mix of HFCs and PFCs(1),SF6 (kt),Sheet,Country,Year,Level
1. Energy,829047.08449985,703.4163817,16.71490591,,,,,Summary1.As1,GERMANY,2004,Sector
2.  Industrial processes and product use,54156.46226755,25.67715746,33.74839786,8221.35245142583,899.243063015,897.5617638,0.14215101955,Summary1.As1,GERMANY,2004,Sector
