GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),Unspecified mix of HFCs and PFCs(1),SF6 (kt),Sheet,Country,Year,Level
1. Energy,602585.73817017,237.34628482,15.46425925,,,,,Summary1.As1,GERMANY,2020,Sector
2.  Industrial processes and product use,42038.09353639,23.68981343,2.80117627,8256.323271643594,188.230284978,141.55164754,0.13193107062,Summary1.As1,GERMANY,2020,Sector
