GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),Sheet,Country,Year,Level
International bunkers,20708.22813765,0.21848644,0.72790547,Summary1.As3,GERMANY,1995,Sector
CO2 emissions from biomass,21636.65311764,,,Summary1.As3,GERMANY,1995,Sector
