GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),Unspecified mix of HFCs and PFCs(1),SF6 (kt),Sheet,Country,Year,Level
1. Energy,958143.22753827,1545.1654493600001,21.9131504438138,,,,,Summary1.As1,GERMANY,1991,Sector
2.  Industrial processes and product use,55829.59281123,16.1698781,80.7095077,38.689096604,2387.4795,4565.612779,0.2081525776,Summary1.As1,GERMANY,1991,Sector
