GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),Sheet,Country,Year,Level,Parent_Sector,PFCs(1),SF6 (kt)
D.  Non-energy products from fuels and solvent use ,0.17990523914184,,,,Summary1.As1,LIECHTENSTEIN,2008,Subsector,1. Energy,,
F.  Product uses as substitutes for ODS,,,,7.9163032190913,Summary1.As1,LIECHTENSTEIN,2008,Subsector,1. Energy,0.06474732169437,
A. Fuel combustion     Reference approach(2),205.39856810472065,,,,Summary1.As1,LIECHTENSTEIN,2009,Subsector,1. Energy,,
                                           Sectoral approach(2),205.17715954227987,0.02547640252802,0.00372224310078,,Summary1.As1,LIECHTENSTEIN,2009,Subsector,1. Energy,,
1.  Energy industries,2.867832,0.00141994953216,0.00026535280896,,Summary1.As1,LIECHTENSTEIN,2009,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,27.45265779213941,0.00045078857041,0.00028660903378,,Summary1.As1,LIECHTENSTEIN,2009,Subsector,1. Energy,,
3.  Transport,81.2114257984859,0.00839457457653,0.00172641163137,,Summary1.As1,LIECHTENSTEIN,2009,Subsector,1. Energy,,
4.  Other sectors,93.64524395165454,0.01521108984892,0.00144386962667,,Summary1.As1,LIECHTENSTEIN,2009,Subsector,1. Energy,,
B. Fugitive emissions from fuels,0.00034682870769,0.04411839022689,,,Summary1.As1,LIECHTENSTEIN,2009,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,0.00034682870769,0.04411839022689,,,Summary1.As1,LIECHTENSTEIN,2009,Subsector,1. Energy,,
D.  Non-energy products from fuels and solvent use ,0.14139433820682,,,,Summary1.As1,LIECHTENSTEIN,2009,Subsector,1. Energy,,
F.  Product uses as substitutes for ODS,,,,7.72963885529535,Summary1.As1,LIECHTENSTEIN,2009,Subsector,1. Energy,0.05482225495956,
A. Fuel combustion     Reference approach(2),190.8693043811505,,,,Summary1.As1,LIECHTENSTEIN,2010,Subsector,1. Energy,,
                                           Sectoral approach(2),190.6255157647135,0.02379150824521,0.0036762219153,,Summary1.As1,LIECHTENSTEIN,2010,Subsector,1. Energy,,
1.  Energy industries,3.150576,0.00153743671296,0.00025024997376,,Summary1.As1,LIECHTENSTEIN,2010,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,25.98428503686653,0.0004244414541,0.00026078971869,,Summary1.As1,LIECHTENSTEIN,2010,Subsector,1. Energy,,
3.  Transport,77.07786297184786,0.00714868526707,0.00172995336427,,Summary1.As1,LIECHTENSTEIN,2010,Subsector,1. Energy,,
4.  Other sectors,84.4127917559991,0.01468094481108,0.00143522885858,,Summary1.As1,LIECHTENSTEIN,2010,Subsector,1. Energy,,
B. Fugitive emissions from fuels,0.00035495113598,0.04515160475891,,,Summary1.As1,LIECHTENSTEIN,2010,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,0.00035495113598,0.04515160475891,,,Summary1.As1,LIECHTENSTEIN,2010,Subsector,1. Energy,,
D.  Non-energy products from fuels and solvent use ,0.1506949465598,,,,Summary1.As1,LIECHTENSTEIN,2010,Subsector,1. Energy,,
F.  Product uses as substitutes for ODS,,,,8.28485611655202,Summary1.As1,LIECHTENSTEIN,2010,Subsector,1. Energy,0.05221463264463,
A. Fuel combustion     Reference approach(2),176.8732942078624,,,,Summary1.As1,LIECHTENSTEIN,2011,Subsector,1. Energy,,
                                           Sectoral approach(2),176.57548610988016,0.02282021159868,0.00363269568451,,Summary1.As1,LIECHTENSTEIN,2011,Subsector,1. Energy,,
1.  Energy industries,2.948616,0.0014489630208,0.0002526882048,,Summary1.As1,LIECHTENSTEIN,2011,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,23.47311769923511,0.00037851576392,0.00026784739641,,Summary1.As1,LIECHTENSTEIN,2011,Subsector,1. Energy,,
3.  Transport,76.24147135695156,0.00674587229194,0.00170868856383,,Summary1.As1,LIECHTENSTEIN,2011,Subsector,1. Energy,,
4.  Other sectors,73.91228105369348,0.01424686052202,0.00140347151947,,Summary1.As1,LIECHTENSTEIN,2011,Subsector,1. Energy,,
B. Fugitive emissions from fuels,0.00034914317059,0.0444128017779,,,Summary1.As1,LIECHTENSTEIN,2011,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,0.00034914317059,0.0444128017779,,,Summary1.As1,LIECHTENSTEIN,2011,Subsector,1. Energy,,
D.  Non-energy products from fuels and solvent use ,0.14572857118807,,,,Summary1.As1,LIECHTENSTEIN,2011,Subsector,1. Energy,,
F.  Product uses as substitutes for ODS,,,,8.71078972109846,Summary1.As1,LIECHTENSTEIN,2011,Subsector,1. Energy,0.05699523667325,
A. Fuel combustion     Reference approach(2),185.4721373764123,,,,Summary1.As1,LIECHTENSTEIN,2012,Subsector,1. Energy,,
                                           Sectoral approach(2),185.131820312425,0.0220438808674,0.00376914837836,,Summary1.As1,LIECHTENSTEIN,2012,Subsector,1. Energy,,
1.  Energy industries,2.706264,0.00134275281408,0.00025553749248,,Summary1.As1,LIECHTENSTEIN,2012,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,25.61639201053758,0.00040640029169,0.00030217440886,,Summary1.As1,LIECHTENSTEIN,2012,Subsector,1. Energy,,
3.  Transport,79.26857706374106,0.00557728832213,0.00176648676267,,Summary1.As1,LIECHTENSTEIN,2012,Subsector,1. Energy,,
4.  Other sectors,77.54058723814634,0.0147174394395,0.00144494971435,,Summary1.As1,LIECHTENSTEIN,2012,Subsector,1. Energy,,
B. Fugitive emissions from fuels,0.00035500942462,0.04515901937265,,,Summary1.As1,LIECHTENSTEIN,2012,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,0.00035500942462,0.04515901937265,,,Summary1.As1,LIECHTENSTEIN,2012,Subsector,1. Energy,,
D.  Non-energy products from fuels and solvent use ,0.13858283317744,,,,Summary1.As1,LIECHTENSTEIN,2012,Subsector,1. Energy,,
F.  Product uses as substitutes for ODS,,,,9.05613851259445,Summary1.As1,LIECHTENSTEIN,2012,Subsector,1. Energy,0.04086814021105,
A. Fuel combustion     Reference approach(2),192.68461600903896,,,,Summary1.As1,LIECHTENSTEIN,2013,Subsector,1. Energy,,
                                           Sectoral approach(2),192.34668245750987,0.02134599597094,0.00376778844488,,Summary1.As1,LIECHTENSTEIN,2013,Subsector,1. Energy,,
1.  Energy industries,2.92461665699685,0.00145099236096,0.00027287266176,,Summary1.As1,LIECHTENSTEIN,2013,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,26.29025976977986,0.00040721367039,0.00030819349309,,Summary1.As1,LIECHTENSTEIN,2013,Subsector,1. Energy,,
3.  Transport,78.97665102222673,0.00523773972818,0.00179371258099,,Summary1.As1,LIECHTENSTEIN,2013,Subsector,1. Energy,,
4.  Other sectors,84.15515500850643,0.01425005021141,0.00139300970904,,Summary1.As1,LIECHTENSTEIN,2013,Subsector,1. Energy,,
B. Fugitive emissions from fuels,0.00036267880704,0.04613460414657,,,Summary1.As1,LIECHTENSTEIN,2013,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,0.00036267880704,0.04613460414657,,,Summary1.As1,LIECHTENSTEIN,2013,Subsector,1. Energy,,
D.  Non-energy products from fuels and solvent use ,0.14471125839595,,,,Summary1.As1,LIECHTENSTEIN,2013,Subsector,1. Energy,,
F.  Product uses as substitutes for ODS,,,,9.01864083634787,Summary1.As1,LIECHTENSTEIN,2013,Subsector,1. Energy,0.04001482504104,
A. Fuel combustion     Reference approach(2),161.52455100822942,,,,Summary1.As1,LIECHTENSTEIN,2014,Subsector,1. Energy,,
                                           Sectoral approach(2),161.06244091375478,0.01847690317992,0.00330361607437,,Summary1.As1,LIECHTENSTEIN,2014,Subsector,1. Energy,,
1.  Energy industries,2.48167733798552,0.00113926668048,1.602599976e-05,,Summary1.As1,LIECHTENSTEIN,2014,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,27.23014103546087,0.00043480287424,0.00029993585853,,Summary1.As1,LIECHTENSTEIN,2014,Subsector,1. Energy,,
3.  Transport,73.17743026043169,0.00455723115206,0.00171088935387,,Summary1.As1,LIECHTENSTEIN,2014,Subsector,1. Energy,,
4.  Other sectors,58.17319227987671,0.01234560247314,0.00127676486221,,Summary1.As1,LIECHTENSTEIN,2014,Subsector,1. Energy,,
B. Fugitive emissions from fuels,0.00035224551698,0.04480743614662,,,Summary1.As1,LIECHTENSTEIN,2014,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,0.00035224551698,0.04480743614662,,,Summary1.As1,LIECHTENSTEIN,2014,Subsector,1. Energy,,
D.  Non-energy products from fuels and solvent use ,0.14452643878198,,,,Summary1.As1,LIECHTENSTEIN,2014,Subsector,1. Energy,,
F.  Product uses as substitutes for ODS,,,,9.25818538753473,Summary1.As1,LIECHTENSTEIN,2014,Subsector,1. Energy,0.02455475901572,
A. Fuel combustion     Reference approach(2),160.40218841562947,,,,Summary1.As1,LIECHTENSTEIN,2015,Subsector,1. Energy,,
                                           Sectoral approach(2),159.5775293710216,0.01917024385871,0.00327369296698,,Summary1.As1,LIECHTENSTEIN,2015,Subsector,1. Energy,,
1.  Energy industries,2.02052323156167,0.00092554437024,9.24697872e-06,,Summary1.As1,LIECHTENSTEIN,2015,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,27.49238833094459,0.00042620169998,0.00030283420947,,Summary1.As1,LIECHTENSTEIN,2015,Subsector,1. Energy,,
3.  Transport,61.30863843792479,0.00365917191875,0.00151908660448,,Summary1.As1,LIECHTENSTEIN,2015,Subsector,1. Energy,,
4.  Other sectors,68.75597937059054,0.01415932586974,0.00144252517431,,Summary1.As1,LIECHTENSTEIN,2015,Subsector,1. Energy,,
B. Fugitive emissions from fuels,0.00036115722465,0.04594105106358,,,Summary1.As1,LIECHTENSTEIN,2015,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,0.00036115722465,0.04594105106358,,,Summary1.As1,LIECHTENSTEIN,2015,Subsector,1. Energy,,
D.  Non-energy products from fuels and solvent use ,0.13838664612084,,,,Summary1.As1,LIECHTENSTEIN,2015,Subsector,1. Energy,,
F.  Product uses as substitutes for ODS,,,,9.365332282589,Summary1.As1,LIECHTENSTEIN,2015,Subsector,1. Energy,0.01323838176036,
A. Fuel combustion     Reference approach(2),150.93186745544014,,,,Summary1.As1,LIECHTENSTEIN,2016,Subsector,1. Energy,,
                                           Sectoral approach(2),149.64909764110865,0.01804564897125,0.00325519266084,,Summary1.As1,LIECHTENSTEIN,2016,Subsector,1. Energy,,
1.  Energy industries,2.14099714799869,0.00098598709296,2.348048376e-05,,Summary1.As1,LIECHTENSTEIN,2016,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,25.85969043943005,0.00040065426309,0.0002913898766,,Summary1.As1,LIECHTENSTEIN,2016,Subsector,1. Energy,,
3.  Transport,59.91237506287984,0.00342473866471,0.0015802052766,,Summary1.As1,LIECHTENSTEIN,2016,Subsector,1. Energy,,
4.  Other sectors,61.73603499080008,0.01323426895049,0.00136011702388,,Summary1.As1,LIECHTENSTEIN,2016,Subsector,1. Energy,,
B. Fugitive emissions from fuels,0.00036297379909,0.04617212864875,,,Summary1.As1,LIECHTENSTEIN,2016,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,0.00036297379909,0.04617212864875,,,Summary1.As1,LIECHTENSTEIN,2016,Subsector,1. Energy,,
D.  Non-energy products from fuels and solvent use ,0.13618215688809,,,,Summary1.As1,LIECHTENSTEIN,2016,Subsector,1. Energy,,
F.  Product uses as substitutes for ODS,,,,9.01613791089874,Summary1.As1,LIECHTENSTEIN,2016,Subsector,1. Energy,0.0049377579294,
A. Fuel combustion     Reference approach(2),157.52646433006615,,,,Summary1.As1,LIECHTENSTEIN,2017,Subsector,1. Energy,,
                                           Sectoral approach(2),155.58148692369204,0.01793157625973,0.00337709095353,,Summary1.As1,LIECHTENSTEIN,2017,Subsector,1. Energy,,
1.  Energy industries,2.09015052297149,0.00096842715696,3.130664184e-05,,Summary1.As1,LIECHTENSTEIN,2017,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,27.58876998249006,0.0004250759562,0.0003105489187,,Summary1.As1,LIECHTENSTEIN,2017,Subsector,1. Energy,,
3.  Transport,60.26081435669552,0.00339399242286,0.00169621984047,,Summary1.As1,LIECHTENSTEIN,2017,Subsector,1. Energy,,
4.  Other sectors,65.64175206153497,0.01314408072371,0.00133901555252,,Summary1.As1,LIECHTENSTEIN,2017,Subsector,1. Energy,,
B. Fugitive emissions from fuels,0.0003708005589,0.04716773263389,,,Summary1.As1,LIECHTENSTEIN,2017,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,0.0003708005589,0.04716773263389,,,Summary1.As1,LIECHTENSTEIN,2017,Subsector,1. Energy,,
D.  Non-energy products from fuels and solvent use ,0.13285661234662,,,,Summary1.As1,LIECHTENSTEIN,2017,Subsector,1. Energy,,
F.  Product uses as substitutes for ODS,,,,9.25101705198165,Summary1.As1,LIECHTENSTEIN,2017,Subsector,1. Energy,0.00250620179079,
A. Fuel combustion     Reference approach(2),145.23861056364754,,,,Summary1.As1,LIECHTENSTEIN,2018,Subsector,1. Energy,,
                                           Sectoral approach(2),142.76983244974758,0.01834179685556,0.00344281463655,,Summary1.As1,LIECHTENSTEIN,2018,Subsector,1. Energy,,
1.  Energy industries,2.14970752137861,0.0009946428876,2.389089708e-05,,Summary1.As1,LIECHTENSTEIN,2018,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,24.50907362698384,0.00037792585197,0.00027643723995,,Summary1.As1,LIECHTENSTEIN,2018,Subsector,1. Energy,,
3.  Transport,58.23338583465787,0.00340788875666,0.00170319175477,,Summary1.As1,LIECHTENSTEIN,2018,Subsector,1. Energy,,
4.  Other sectors,57.87766546672725,0.01356133935933,0.00143929474475,,Summary1.As1,LIECHTENSTEIN,2018,Subsector,1. Energy,,
B. Fugitive emissions from fuels,0.00036842196483,0.04686516326964,,,Summary1.As1,LIECHTENSTEIN,2018,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,0.00036842196483,0.04686516326964,,,Summary1.As1,LIECHTENSTEIN,2018,Subsector,1. Energy,,
D.  Non-energy products from fuels and solvent use ,0.12171208836796,,,,Summary1.As1,LIECHTENSTEIN,2018,Subsector,1. Energy,,
F.  Product uses as substitutes for ODS,,,,9.37918776818102,Summary1.As1,LIECHTENSTEIN,2018,Subsector,1. Energy,0.00220785896,
A. Fuel combustion     Reference approach(2),151.3498269511545,,,,Summary1.As1,LIECHTENSTEIN,2019,Subsector,1. Energy,,
                                           Sectoral approach(2),148.84811663787195,0.01880100502227,0.00342811554688,,Summary1.As1,LIECHTENSTEIN,2019,Subsector,1. Energy,,
1.  Energy industries,3.37560437739436,0.00155416873968,2.165719896e-05,,Summary1.As1,LIECHTENSTEIN,2019,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,24.03128348252651,0.00036195592117,0.00027324534753,,Summary1.As1,LIECHTENSTEIN,2019,Subsector,1. Energy,,
3.  Transport,56.77950667727104,0.00327618852072,0.00170141076224,,Summary1.As1,LIECHTENSTEIN,2019,Subsector,1. Energy,,
4.  Other sectors,64.66172210068005,0.0136086918407,0.00143180223815,,Summary1.As1,LIECHTENSTEIN,2019,Subsector,1. Energy,,
B. Fugitive emissions from fuels,0.00037303858181,0.04745242062477,,,Summary1.As1,LIECHTENSTEIN,2019,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,0.00037303858181,0.04745242062477,,,Summary1.As1,LIECHTENSTEIN,2019,Subsector,1. Energy,,
D.  Non-energy products from fuels and solvent use ,0.11809529340875,,,,Summary1.As1,LIECHTENSTEIN,2019,Subsector,1. Energy,,
F.  Product uses as substitutes for ODS,,,,9.06434913405222,Summary1.As1,LIECHTENSTEIN,2019,Subsector,1. Energy,0.00196996120235,
A. Fuel combustion     Reference approach(2),144.1610610836233,,,,Summary1.As1,LIECHTENSTEIN,2020,Subsector,1. Energy,,
                                           Sectoral approach(2),141.7720876854777,0.01641415052873,0.0032024291792,,Summary1.As1,LIECHTENSTEIN,2020,Subsector,1. Energy,,
1.  Energy industries,2.40674364288651,0.00110655307296,1.0180404e-05,,Summary1.As1,LIECHTENSTEIN,2020,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,22.76024345120376,0.00033574418787,0.00027325239008,,Summary1.As1,LIECHTENSTEIN,2020,Subsector,1. Energy,,
3.  Transport,52.21316799131442,0.00291435311836,0.00165925465902,,Summary1.As1,LIECHTENSTEIN,2020,Subsector,1. Energy,,
4.  Other sectors,64.39193260007299,0.01205750014954,0.0012597417261,,Summary1.As1,LIECHTENSTEIN,2020,Subsector,1. Energy,,
B. Fugitive emissions from fuels,0.0003724398697,0.04737626137399,,,Summary1.As1,LIECHTENSTEIN,2020,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,0.0003724398697,0.04737626137399,,,Summary1.As1,LIECHTENSTEIN,2020,Subsector,1. Energy,,
D.  Non-energy products from fuels and solvent use ,0.10643351477527,,,,Summary1.As1,LIECHTENSTEIN,2020,Subsector,1. Energy,,
F.  Product uses as substitutes for ODS,,,,8.62848437619377,Summary1.As1,LIECHTENSTEIN,2020,Subsector,1. Energy,0.00109975136152,
A. Fuel combustion     Reference approach(2),148.04108894035815,,,,Summary1.As1,LIECHTENSTEIN,2021,Subsector,1. Energy,,
                                           Sectoral approach(2),145.71931048946828,0.01645121697873,0.00331954943492,,Summary1.As1,LIECHTENSTEIN,2021,Subsector,1. Energy,,
1.  Energy industries,2.54117452855473,0.00116717602752,1.446124896e-05,,Summary1.As1,LIECHTENSTEIN,2021,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,23.13106545612073,0.0003448506738,0.00026795971897,,Summary1.As1,LIECHTENSTEIN,2021,Subsector,1. Energy,,
3.  Transport,55.52351395842758,0.00313203575849,0.00179619954622,,Summary1.As1,LIECHTENSTEIN,2021,Subsector,1. Energy,,
4.  Other sectors,64.52355654636526,0.01180715451892,0.00124092892077,,Summary1.As1,LIECHTENSTEIN,2021,Subsector,1. Energy,,
B. Fugitive emissions from fuels,0.00038251860878,0.04865832867021,,,Summary1.As1,LIECHTENSTEIN,2021,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,0.00038251860878,0.04865832867021,,,Summary1.As1,LIECHTENSTEIN,2021,Subsector,1. Energy,,
D.  Non-energy products from fuels and solvent use ,0.11276111785227,,,,Summary1.As1,LIECHTENSTEIN,2021,Subsector,1. Energy,,
F.  Product uses as substitutes for ODS,,,,7.99348229998211,Summary1.As1,LIECHTENSTEIN,2021,Subsector,1. Energy,0.00105014666657,
A.  Enteric fermentation,,0.55693035697254,,,Summary1.As2,LIECHTENSTEIN,1990,Subsector,3.  Agriculture,,
B.  Manure management,,0.11714435036937,0.00459846707497,,Summary1.As2,LIECHTENSTEIN,1990,Subsector,3.  Agriculture,,
D.  Agricultural soils,,,0.02221258131751,,Summary1.As2,LIECHTENSTEIN,1990,Subsector,3.  Agriculture,,
H. Urea application,0.05830724614753,,,,Summary1.As2,LIECHTENSTEIN,1990,Subsector,3.  Agriculture,,
A. Forest land (4),-0.13839922905065,,,,Summary1.As2,LIECHTENSTEIN,1990,Subsector,3.  Agriculture,,
B. Cropland (4),4.48851307300536,,3.634056566e-05,,Summary1.As2,LIECHTENSTEIN,1990,Subsector,3.  Agriculture,,
C. Grassland (4),1.97359324008308,,3.956299486e-05,,Summary1.As2,LIECHTENSTEIN,1990,Subsector,3.  Agriculture,,
D. Wetlands (4),0.15542521239868,,1.185032922e-05,,Summary1.As2,LIECHTENSTEIN,1990,Subsector,3.  Agriculture,,
E. Settlements (4),3.05529940266313,,0.00063016036695,,Summary1.As2,LIECHTENSTEIN,1990,Subsector,3.  Agriculture,,
G. Harvested wood products ,-2.6888820786079,,,,Summary1.As2,LIECHTENSTEIN,1990,Subsector,"4.  Land use, land-use change and forestry  (4)",,
A.  Solid waste disposal (5),,0.01924017529853,,,Summary1.As2,LIECHTENSTEIN,1990,Subsector,"4.  Land use, land-use change and forestry  (4)",,
B.  Biological treatment of solid waste (5),,0.00121108752,6.0554376e-05,,Summary1.As2,LIECHTENSTEIN,1990,Subsector,"4.  Land use, land-use change and forestry  (4)",,
C.  Incineration and open burning of waste (5),0.01390679683014,0.000319308,7.9827e-06,,Summary1.As2,LIECHTENSTEIN,1990,Subsector,"4.  Land use, land-use change and forestry  (4)",,
D.  Wastewater treatment and discharge,,0.02347186534687,0.00173055635512,,Summary1.As2,LIECHTENSTEIN,1990,Subsector,"4.  Land use, land-use change and forestry  (4)",,
A.  Enteric fermentation,,0.55120419348019,,,Summary1.As2,LIECHTENSTEIN,1991,Subsector,3.  Agriculture,,
B.  Manure management,,0.1187026529174,0.00471142713486,,Summary1.As2,LIECHTENSTEIN,1991,Subsector,3.  Agriculture,,
D.  Agricultural soils,,,0.02250990509226,,Summary1.As2,LIECHTENSTEIN,1991,Subsector,3.  Agriculture,,
H. Urea application,0.05512209025174,,,,Summary1.As2,LIECHTENSTEIN,1991,Subsector,3.  Agriculture,,
A. Forest land (4),-15.95858284806861,,,,Summary1.As2,LIECHTENSTEIN,1991,Subsector,3.  Agriculture,,
B. Cropland (4),4.47978640633869,,3.634056566e-05,,Summary1.As2,LIECHTENSTEIN,1991,Subsector,3.  Agriculture,,
C. Grassland (4),1.96486657341642,,3.956299486e-05,,Summary1.As2,LIECHTENSTEIN,1991,Subsector,3.  Agriculture,,
D. Wetlands (4),0.15542521239868,,1.185032922e-05,,Summary1.As2,LIECHTENSTEIN,1991,Subsector,3.  Agriculture,,
E. Settlements (4),3.05529940266313,,0.00063016036695,,Summary1.As2,LIECHTENSTEIN,1991,Subsector,3.  Agriculture,,
G. Harvested wood products ,-2.47759156421557,,,,Summary1.As2,LIECHTENSTEIN,1991,Subsector,"4.  Land use, land-use change and forestry  (4)",,
A.  Solid waste disposal (5),,0.01810827161372,,,Summary1.As2,LIECHTENSTEIN,1991,Subsector,"4.  Land use, land-use change and forestry  (4)",,
B.  Biological treatment of solid waste (5),,0.00107686692,5.3843346e-05,,Summary1.As2,LIECHTENSTEIN,1991,Subsector,"4.  Land use, land-use change and forestry  (4)",,
C.  Incineration and open burning of waste (5),0.01377696550533,0.0003131688,7.82922e-06,,Summary1.As2,LIECHTENSTEIN,1991,Subsector,"4.  Land use, land-use change and forestry  (4)",,
D.  Wastewater treatment and discharge,,0.02410043685677,0.00164489272362,,Summary1.As2,LIECHTENSTEIN,1991,Subsector,"4.  Land use, land-use change and forestry  (4)",,
A.  Enteric fermentation,,0.53830853066566,,,Summary1.As2,LIECHTENSTEIN,1992,Subsector,3.  Agriculture,,
B.  Manure management,,0.11299971177384,0.00454246903682,,Summary1.As2,LIECHTENSTEIN,1992,Subsector,3.  Agriculture,,
D.  Agricultural soils,,,0.0219548310376,,Summary1.As2,LIECHTENSTEIN,1992,Subsector,3.  Agriculture,,
H. Urea application,0.05553703911146,,,,Summary1.As2,LIECHTENSTEIN,1992,Subsector,3.  Agriculture,,
A. Forest land (4),-5.31570747656957,,,,Summary1.As2,LIECHTENSTEIN,1992,Subsector,3.  Agriculture,,
B. Cropland (4),4.47105973967202,,3.634056566e-05,,Summary1.As2,LIECHTENSTEIN,1992,Subsector,3.  Agriculture,,
C. Grassland (4),1.95613990674975,,3.956299486e-05,,Summary1.As2,LIECHTENSTEIN,1992,Subsector,3.  Agriculture,,
D. Wetlands (4),0.15542521239868,,1.185032922e-05,,Summary1.As2,LIECHTENSTEIN,1992,Subsector,3.  Agriculture,,
E. Settlements (4),3.05529940266313,,0.00063016036695,,Summary1.As2,LIECHTENSTEIN,1992,Subsector,3.  Agriculture,,
G. Harvested wood products ,-2.27044432793605,,,,Summary1.As2,LIECHTENSTEIN,1992,Subsector,"4.  Land use, land-use change and forestry  (4)",,
A.  Solid waste disposal (5),,0.01705338874479,,,Summary1.As2,LIECHTENSTEIN,1992,Subsector,"4.  Land use, land-use change and forestry  (4)",,
B.  Biological treatment of solid waste (5),,0.00115359948,5.7679974e-05,,Summary1.As2,LIECHTENSTEIN,1992,Subsector,"4.  Land use, land-use change and forestry  (4)",,
C.  Incineration and open burning of waste (5),0.01466449180678,0.0003280452,8.20113e-06,,Summary1.As2,LIECHTENSTEIN,1992,Subsector,"4.  Land use, land-use change and forestry  (4)",,
D.  Wastewater treatment and discharge,,0.02473928642294,0.00174625811709,,Summary1.As2,LIECHTENSTEIN,1992,Subsector,"4.  Land use, land-use change and forestry  (4)",,
A.  Enteric fermentation,,0.50846862208418,,,Summary1.As2,LIECHTENSTEIN,1993,Subsector,3.  Agriculture,,
B.  Manure management,,0.10971857382216,0.00425927131179,,Summary1.As2,LIECHTENSTEIN,1993,Subsector,3.  Agriculture,,
D.  Agricultural soils,,,0.02134794284836,,Summary1.As2,LIECHTENSTEIN,1993,Subsector,3.  Agriculture,,
H. Urea application,0.05563728490636,,,,Summary1.As2,LIECHTENSTEIN,1993,Subsector,3.  Agriculture,,
A. Forest land (4),-8.74827304594005,,,,Summary1.As2,LIECHTENSTEIN,1993,Subsector,3.  Agriculture,,
B. Cropland (4),4.46233307300536,,3.634056566e-05,,Summary1.As2,LIECHTENSTEIN,1993,Subsector,3.  Agriculture,,
C. Grassland (4),1.94741324008308,,3.956299486e-05,,Summary1.As2,LIECHTENSTEIN,1993,Subsector,3.  Agriculture,,
D. Wetlands (4),0.15542521239868,,1.185032922e-05,,Summary1.As2,LIECHTENSTEIN,1993,Subsector,3.  Agriculture,,
E. Settlements (4),3.05529940266313,,0.00063016036695,,Summary1.As2,LIECHTENSTEIN,1993,Subsector,3.  Agriculture,,
G. Harvested wood products ,-2.06735912261259,,,,Summary1.As2,LIECHTENSTEIN,1993,Subsector,"4.  Land use, land-use change and forestry  (4)",,
A.  Solid waste disposal (5),,0.01606899012391,,,Summary1.As2,LIECHTENSTEIN,1993,Subsector,"4.  Land use, land-use change and forestry  (4)",,
B.  Biological treatment of solid waste (5),,0.001175127,5.875635e-05,,Summary1.As2,LIECHTENSTEIN,1993,Subsector,"4.  Land use, land-use change and forestry  (4)",,
C.  Incineration and open burning of waste (5),0.01393158135898,0.0003049065,7.62266249e-06,,Summary1.As2,LIECHTENSTEIN,1993,Subsector,"4.  Land use, land-use change and forestry  (4)",,
D.  Wastewater treatment and discharge,,0.02522595009538,0.00169822131593,,Summary1.As2,LIECHTENSTEIN,1993,Subsector,"4.  Land use, land-use change and forestry  (4)",,
A.  Enteric fermentation,,0.51396224846599,,,Summary1.As2,LIECHTENSTEIN,1994,Subsector,3.  Agriculture,,
B.  Manure management,,0.10916850758839,0.00435136412413,,Summary1.As2,LIECHTENSTEIN,1994,Subsector,3.  Agriculture,,
D.  Agricultural soils,,,0.02123028079472,,Summary1.As2,LIECHTENSTEIN,1994,Subsector,3.  Agriculture,,
H. Urea application,0.05202951637247,,,,Summary1.As2,LIECHTENSTEIN,1994,Subsector,3.  Agriculture,,
A. Forest land (4),10.19445938015268,,,,Summary1.As2,LIECHTENSTEIN,1994,Subsector,3.  Agriculture,,
B. Cropland (4),4.45360640633869,,3.634056566e-05,,Summary1.As2,LIECHTENSTEIN,1994,Subsector,3.  Agriculture,,
C. Grassland (4),1.93868657341642,,3.956299486e-05,,Summary1.As2,LIECHTENSTEIN,1994,Subsector,3.  Agriculture,,
D. Wetlands (4),0.15542521239868,,1.185032922e-05,,Summary1.As2,LIECHTENSTEIN,1994,Subsector,3.  Agriculture,,
E. Settlements (4),3.05529940266313,,0.00063016036695,,Summary1.As2,LIECHTENSTEIN,1994,Subsector,3.  Agriculture,,
