GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),10921.526159128793,,,,,Summary1.As1,LUXEMBOURG,1993,Subsector,1. Energy
                                           Sectoral approach(2),10912.283857391943,1.0900058604543,0.15973856371059,,,Summary1.As1,LUXEMBOURG,1993,Subsector,1. Energy
1.  Energy industries,36.02782144440408,0.03869262424743,0.00515844989966,,,Summary1.As1,LUXEMBOURG,1993,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,5847.07454447179,0.15000419416284,0.04592945264727,,,Summary1.As1,LUXEMBOURG,1993,Subsector,1. Energy
3.  Transport,3540.319526931305,0.43157153023746,0.08881962495946,,,Summary1.As1,LUXEMBOURG,1993,Subsector,1. Energy
4.  Other sectors,1465.2466522021666,0.46674108720111,0.01961523122499,,,Summary1.As1,LUXEMBOURG,1993,Subsector,1. Energy
5.  Other,23.61531234227986,0.00299642460546,0.00021580497921,,,Summary1.As1,LUXEMBOURG,1993,Subsector,1. Energy
B. Fugitive emissions from fuels,0.02952817491158,0.87977298071373,,,,Summary1.As1,LUXEMBOURG,1993,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,0.02952817491158,0.87977298071373,,,,Summary1.As1,LUXEMBOURG,1993,Subsector,1. Energy
A.  Mineral industry,490.5907035907283,,,,,Summary1.As1,LUXEMBOURG,1993,Subsector,1. Energy
D.  Non-energy products from fuels and solvent use ,18.81465658112909,,,,,Summary1.As1,LUXEMBOURG,1993,Subsector,2.  Industrial processes and product use
F.  Product uses as substitutes for ODS,,,,11.7640888116693,,Summary1.As1,LUXEMBOURG,1993,Subsector,2.  Industrial processes and product use
G.  Other product manufacture and use ,,,0.02832464281395,,5.198964133e-05,Summary1.As1,LUXEMBOURG,1993,Subsector,2.  Industrial processes and product use
