GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),SF6 (kt),Sheet,Country,Year,Level
2.  Industrial processes and product use,593.3412250837088,,0.01428741776611,49.24676413837597,0.0003027300676,Summary1.As1,LUXEMBOURG,2010,Sector
1. Energy,10490.89644805546,2.49801634112736,0.23180452357863,,,Summary1.As1,LUXEMBOURG,2011,Sector
2.  Industrial processes and product use,601.8341283809286,,0.01378016917429,51.86887059130382,0.00032193774263,Summary1.As1,LUXEMBOURG,2011,Sector
1. Energy,10293.970845422822,2.59459594993579,0.23545910308199,,,Summary1.As1,LUXEMBOURG,2012,Sector
2.  Industrial processes and product use,568.465565783079,,0.01338766642956,54.03278673304488,0.00033842864039,Summary1.As1,LUXEMBOURG,2012,Sector
1. Energy,9780.819278244946,2.33162533977742,0.24151707528139,,,Summary1.As1,LUXEMBOURG,2013,Sector
2.  Industrial processes and product use,547.6450307392837,,0.01223249335752,57.48817300770923,0.00035456927269,Summary1.As1,LUXEMBOURG,2013,Sector
1. Energy,9259.520207772206,2.26790897108862,0.24701122098411,,,Summary1.As1,LUXEMBOURG,2014,Sector
2.  Industrial processes and product use,553.2796494051183,,0.01294876257998,61.54839240501562,0.00037112814699,Summary1.As1,LUXEMBOURG,2014,Sector
1. Energy,8795.593969476,2.15760657214159,0.24648838794616,,,Summary1.As1,LUXEMBOURG,2015,Sector
2.  Industrial processes and product use,544.2191274322522,,0.01256396042201,61.3791226290914,0.00039116130654,Summary1.As1,LUXEMBOURG,2015,Sector
1. Energy,8515.98814897668,2.12702769144009,0.25361825204965,,,Summary1.As1,LUXEMBOURG,2016,Sector
2.  Industrial processes and product use,567.1408041732043,,0.01466219249115,59.79750046108104,0.00040641127362,Summary1.As1,LUXEMBOURG,2016,Sector
1. Energy,8681.14690631595,2.09364864744799,0.2666276293215,,,Summary1.As1,LUXEMBOURG,2017,Sector
2.  Industrial processes and product use,574.0757662615085,,0.01504541049547,61.91718968752652,0.00041411488453,Summary1.As1,LUXEMBOURG,2017,Sector
1. Energy,8981.08374524368,2.11259975551833,0.28630338672294,,,Summary1.As1,LUXEMBOURG,2018,Sector
2.  Industrial processes and product use,578.2082681473778,,0.01574352326108,54.95560370016197,0.00042685318949,Summary1.As1,LUXEMBOURG,2018,Sector
1. Energy,9155.714600134012,2.05750053770068,0.29831136524305,,,Summary1.As1,LUXEMBOURG,2019,Sector
2.  Industrial processes and product use,599.6398472660499,,0.01668599400415,49.45116871887506,0.00043645880773,Summary1.As1,LUXEMBOURG,2019,Sector
1. Energy,7492.449584319809,1.97089033312061,0.26067295083432,,,Summary1.As1,LUXEMBOURG,2020,Sector
2.  Industrial processes and product use,560.5541016963678,,0.01776123196992,45.3573737282339,0.00042180578678,Summary1.As1,LUXEMBOURG,2020,Sector
1. Energy,7908.624791344083,2.08855533008038,0.2719982790418,,,Summary1.As1,LUXEMBOURG,2021,Sector
2.  Industrial processes and product use,507.47374141158366,,0.01832457995506,43.69411485482451,0.00042204099842,Summary1.As1,LUXEMBOURG,2021,Sector
3.  Agriculture,6.07711548281265,18.25936565961006,0.69709996034816,,,Summary1.As2,LUXEMBOURG,1990,Sector
"4.  Land use, land-use change and forestry  (4)",-1.15211116600372,,0.03827579180432,,,Summary1.As2,LUXEMBOURG,1990,Sector
5.  Waste,,3.99037614335063,0.01761674421761,,,Summary1.As2,LUXEMBOURG,1990,Sector
3.  Agriculture,6.52267040371465,18.17092490575847,0.71023991310616,,,Summary1.As2,LUXEMBOURG,1991,Sector
"4.  Land use, land-use change and forestry  (4)",-69.05506191296621,,0.03827579180432,,,Summary1.As2,LUXEMBOURG,1991,Sector
5.  Waste,,4.07477822241979,0.01791363497869,,,Summary1.As2,LUXEMBOURG,1991,Sector
3.  Agriculture,7.20348565207673,17.7510852308683,0.71452540011205,,,Summary1.As2,LUXEMBOURG,1992,Sector
"4.  Land use, land-use change and forestry  (4)",-474.6643778849786,,0.03827579180432,,,Summary1.As2,LUXEMBOURG,1992,Sector
5.  Waste,,4.10246723716454,0.01822321193756,,,Summary1.As2,LUXEMBOURG,1992,Sector
