GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),Sheet,Country,Year,Level
International bunkers,12293.250222405291,0.65380450507946,0.33116459299627,Summary1.As3,CAN,1993,Sector
CO2 emissions from biomass,51004.57318905065,,,Summary1.As3,CAN,1993,Sector
Indirect CO2,1028.141865,,,Summary1.As3,CAN,1993,Sector
