GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt),Sheet,Country,Year,Level
1. Energy,533043.3748705848,2366.6737309348173,31.04127177150435,,,,Summary1.As1,CAN,2004,Sector
2.  Industrial processes and product use,44934.358202137795,5.97813755193578,15.371649388227,4584.773567806354,3521.8675145084717,0.10262723168686,Summary1.As1,CAN,2004,Sector
