GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),Sheet,Country,Year,Level
International bunkers,30648.252929418522,1.74611145533778,0.84549143253596,Summary1.As3,JAPAN,1990,Sector
CO2 emissions from biomass,35628.85766548936,,,Summary1.As3,JAPAN,1990,Sector
Indirect CO2,5481.5142331228735,,,Summary1.As3,JAPAN,1990,Sector
