GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),105571.57572316469,,,Summary1.As1,BELARUS,1990,Subsector,1. Energy
                                           Sectoral approach(2),100944.88326949999,21.1154722025,2.939086142,Summary1.As1,BELARUS,1990,Subsector,1. Energy
1.  Energy industries,62033.97725099999,1.8280139,0.376461912,Summary1.As1,BELARUS,1990,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,8439.019479999999,0.29187984,0.053886742,Summary1.As1,BELARUS,1990,Subsector,1. Energy
3.  Transport,12112.0586265,3.6663755625,1.091122032,Summary1.As1,BELARUS,1990,Subsector,1. Energy
4.  Other sectors,16890.7295425,14.5197628,1.40652513,Summary1.As1,BELARUS,1990,Subsector,1. Energy
5.  Other,1469.0983695,0.8094401,0.011090326,Summary1.As1,BELARUS,1990,Subsector,1. Energy
B. Fugitive emissions from fuels,7.18269704699424,117.33950187752292,2.356e-06,Summary1.As1,BELARUS,1990,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,7.18269704699424,117.33950187752292,2.356e-06,Summary1.As1,BELARUS,1990,Subsector,1. Energy
A.  Mineral industry,2315.315155384265,,,Summary1.As1,BELARUS,1990,Subsector,1. Energy
