GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),87747.00683816463,,,Summary1.As1,BELARUS,1992,Subsector,1. Energy
                                           Sectoral approach(2),87069.1558985,17.97497839,2.73573524,Summary1.As1,BELARUS,1992,Subsector,1. Energy
1.  Energy industries,54493.333817,1.43322162,0.28280382,Summary1.As1,BELARUS,1992,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,5466.0489554999995,0.17390867,0.030643448,Summary1.As1,BELARUS,1992,Subsector,1. Energy
3.  Transport,11862.554463999999,3.574732685,1.041845806,Summary1.As1,BELARUS,1992,Subsector,1. Energy
4.  Other sectors,14316.406414000001,11.910523815,1.372530918,Summary1.As1,BELARUS,1992,Subsector,1. Energy
5.  Other,930.812248,0.8825916,0.007911248,Summary1.As1,BELARUS,1992,Subsector,1. Energy
B. Fugitive emissions from fuels,6.91494227246515,113.27820697614678,1.824e-06,Summary1.As1,BELARUS,1992,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,6.91494227246515,113.27820697614678,1.824e-06,Summary1.As1,BELARUS,1992,Subsector,1. Energy
A.  Mineral industry,2130.6081392158276,,,Summary1.As1,BELARUS,1992,Subsector,1. Energy
