GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
1.  Solid fuels,,7.692635753,,,,,Summary1.As1,AUSTRIA,1992,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,120.20828062730403,11.98782637505856,,,,,Summary1.As1,AUSTRIA,1992,Subsector,1. Energy
B.  Chemical industry,630.4951547379646,1.36416059694927,2.70153963348129,,,,Summary1.As1,AUSTRIA,1992,Subsector,2.  Industrial processes and product use
C.  Metal industry,6085.793695691217,0.20345942250945,,,410.4828,0.0106,Summary1.As1,AUSTRIA,1992,Subsector,2.  Industrial processes and product use
D.  Non-energy products from fuels and solvent use ,295.3956030188232,,,,,,Summary1.As1,AUSTRIA,1992,Subsector,2.  Industrial processes and product use
E.  Electronic industry ,,,,4.70952,48.420207,0.009984,Summary1.As1,AUSTRIA,1992,Subsector,2.  Industrial processes and product use
F.  Product uses as substitutes for ODS,,,,0.0090179877002,,,Summary1.As1,AUSTRIA,1992,Subsector,2.  Industrial processes and product use
G.  Other product manufacture and use ,,,0.44112636929374,,,0.0081998503134,Summary1.As1,AUSTRIA,1992,Subsector,2.  Industrial processes and product use
H.  Other(3),,,,,,,Summary1.As1,AUSTRIA,1992,Subsector,2.  Industrial processes and product use
A. Fuel combustion     Reference approach(2),51210.40602446798,,,,,,Summary1.As1,AUSTRIA,1993,Subsector,1. Energy
                                           Sectoral approach(2),50436.88147036752,21.64775421647652,1.53761427391938,,,,Summary1.As1,AUSTRIA,1993,Subsector,1. Energy
1.  Energy industries,11586.727806883126,0.35810077069768,0.111323973293,,,,Summary1.As1,AUSTRIA,1993,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,9366.074856323416,0.60068367875257,0.27573266222832,,,,Summary1.As1,AUSTRIA,1993,Subsector,1. Energy
3.  Transport,15324.847833016724,2.4314897193531,0.49139333945573,,,,Summary1.As1,AUSTRIA,1993,Subsector,1. Energy
4.  Other sectors,14119.825272450744,18.25616293519323,0.65600766528697,,,,Summary1.As1,AUSTRIA,1993,Subsector,1. Energy
5.  Other,39.40570169350707,0.00131711247994,0.00315663365536,,,,Summary1.As1,AUSTRIA,1993,Subsector,1. Energy
B. Fugitive emissions from fuels,112.202340928832,18.73687594993693,,,,,Summary1.As1,AUSTRIA,1993,Subsector,1. Energy
1.  Solid fuels,,6.574235439,,,,,Summary1.As1,AUSTRIA,1993,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,112.202340928832,12.16264051093693,,,,,Summary1.As1,AUSTRIA,1993,Subsector,1. Energy
