GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),Sheet,Country,Year,Level,Parent_Sector
F. Other land (4),503.89458347427825,,0.0117110064081,Summary1.As2,LITHUANIA,2018,Subsector,"4.  Land use, land-use change and forestry  (4)"
G. Harvested wood products ,-934.5428160409999,,,Summary1.As2,LITHUANIA,2018,Subsector,"4.  Land use, land-use change and forestry  (4)"
A.  Solid waste disposal (5),,25.29880143151134,,Summary1.As2,LITHUANIA,2018,Subsector,"4.  Land use, land-use change and forestry  (4)"
B.  Biological treatment of solid waste (5),,2.937203331268,0.10532341987608,Summary1.As2,LITHUANIA,2018,Subsector,"4.  Land use, land-use change and forestry  (4)"
C.  Incineration and open burning of waste (5),0.86853240833333,5.400462e-05,9.00077e-05,Summary1.As2,LITHUANIA,2018,Subsector,"4.  Land use, land-use change and forestry  (4)"
D.  Wastewater treatment and discharge,,4.98708908191128,0.15351949332044,Summary1.As2,LITHUANIA,2018,Subsector,"4.  Land use, land-use change and forestry  (4)"
