GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),34507.0192066667,,,Summary1.As1,LITHUANIA,1991,Subsector,1. Energy
                                           Sectoral approach(2),34298.49063967375,11.17270748927728,1.04608479825471,Summary1.As1,LITHUANIA,1991,Subsector,1. Energy
1.  Energy industries,14590.0348905,0.457633,0.0802962,Summary1.As1,LITHUANIA,1991,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,6160.439430377756,0.2498109180482,0.14515797380482,Summary1.As1,LITHUANIA,1991,Subsector,1. Energy
3.  Transport,6251.569588795995,1.81734172122908,0.33538832444989,Summary1.As1,LITHUANIA,1991,Subsector,1. Energy
4.  Other sectors,7296.01329,8.64791885,0.4852303,Summary1.As1,LITHUANIA,1991,Subsector,1. Energy
5.  Other,0.43344,3e-06,1.2e-05,Summary1.As1,LITHUANIA,1991,Subsector,1. Energy
B. Fugitive emissions from fuels,28.21811195101207,10.25031604988855,2.739038687e-05,Summary1.As1,LITHUANIA,1991,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,28.21811195101207,10.25031604988855,2.739038687e-05,Summary1.As1,LITHUANIA,1991,Subsector,1. Energy
A.  Mineral industry,2009.9204729927321,,,Summary1.As1,LITHUANIA,1991,Subsector,1. Energy
