GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),11873.829283333347,,,,,Summary1.As1,LITHUANIA,2004,Subsector,1. Energy
                                           Sectoral approach(2),11600.648817620451,7.9101456308706,0.47972934085697,,,Summary1.As1,LITHUANIA,2004,Subsector,1. Energy
1.  Energy industries,5378.313832250001,0.31716,0.0442258,,,Summary1.As1,LITHUANIA,2004,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,1200.2441207471838,0.18786858694876,0.04991480029488,,,Summary1.As1,LITHUANIA,2004,Subsector,1. Energy
3.  Transport,3900.2217586232673,0.60885699392184,0.23884744056209,,,Summary1.As1,LITHUANIA,2004,Subsector,1. Energy
4.  Other sectors,1112.550146,6.79619555,0.1464833,,,Summary1.As1,LITHUANIA,2004,Subsector,1. Energy
5.  Other,9.31896,6.45e-05,0.000258,,,Summary1.As1,LITHUANIA,2004,Subsector,1. Energy
B. Fugitive emissions from fuels,118.55327882806152,9.02540141624137,0.0002504975381,,,Summary1.As1,LITHUANIA,2004,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,118.55327882806152,9.02540141624137,0.0002504975381,,,Summary1.As1,LITHUANIA,2004,Subsector,1. Energy
A.  Mineral industry,424.0007550561134,,,,,Summary1.As1,LITHUANIA,2004,Subsector,1. Energy
