GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),Sheet,Country,Year,Level,Parent_Sector
A.  Enteric fermentation,,15.88147217390753,,Summary1.As2,LUXEMBOURG,2016,Subsector,3.  Agriculture
B.  Manure management,,2.74108458048858,0.13096023799643,Summary1.As2,LUXEMBOURG,2016,Subsector,3.  Agriculture
D.  Agricultural soils,,,0.47873769003471,Summary1.As2,LUXEMBOURG,2016,Subsector,3.  Agriculture
G. Liming,6.9875,,,Summary1.As2,LUXEMBOURG,2016,Subsector,3.  Agriculture
H. Urea application,0.1573934768074,,,Summary1.As2,LUXEMBOURG,2016,Subsector,3.  Agriculture
I.  Other carbon-contining fertilizers,3.92121058319471,,,Summary1.As2,LUXEMBOURG,2016,Subsector,3.  Agriculture
A. Forest land (4),-497.26651460779084,,,Summary1.As2,LUXEMBOURG,2016,Subsector,3.  Agriculture
B. Cropland (4),28.2291713938899,,0.0082246291345,Summary1.As2,LUXEMBOURG,2016,Subsector,3.  Agriculture
C. Grassland (4),-28.30313433412519,,0.0002334237567,Summary1.As2,LUXEMBOURG,2016,Subsector,3.  Agriculture
