GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),7851.955872762945,,,,,Summary1.As1,LUXEMBOURG,1997,Subsector,1. Energy
                                           Sectoral approach(2),7743.211335066356,0.82372912943129,0.16900522128225,,,Summary1.As1,LUXEMBOURG,1997,Subsector,1. Energy
1.  Energy industries,103.29841729551333,0.03968287660114,0.00526055396115,,,Summary1.As1,LUXEMBOURG,1997,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,2350.195055175343,0.07491394363575,0.04031323247432,,,Summary1.As1,LUXEMBOURG,1997,Subsector,1. Energy
3.  Transport,3741.1691701422105,0.27849703715349,0.10284313206909,,,Summary1.As1,LUXEMBOURG,1997,Subsector,1. Energy
4.  Other sectors,1525.5420017032707,0.42795927353519,0.0204022503555,,,Summary1.As1,LUXEMBOURG,1997,Subsector,1. Energy
5.  Other,23.00669075001824,0.00267599850572,0.00018605242219,,,Summary1.As1,LUXEMBOURG,1997,Subsector,1. Energy
B. Fugitive emissions from fuels,0.03787707276907,1.13017375793901,,,,Summary1.As1,LUXEMBOURG,1997,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,0.03787707276907,1.13017375793901,,,,Summary1.As1,LUXEMBOURG,1997,Subsector,1. Energy
A.  Mineral industry,501.0080661856898,,,,,Summary1.As1,LUXEMBOURG,1997,Subsector,1. Energy
