GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),7416.2803454557725,,,,,Summary1.As1,LUXEMBOURG,1999,Subsector,1. Energy
                                           Sectoral approach(2),7421.133040332995,0.76402195259862,0.17152438232489,,,Summary1.As1,LUXEMBOURG,1999,Subsector,1. Energy
1.  Energy industries,165.4445551729589,0.04846546187048,0.00640545683145,,,Summary1.As1,LUXEMBOURG,1999,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,1391.8783309445034,0.05765018365059,0.04241971472235,,,Summary1.As1,LUXEMBOURG,1999,Subsector,1. Energy
3.  Transport,4353.643458644095,0.24629006606354,0.10215345443459,,,Summary1.As1,LUXEMBOURG,1999,Subsector,1. Energy
4.  Other sectors,1447.1784542913017,0.40386129557472,0.02006992164829,,,Summary1.As1,LUXEMBOURG,1999,Subsector,1. Energy
5.  Other,62.98824128013575,0.00775494543929,0.00047583468821,,,Summary1.As1,LUXEMBOURG,1999,Subsector,1. Energy
B. Fugitive emissions from fuels,0.0394287089942,1.1793352344378,,,,Summary1.As1,LUXEMBOURG,1999,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,0.0394287089942,1.1793352344378,,,,Summary1.As1,LUXEMBOURG,1999,Subsector,1. Energy
A.  Mineral industry,525.0776713118123,,,,,Summary1.As1,LUXEMBOURG,1999,Subsector,1. Energy
