GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),Sheet,Country,Year,Level,Parent_Sector
E. Settlements (4),45.28361481776224,,0.01021046082645,Summary1.As2,LUXEMBOURG,2015,Subsector,"4.  Land use, land-use change and forestry  (4)"
F. Other land (4),0.20747979132008,,8.64956027e-06,Summary1.As2,LUXEMBOURG,2015,Subsector,"4.  Land use, land-use change and forestry  (4)"
G. Harvested wood products ,-23.78130028086805,,,Summary1.As2,LUXEMBOURG,2015,Subsector,"4.  Land use, land-use change and forestry  (4)"
A.  Solid waste disposal (5),,2.17323791086494,,Summary1.As2,LUXEMBOURG,2015,Subsector,"4.  Land use, land-use change and forestry  (4)"
B.  Biological treatment of solid waste (5),,1.00179134769241,0.01641957609195,Summary1.As2,LUXEMBOURG,2015,Subsector,"4.  Land use, land-use change and forestry  (4)"
D.  Wastewater treatment and discharge,,0.14026512,0.01797230768698,Summary1.As2,LUXEMBOURG,2015,Subsector,"4.  Land use, land-use change and forestry  (4)"
