GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),PFCs(1),SF6 (kt),Sheet,Country,Year,Level
1. Energy,427119.21195846866,1884.4297987217612,26.57136777537302,,,Summary1.As1,CANADA,1993,Sector
2.  Industrial processes and product use,36026.73369894936,4.4882537672258,33.22727038208783,7455.583435756154,0.10410278732365,Summary1.As1,CANADA,1993,Sector
