GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),Sheet,Country,Year,Level
International bunkers,14825.667813268385,0.69320612998008,0.40124818513325,Summary1.As3,CANADA,1996,Sector
CO2 emissions from biomass,57673.00896222533,,,Summary1.As3,CANADA,1996,Sector
Indirect CO2,771.341676,,,Summary1.As3,CANADA,1996,Sector
