GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt),Sheet,Country,Year,Level
1. Energy,534548.9302232928,2233.502065817972,18.62361647372515,,,,Summary1.As1,CANADA,2018,Sector
2.  Industrial processes and product use,39790.99924982009,5.94110274630476,2.69545019744768,12153.49974569521,629.5229426058752,0.01502710287187,Summary1.As1,CANADA,2018,Sector
