GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),PFCs(1),SF6 (kt),Sheet,Country,Year,Level
1. Energy,440733.76281332935,1968.4974757771015,27.98022094406253,,,Summary1.As1,CANADA,1994,Sector
2.  Industrial processes and product use,36682.66984660761,4.59501675977419,39.06283491080893,6895.014542135266,0.10709387332564,Summary1.As1,CANADA,1994,Sector
