GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Main_Category,Sub_Category,Detail_Category,Net CO2 emissions/removals (kt),CH4,N2O,HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt),Year
Total national emissions and removals,Total,Total National Emissions,Total national emissions and removals,508588.672878558,2704.6006281120312,78.20812912634254,11503.328448886346,257.10069799553,0.02887383599001,2010
1. Energy,1. Energy,Other Energy,1. Energy,485406.0617491702,404.68186757038455,8.2819389229078,,,,2010
A. Fuel combustion     Reference approach(2),1. Energy,1.A Fuel Combustion,1.A Reference Approach,477579.2060240535,,,,,,2010
                                           Sectoral approach(2),1. Energy,1.A Fuel Combustion,1.A Sectoral Approach,480667.9110033992,47.78543735373182,8.15284627161509,,,,2010
1.  Energy industries,Uncategorized,Uncategorized,1.  Energy industries,193378.97106549604,13.15473301817238,3.42655646983758,,,,2010
2.  Manufacturing industries and construction                          ,2. Industrial Processes,Other Industrial,2.  Manufacturing industries and construction,51280.76945169474,2.82860238108052,0.67593304799131,,,,2010
3.  Transport,3. Agriculture,Other Agriculture,3.  Transport,121363.69127239336,7.59053688121538,3.2528161868798,,,,2010
4.  Other sectors,4. LULUCF,Other LULUCF,4.  Other sectors,111740.41089562468,24.13606518542091,0.69257639639384,,,,2010
5.  Other,5. Waste,Other Waste,5.  Other,2904.0683181904105,0.07549988784263,0.10496417051256,,,,2010
B. Fugitive emissions from fuels,Uncategorized,Uncategorized,B. Fugitive emissions from fuels,4738.150745770998,356.89643021665273,0.12909265129271,,,,2010
1.  Solid fuels,1. Energy,Other Energy,1.  Solid fuels,296.7394861311165,102.27143627663403,0.00020002464,,,,2010
2.  Oil and natural gas and other emissions from energy production,1. Energy,Other Energy,2.  Oil and natural gas and other emissions from energy production,4441.411259639881,254.6249939400187,0.12889262665271,,,,2010
2.  Industrial processes and product use,2. Industrial Processes,Other Industrial,2.  Industrial processes and product use,26553.465040629388,5.02966506515596,7.04736794375131,11503.328448886346,257.10069799553,0.02887383599001,2010
A.  Mineral industry,Uncategorized,Uncategorized,A.  Mineral industry,6178.648156222963,,,,,,2010
B.  Chemical industry,Uncategorized,Uncategorized,B.  Chemical industry,5393.110209211618,4.15025828183504,4.25404307970082,74.3653,48.0742440264824,,2010
C.  Metal industry,Uncategorized,Uncategorized,C.  Metal industry,13802.517782576528,0.60978012074407,0.03636697921557,2.72038,118.67667,0.007795757,2010
D.  Non-energy products from fuels and solvent use ,1. Energy,Other Energy,D.  Non-energy products from fuels and solvent use,1179.1888926182778,,,,,,2010
E.  Electronic industry ,Uncategorized,Uncategorized,E.  Electronic industry,,,,25.95070285771226,,,2010
F.  Product uses as substitutes for ODS,Uncategorized,Uncategorized,F.  Product uses as substitutes for ODS,,,,11400.292066028635,,,2010
G.  Other product manufacture and use ,6. Other,Other,G.  Other product manufacture and use,,,2.75695788483492,,90.34978396904762,0.02107807899001,2010
H.  Other(3),6. Other,Other,H.  Other(3),,0.26962666257685,,,,,2010
