Main_Category,Year,Net CO2 emissions/removals (kt),CH4,N2O,HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt)
1. Energy,1990,1662732.0662308717,2993.743000222403,24.65297723582458,0.0,0.0,0.0
1. Energy,1991,1697578.3660642523,3035.1621402804176,24.5060988323103,0.0,0.0,0.0
1. Energy,1992,1658370.2414214525,2997.3466445177855,24.13193595473564,0.0,0.0,0.0
1. Energy,1993,1613719.2939855352,2842.8980257345165,23.86970532288242,0.0,0.0,0.0
1. Energy,1994,1589026.1482284828,2241.4857990681494,24.38705110009442,0.0,0.0,0.0
1. Energy,1995,1562930.8986371101,2309.922707762899,25.04886198040156,0.0,0.0,0.0
1. Energy,1996,1617817.5570635886,2184.960285400944,24.07855363301808,0.0,0.0,0.0
1. Energy,1997,1551890.0017797635,2015.0872082587666,23.27465210517438,0.0,0.0,0.0
1. Energy,1998,1575674.2830744057,1825.0823710469456,23.4260898147096,0.0,0.0,0.0
1. Energy,1999,1555433.6737141446,1614.2034791792785,22.92832391664024,0.0,0.0,0.0
1. Energy,2000,1588436.5603744534,1463.6403870361987,22.88141755441804,0.0,0.0,0.0
1. Energy,2001,1619486.9465684409,1357.5612259785341,22.89050751984962,0.0,0.0,0.0
1. Energy,2002,1575421.024279143,1288.9807245790735,22.41915917374564,0.0,0.0,0.0
1. Energy,2003,1599104.609172305,1160.8300576448125,21.69928575418064,0.0,0.0,0.0
1. Energy,2004,1602327.92956051,1130.517837514397,21.09743118926674,0.0,0.0,0.0
1. Energy,2005,1597852.2310819621,984.6239518261931,20.67569436216868,0.0,0.0,0.0
1. Energy,2006,1590235.9386696026,916.3476539774005,20.26350143864562,0.0,0.0,0.0
1. Energy,2007,1558574.2886175802,874.3650039889344,19.40875168044218,0.0,0.0,0.0
1. Energy,2008,1524904.0493363508,837.428112155315,17.59185804289542,0.0,0.0,0.0
1. Energy,2009,1395973.912800169,823.6060567009856,16.21864828238934,0.0,0.0,0.0
1. Energy,2010,1449570.5184150122,809.3637351407691,16.5638778458156,0.0,0.0,0.0
1. Energy,2011,1324541.4311870246,776.7300165521186,16.309087093107,0.0,0.0,0.0
1. Energy,2012,1378624.6395446952,774.5534729723697,17.47951104441096,0.0,0.0,0.0
1. Energy,2013,1338093.6050610102,681.7199616712783,17.30227191579182,0.0,0.0,0.0
1. Energy,2014,1220010.1245859992,646.5835756012417,16.82266496693602,0.0,0.0,0.0
1. Energy,2015,1179317.7447949094,612.6172388072376,16.97612318540328,0.0,0.0,0.0
1. Energy,2016,1124738.5224995739,535.1368297640004,15.95884603401064,0.0,0.0,0.0
1. Energy,2017,1088247.145716735,529.840702663493,15.8882174249114,0.0,0.0,0.0
1. Energy,2018,1067961.4790018878,529.2441949679767,16.1245084280026,0.0,0.0,0.0
1. Energy,2019,1025335.6948882088,511.9095463736952,15.90311653460366,0.0,0.0,0.0
1. Energy,2020,907842.0271624563,473.5022889069234,14.533385003923,0.0,0.0,0.0
1. Energy,2021,976496.6973851888,460.53710694025716,15.15799024506384,0.0,0.0,0.0
2. Industrial Processes,1990,118429.7338342543,15.774475922416741,82.92301215822388,12068.457467471051,1483.661308829743,0.05288630573414
2. Industrial Processes,1991,119506.30493312239,15.597506256273471,83.48915070361889,12582.825728160473,1243.0533429827867,0.05545701674504
2. Industrial Processes,1992,116486.32815601453,16.12011284516908,68.86358076015584,13102.55620347052,617.6405516478967,0.05827520672488
2. Industrial Processes,1993,113624.59075520808,15.20133893854023,56.125485383812865,13764.685728208276,538.7008464761537,0.05098350085002
2. Industrial Processes,1994,114991.33696679721,15.82465901235004,56.094393146586725,14537.303027826963,546.4092799665525,0.05294168695483
2. Industrial Processes,1995,112925.8883519875,13.66366699772291,50.981762731962206,15619.653424166469,533.2729159722217,0.05493050010729
2. Industrial Processes,1996,114389.31050617779,14.38909445410514,50.59759821899697,16429.438360306707,531.936901170432,0.0569484059461
2. Industrial Processes,1997,112893.49782499383,12.90299833962924,51.17546191438766,18356.108004685517,446.9412735815819,0.0558155329415
2. Industrial Processes,1998,112070.1208102144,10.90571571259619,52.090274210836235,15373.822893074395,435.31214191674064,0.05789710508732
2. Industrial Processes,1999,113440.88911268019,9.80444710947631,20.16086674211188,8525.733722629047,412.3438056658791,0.06525650286023
2. Industrial Processes,2000,112973.44758749995,9.19983292823389,20.76540033327415,6964.333102360221,518.6561076267035,0.07923086141182
2. Industrial Processes,2001,109035.07663335137,8.9157773556868,18.434343502607618,7638.82274626573,432.1746820816712,0.06279787276026
2. Industrial Processes,2002,99198.58999539579,8.88591447443826,13.05104345816596,8021.329617994803,365.481826428161,0.06436908062207
2. Industrial Processes,2003,102713.31358360467,9.781273036659911,12.29265954010951,8797.697475213592,321.2956096285321,0.0565918238966
2. Industrial Processes,2004,102510.56056544912,9.30912588259703,15.39592712207395,7917.718776473689,407.081950631323,0.04750396522097
2. Industrial Processes,2005,102232.19906731887,8.26769030640492,13.116563236306561,8677.174859644147,366.13838284421047,0.04480063068911
2. Industrial Processes,2006,99787.98184633849,8.34629370452454,11.26110004618806,9521.972974739245,362.0397963791365,0.03715701028218
2. Industrial Processes,2007,99699.9686167938,8.65079721437709,12.696497957527288,9964.982765223727,264.93432439613827,0.03533789528807
