GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Main_Category,Sub_Category,Detail_Category,Net CO2 emissions/removals (kt),CH4,N2O,HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt),Year
Total national emissions and removals,Total,Total National Emissions,Total national emissions and removals,568441.0823483546,3616.8859147390417,87.7989264444471,8677.174859644147,366.13838284421047,0.04480063068911,2005
1. Energy,1. Energy,Other Energy,1. Energy,533765.6345130343,492.31197591309655,10.33784718108434,,,,2005
A. Fuel combustion     Reference approach(2),1. Energy,1.A Fuel Combustion,1.A Reference Approach,529805.0368135716,,,,,,2005
                                           Sectoral approach(2),1. Energy,1.A Fuel Combustion,1.A Sectoral Approach,527767.0914892529,56.34581935137691,10.19032271811935,,,,2005
1.  Energy industries,Uncategorized,Uncategorized,1.  Energy industries,213862.09407176732,13.82099701742705,4.04662244990484,,,,2005
2.  Manufacturing industries and construction                          ,2. Industrial Processes,Other Industrial,2.  Manufacturing industries and construction,66049.36977833149,2.89438819095705,0.79590702398832,,,,2005
3.  Transport,3. Agriculture,Other Agriculture,3.  Transport,131936.74624610224,15.86533291667078,4.5564887933769,,,,2005
4.  Other sectors,4. LULUCF,Other LULUCF,4.  Other sectors,113072.54980830329,23.69120376610375,0.68835811581667,,,,2005
5.  Other,5. Waste,Other Waste,5.  Other,2846.3315847485546,0.07389746021828,0.10294633503262,,,,2005
B. Fugitive emissions from fuels,Uncategorized,Uncategorized,B. Fugitive emissions from fuels,5998.543023781423,435.96615656171963,0.14752446296499,,,,2005
1.  Solid fuels,1. Energy,Other Energy,1.  Solid fuels,161.446352564963,154.7600592095866,0.0001429812,,,,2005
2.  Oil and natural gas and other emissions from energy production,1. Energy,Other Energy,2.  Oil and natural gas and other emissions from energy production,5837.096671216459,281.20609735213304,0.14738148176499,,,,2005
2.  Industrial processes and product use,2. Industrial Processes,Other Industrial,2.  Industrial processes and product use,36182.829288987385,5.37330211544787,12.32065621231824,8677.174859644147,366.13838284421047,0.04480063068911,2005
A.  Mineral industry,Uncategorized,Uncategorized,A.  Mineral industry,9021.22289645468,,,,,,2005
B.  Chemical industry,Uncategorized,Uncategorized,B.  Chemical industry,6380.462418097132,3.74248600458543,9.50985495045854,446.23983184,136.84720111050413,,2005
C.  Metal industry,Uncategorized,Uncategorized,C.  Metal industry,20265.218732113626,1.11663824469567,0.05628532346957,,103.85345696783337,0.0103364275,2005
D.  Non-energy products from fuels and solvent use ,1. Energy,Other Energy,D.  Non-energy products from fuels and solvent use,515.9252423219475,,,,,,2005
E.  Electronic industry ,Uncategorized,Uncategorized,E.  Electronic industry,,,,16.48511973542861,,,2005
F.  Product uses as substitutes for ODS,Uncategorized,Uncategorized,F.  Product uses as substitutes for ODS,,,,8214.449908068718,3.20394859362821,,2005
G.  Other product manufacture and use ,6. Other,Other,G.  Other product manufacture and use,,,2.75451593839013,,122.23377617224476,0.03446420318911,2005
H.  Other(3),6. Other,Other,H.  Other(3),,0.51417786616677,,,,,2005
