GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Main_Category,Sub_Category,Detail_Category,Net CO2 emissions/removals (kt),CH4,N2O,HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt),Year
Total national emissions and removals,Total,Total National Emissions,Total national emissions and removals,434008.9272177405,2287.2403627153226,76.4625576647936,13343.159754723687,219.21137511376557,0.01864851157775,2014
1. Energy,1. Energy,Other Energy,1. Energy,408165.494681147,323.29178780062085,8.41133248346801,,,,2014
A. Fuel combustion     Reference approach(2),1. Energy,1.A Fuel Combustion,1.A Reference Approach,402728.3684797576,,,,,,2014
                                           Sectoral approach(2),1. Energy,1.A Fuel Combustion,1.A Sectoral Approach,403731.52126716386,42.22807230475005,8.29355489061916,,,,2014
1.  Energy industries,Uncategorized,Uncategorized,1.  Energy industries,153340.51231150192,12.85110833519513,3.34189239888672,,,,2014
2.  Manufacturing industries and construction                          ,2. Industrial Processes,Other Industrial,2.  Manufacturing industries and construction,43321.61528138494,3.29406695436466,0.65407860538546,,,,2014
3.  Transport,3. Agriculture,Other Agriculture,3.  Transport,118899.41029237189,4.94307413331822,3.60647225340297,,,,2014
4.  Other sectors,4. LULUCF,Other LULUCF,4.  Other sectors,86151.12430448293,21.08642050618577,0.61874375481215,,,,2014
5.  Other,5. Waste,Other Waste,5.  Other,2018.8590774221564,0.05340237568627,0.07236787813186,,,,2014
B. Fugitive emissions from fuels,Uncategorized,Uncategorized,B. Fugitive emissions from fuels,4433.973413983125,281.06371549587084,0.11777759284885,,,,2014
1.  Solid fuels,1. Energy,Other Energy,1.  Solid fuels,435.48017418282745,67.27892902354053,0.00022096152,,,,2014
2.  Oil and natural gas and other emissions from energy production,1. Energy,Other Energy,2.  Oil and natural gas and other emissions from energy production,3998.4932398002984,213.7847864723303,0.11755663132885,,,,2014
2.  Industrial processes and product use,2. Industrial Processes,Other Industrial,2.  Industrial processes and product use,30180.1959719624,5.07755215305834,3.00564614677622,13343.159754723687,219.21137511376557,0.01864851157775,2014
A.  Mineral industry,Uncategorized,Uncategorized,A.  Mineral industry,6744.2218746675135,,,,,,2014
B.  Chemical industry,Uncategorized,Uncategorized,B.  Chemical industry,4332.062081979135,3.97544815804647,0.14093087544632,2.1328,92.41629165904197,,2014
C.  Metal industry,Uncategorized,Uncategorized,C.  Metal industry,18153.14527136814,0.89937009527039,0.04449565784704,2.03164,38.30344503590323,0.00448856,2014
D.  Non-energy products from fuels and solvent use ,1. Energy,Other Energy,D.  Non-energy products from fuels and solvent use,950.7667439476132,,,,,,2014
E.  Electronic industry ,Uncategorized,Uncategorized,E.  Electronic industry,,,,25.38848365083666,,,2014
F.  Product uses as substitutes for ODS,Uncategorized,Uncategorized,F.  Product uses as substitutes for ODS,,,,13313.60683107285,,,2014
G.  Other product manufacture and use ,6. Other,Other,G.  Other product manufacture and use,,,2.82021961348286,,88.49163841882037,0.01415995157775,2014
H.  Other(3),6. Other,Other,H.  Other(3),,0.20273389974148,,,,,2014
