GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Main_Category,Sub_Category,Detail_Category,Net CO2 emissions/removals (kt),CH4,N2O,HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt),Year
Total national emissions and removals,Total,Total National Emissions,Total national emissions and removals,375082.01874149445,2173.640425004562,74.68778488191973,12950.550048104113,134.94397124161105,0.0236165500735,2018
1. Energy,1. Energy,Other Energy,1. Energy,357387.2862083253,264.62209748398834,8.0622542140013,,,,2018
A. Fuel combustion     Reference approach(2),1. Energy,1.A Fuel Combustion,1.A Reference Approach,352713.40676049737,,,,,,2018
                                           Sectoral approach(2),1. Energy,1.A Fuel Combustion,1.A Sectoral Approach,352910.0224437842,48.35635016877593,7.93689969695842,,,,2018
1.  Energy industries,Uncategorized,Uncategorized,1.  Energy industries,94216.7936605546,15.23052962185879,2.42493181100187,,,,2018
2.  Manufacturing industries and construction                          ,2. Industrial Processes,Other Industrial,2.  Manufacturing industries and construction,42993.00953702823,4.31827925750813,0.8148589887454,,,,2018
3.  Transport,3. Agriculture,Other Agriculture,3.  Transport,122616.40440237251,3.85630583626321,3.96367997797953,,,,2018
4.  Other sectors,4. LULUCF,Other LULUCF,4.  Other sectors,91466.0561893254,24.9094310401268,0.67549323416537,,,,2018
5.  Other,5. Waste,Other Waste,5.  Other,1617.7586545034992,0.041804413019,0.05793568506625,,,,2018
B. Fugitive emissions from fuels,Uncategorized,Uncategorized,B. Fugitive emissions from fuels,4477.2637645410605,216.26574731521242,0.12535451704288,,,,2018
1.  Solid fuels,1. Energy,Other Energy,1.  Solid fuels,320.0718017820218,18.8250453219158,3.888972e-05,,,,2018
2.  Oil and natural gas and other emissions from energy production,1. Energy,Other Energy,2.  Oil and natural gas and other emissions from energy production,4157.191962759039,197.4407019932966,0.12531562732288,,,,2018
2.  Industrial processes and product use,2. Industrial Processes,Other Industrial,2.  Industrial processes and product use,21593.61456331843,2.49357550725442,2.94661755758381,12950.550048104113,134.94397124161105,0.0236165500735,2018
A.  Mineral industry,Uncategorized,Uncategorized,A.  Mineral industry,6341.687735646159,,,,,,2018
B.  Chemical industry,Uncategorized,Uncategorized,B.  Chemical industry,4594.485711280853,1.8043365172534,0.08895608266969,,45.8526985539094,,2018
C.  Metal industry,Uncategorized,Uncategorized,C.  Metal industry,10183.941291651568,0.47450194860817,0.02428095486082,3.44734,9.41428480658285,0.00666045,2018
D.  Non-energy products from fuels and solvent use ,1. Energy,Other Energy,D.  Non-energy products from fuels and solvent use,473.49982473985074,,,,,,2018
E.  Electronic industry ,Uncategorized,Uncategorized,E.  Electronic industry,,,,22.72143432653268,,,2018
F.  Product uses as substitutes for ODS,Uncategorized,Uncategorized,F.  Product uses as substitutes for ODS,,,,12924.381273777579,,,2018
G.  Other product manufacture and use ,6. Other,Other,G.  Other product manufacture and use,,,2.8333805200533,,79.67698788111879,0.0169561000735,2018
H.  Other(3),6. Other,Other,H.  Other(3),,0.21473704139285,,,,,2018
