GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),Sheet,Country,Year,Level
3.  Agriculture,1477.2971914016146,1003.9934445189139,52.23437363631907,Summary1.As2,GBR,2012,Sector
"4.  Land use, land-use change and forestry  (4)",-5655.68674023517,200.27644384829037,5.2132744917257,Summary1.As2,GBR,2012,Sector
5.  Waste,325.75056615844215,938.0312713033042,5.23667761836157,Summary1.As2,GBR,2012,Sector
