GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),Sheet,Country,Year,Level,Parent_Sector
A.  Enteric fermentation,,6768.443215160274,,Summary1.As2,USA,2003,Subsector,3.  Agriculture
B.  Manure management,,1924.334964470392,55.82831402997797,Summary1.As2,USA,2003,Subsector,3.  Agriculture
C.  Rice cultivation,,589.047414063718,,Summary1.As2,USA,2003,Subsector,3.  Agriculture
D.  Agricultural soils,,,1105.667969544121,Summary1.As2,USA,2003,Subsector,3.  Agriculture
F.  Field burning of agricultural residues,,19.75244456072268,0.739823624609,Summary1.As2,USA,2003,Subsector,3.  Agriculture
G. Liming,4585.766492797889,,,Summary1.As2,USA,2003,Subsector,3.  Agriculture
H. Urea application,3684.9782308506465,,,Summary1.As2,USA,2003,Subsector,3.  Agriculture
J.  Other ,,,,Summary1.As2,USA,2003,Subsector,3.  Agriculture
A. Forest land (4),-746984.1164673236,223.9398382242306,15.45492408237538,Summary1.As2,USA,2003,Subsector,3.  Agriculture
