GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),Unspecified mix of HFCs and PFCs(1),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),5158057.7664844105,,,,,,,Summary1.As1,USA,2018,Subsector,1. Energy
                                           Sectoral approach(2),5132629.35795965,446.1022102709214,162.33600346341362,,,,,Summary1.As1,USA,2018,Subsector,1. Energy
1.  Energy industries,1909266.6172723793,51.53102031291879,82.2997329086272,,,,,Summary1.As1,USA,2018,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,657411.6894999123,58.7207405626291,8.0473793087919,,,,,Summary1.As1,USA,2018,Subsector,1. Energy
3.  Transport,1795333.7576499041,101.71091405614943,65.70197696929455,,,,,Summary1.As1,USA,2018,Subsector,1. Energy
4.  Other sectors,584343.968469958,232.34325187618853,4.18887520291451,,,,,Summary1.As1,USA,2018,Subsector,1. Energy
5.  Other,186273.3250674969,1.7962834630355,2.09803907378544,,,,,Summary1.As1,USA,2018,Subsector,1. Energy
B. Fugitive emissions from fuels,72066.21367949805,11757.430691171017,0.16509791547023,,,,,Summary1.As1,USA,2018,Subsector,1. Energy
1.  Solid fuels,3141.4137971107416,2357.7090025714724,,,,,,Summary1.As1,USA,2018,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,68924.79988238729,9399.721688599544,0.16509791547023,,,,,Summary1.As1,USA,2018,Subsector,1. Energy
