GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),Unspecified mix of HFCs and PFCs(1),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),5783625.39604431,,,,,,,Summary1.As1,USA,2003,Subsector,1. Energy
                                           Sectoral approach(2),5770514.4263394205,475.2295293843611,270.7504580471157,,,,,Summary1.As1,USA,2003,Subsector,1. Energy
1.  Energy industries,2444930.002952935,32.52930468765618,93.05939218795075,,,,,Summary1.As1,USA,2003,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,710493.7739780452,64.33220653454042,9.03582552971669,,,,,Summary1.As1,USA,2003,Subsector,1. Energy
3.  Transport,1781052.2240659245,172.70134490868068,161.95204093381656,,,,,Summary1.As1,USA,2003,Subsector,1. Energy
4.  Other sectors,620534.905669883,201.9527058976608,4.11391562266204,,,,,Summary1.As1,USA,2003,Subsector,1. Energy
5.  Other,213503.5196726329,3.71396735582305,2.5892837729697,,,,,Summary1.As1,USA,2003,Subsector,1. Energy
B. Fugitive emissions from fuels,38566.55338291488,12240.102964093076,0.08691540029245,,,,,Summary1.As1,USA,2003,Subsector,1. Energy
1.  Solid fuels,3980.6529425796944,2845.2264870200697,,,,,,Summary1.As1,USA,2003,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,34585.90044033519,9394.876477073005,0.08691540029245,,,,,Summary1.As1,USA,2003,Subsector,1. Energy
