GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),Unspecified mix of HFCs and PFCs(1),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),5336748.530421096,,,,,,,Summary1.As1,USA,1996,Subsector,1. Energy
                                           Sectoral approach(2),5342214.881061796,589.0314316426507,278.50536095786595,,,,,Summary1.As1,USA,1996,Subsector,1. Energy
1.  Energy industries,2172129.6972460346,22.02768316067008,76.76342642369393,,,,,Summary1.As1,USA,1996,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,768946.6323931337,76.29934361880329,10.61290815946686,,,,,Summary1.As1,USA,1996,Subsector,1. Energy
3.  Transport,1594738.830629681,244.9133174530648,183.89492516768016,,,,,Summary1.As1,USA,1996,Subsector,1. Energy
4.  Other sectors,621364.1288163518,243.94022071539283,4.65930716624444,,,,,Summary1.As1,USA,1996,Subsector,1. Energy
5.  Other,185035.59197659526,1.85086669471962,2.57479404078057,,,,,Summary1.As1,USA,1996,Subsector,1. Energy
B. Fugitive emissions from fuels,41298.992021810525,13139.251598779787,0.07733669006147,,,,,Summary1.As1,USA,1996,Subsector,1. Energy
1.  Solid fuels,4495.816512326531,3441.854040150114,,,,,,Summary1.As1,USA,1996,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,36803.175509484,9697.397558629673,0.07733669006147,,,,,Summary1.As1,USA,1996,Subsector,1. Energy
