GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),Unspecified mix of HFCs and PFCs(1),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),5379772.715962719,,,,,,,Summary1.As1,USA,2009,Subsector,1. Energy
                                           Sectoral approach(2),5287283.783198734,451.5299144363079,221.30274216444502,,,,,Summary1.As1,USA,2009,Subsector,1. Energy
1.  Energy industries,2284477.7972792727,40.27798031250787,93.98049064872546,,,,,Summary1.As1,USA,2009,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,603126.1259810706,53.38087023633887,7.43051686922147,,,,,Summary1.As1,USA,2009,Subsector,1. Energy
3.  Transport,1665723.8229139782,133.1570871669719,113.41313504017036,,,,,Summary1.As1,USA,2009,Subsector,1. Energy
4.  Other sectors,564741.1932049858,221.90350524492573,4.18430352339707,,,,,Summary1.As1,USA,2009,Subsector,1. Energy
5.  Other,169214.8438194259,2.81047147556353,2.29429608293067,,,,,Summary1.As1,USA,2009,Subsector,1. Energy
B. Fugitive emissions from fuels,41081.51704804906,12868.300205520041,0.1033384306709,,,,,Summary1.As1,USA,2009,Subsector,1. Energy
1.  Solid fuels,3799.1553421693993,3448.7263175785774,,,,,,Summary1.As1,USA,2009,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,37282.361705879666,9419.573887941464,0.1033384306709,,,,,Summary1.As1,USA,2009,Subsector,1. Energy
