GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),Unspecified mix of HFCs and PFCs(1),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),5026358.364057565,,,,,,,Summary1.As1,USA,2019,Subsector,1. Energy
                                           Sectoral approach(2),4996498.493171601,454.40057329881364,156.67120340176294,,,,,Summary1.As1,USA,2019,Subsector,1. Energy
1.  Energy industries,1761980.6339861741,52.98665971795417,71.19493553416481,,,,,Summary1.As1,USA,2019,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,660357.2859711383,57.59196504228409,7.88134909882018,,,,,Summary1.As1,USA,2019,Subsector,1. Energy
3.  Transport,1798905.407265832,102.76445602242492,71.22505478673364,,,,,Summary1.As1,USA,2019,Subsector,1. Energy
4.  Other sectors,592379.8471427857,239.4347519570238,4.32687357615807,,,,,Summary1.As1,USA,2019,Subsector,1. Energy
5.  Other,182875.3188056708,1.62274055912665,2.04299040588624,,,,,Summary1.As1,USA,2019,Subsector,1. Energy
B. Fugitive emissions from fuels,88436.96676053153,11478.958648926116,0.19267826618565,,,,,Summary1.As1,USA,2019,Subsector,1. Energy
1.  Solid fuels,2992.317669724355,2129.407539087992,,,,,,Summary1.As1,USA,2019,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,85444.64909080717,9349.551109838125,0.19267826618565,,,,,Summary1.As1,USA,2019,Subsector,1. Energy
