GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),Sheet,Country,Year,Level,Parent_Sector
C. Grassland (4),-220.90559529483326,0.83973250336563,0.07691287580947,Summary1.As2,HUNGARY,2012,Subsector,"4.  Land use, land-use change and forestry  (4)"
D. Wetlands (4),57.65152642279596,,0.00425241488571,Summary1.As2,HUNGARY,2012,Subsector,"4.  Land use, land-use change and forestry  (4)"
E. Settlements (4),142.2590071627306,,0.0162550629554,Summary1.As2,HUNGARY,2012,Subsector,"4.  Land use, land-use change and forestry  (4)"
G. Harvested wood products ,-252.28152866608568,,,Summary1.As2,HUNGARY,2012,Subsector,"4.  Land use, land-use change and forestry  (4)"
A.  Solid waste disposal (5),,133.31504459951432,,Summary1.As2,HUNGARY,2012,Subsector,"4.  Land use, land-use change and forestry  (4)"
B.  Biological treatment of solid waste (5),,2.36274686215539,0.08983812,Summary1.As2,HUNGARY,2012,Subsector,"4.  Land use, land-use change and forestry  (4)"
C.  Incineration and open burning of waste (5),79.57091529366667,0.01562925606496,0.0052981715298,Summary1.As2,HUNGARY,2012,Subsector,"4.  Land use, land-use change and forestry  (4)"
