GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),PFCs(1),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
B.  Chemical industry,2248.953744878393,0.819490132,14.4149585,,,Summary1.As1,HUNGARY,1986,Subsector,2.  Industrial processes and product use
C.  Metal industry,4790.190799765474,0.45796030097186,,334.30124452994903,,Summary1.As1,HUNGARY,1986,Subsector,2.  Industrial processes and product use
D.  Non-energy products from fuels and solvent use ,224.3861825995983,,,,,Summary1.As1,HUNGARY,1986,Subsector,2.  Industrial processes and product use
G.  Other product manufacture and use ,,,0.53494842328661,,0.00031486156367,Summary1.As1,HUNGARY,1986,Subsector,2.  Industrial processes and product use
H.  Other(3),,,,,,Summary1.As1,HUNGARY,1986,Subsector,2.  Industrial processes and product use
