GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),Sheet,Country,Year,Level,Parent_Sector,HFCs(1) (kt CO2 equivalent),SF6 (kt)
2.  Manufacturing industries and construction                          ,1951.2210181226835,0.14762131367009,0.06622155851701,Summary1.As1,LATVIA,1994,Subsector,1. Energy,,
3.  Transport,2149.8971555192948,0.66560808026866,0.14788995415994,Summary1.As1,LATVIA,1994,Subsector,1. Energy,,
4.  Other sectors,2330.504254376682,11.61609493700662,0.24499484311323,Summary1.As1,LATVIA,1994,Subsector,1. Energy,,
B. Fugitive emissions from fuels,0.009431,8.127531,,Summary1.As1,LATVIA,1994,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,0.009431,8.127531,,Summary1.As1,LATVIA,1994,Subsector,1. Energy,,
A.  Mineral industry,108.05538690621506,,,Summary1.As1,LATVIA,1994,Subsector,1. Energy,,
C.  Metal industry,50.03536351246577,0.001659775,,Summary1.As1,LATVIA,1994,Subsector,1. Energy,,
G.  Other product manufacture and use ,,,0.01546106866952,Summary1.As1,LATVIA,1994,Subsector,2.  Industrial processes and product use,,
H.  Other(3),,,,Summary1.As1,LATVIA,1994,Subsector,2.  Industrial processes and product use,,
A. Fuel combustion     Reference approach(2),9214.778281153049,,,Summary1.As1,LATVIA,1995,Subsector,1. Energy,,
                                           Sectoral approach(2),8926.22636760873,13.04608935108675,0.44139627751403,Summary1.As1,LATVIA,1995,Subsector,1. Energy,,
1.  Energy industries,3417.272840635638,0.12185823811666,0.02614420381167,Summary1.As1,LATVIA,1995,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,1905.5799726846851,0.14378450629331,0.06315121662932,Summary1.As1,LATVIA,1995,Subsector,1. Energy,,
3.  Transport,2048.0578145275763,0.61867713519086,0.14899708280521,Summary1.As1,LATVIA,1995,Subsector,1. Energy,,
4.  Other sectors,1549.1381397608295,12.16172627148592,0.20293097426783,Summary1.As1,LATVIA,1995,Subsector,1. Energy,,
5.  Other,6.1776,4.32e-05,0.0001728,Summary1.As1,LATVIA,1995,Subsector,1. Energy,,
B. Fugitive emissions from fuels,0.009185,7.915046,,Summary1.As1,LATVIA,1995,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,0.009185,7.915046,,Summary1.As1,LATVIA,1995,Subsector,1. Energy,,
A.  Mineral industry,126.57337453124008,,,Summary1.As1,LATVIA,1995,Subsector,1. Energy,,
D.  Non-energy products from fuels and solvent use ,34.20574988682238,,,Summary1.As1,LATVIA,1995,Subsector,2.  Industrial processes and product use,,
F.  Product uses as substitutes for ODS,,,,Summary1.As1,LATVIA,1995,Subsector,2.  Industrial processes and product use,16.35314669980441,
G.  Other product manufacture and use ,,,0.01521570240105,Summary1.As1,LATVIA,1995,Subsector,2.  Industrial processes and product use,,7.60296e-06
H.  Other(3),,,,Summary1.As1,LATVIA,1995,Subsector,2.  Industrial processes and product use,,
A. Fuel combustion     Reference approach(2),9052.586093849824,,,Summary1.As1,LATVIA,1996,Subsector,1. Energy,,
                                           Sectoral approach(2),8993.532879860526,13.36813081289926,0.44508348813933,Summary1.As1,LATVIA,1996,Subsector,1. Energy,,
1.  Energy industries,3542.011827119245,0.15224680748659,0.03021974074866,Summary1.As1,LATVIA,1996,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,1862.2147157172287,0.15491386737954,0.05917808553796,Summary1.As1,LATVIA,1996,Subsector,1. Energy,,
3.  Transport,2013.7071458131384,0.59739212702499,0.14857107197614,Summary1.As1,LATVIA,1996,Subsector,1. Energy,,
4.  Other sectors,1572.3195614109134,12.46355504793814,0.20702273759657,Summary1.As1,LATVIA,1996,Subsector,1. Energy,,
5.  Other,3.2796298,2.296307e-05,9.185228e-05,Summary1.As1,LATVIA,1996,Subsector,1. Energy,,
B. Fugitive emissions from fuels,0.008851,7.626674,,Summary1.As1,LATVIA,1996,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,0.008851,7.626674,,Summary1.As1,LATVIA,1996,Subsector,1. Energy,,
A.  Mineral industry,138.8259505126498,,,Summary1.As1,LATVIA,1996,Subsector,1. Energy,,
D.  Non-energy products from fuels and solvent use ,33.97069769237697,,,Summary1.As1,LATVIA,1996,Subsector,2.  Industrial processes and product use,,
