GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),Sheet,Country,Year,Level,HFCs(1) (kt CO2 equivalent),SF6 (kt)
1. Energy,6827.017509187221,13.09330201275208,0.57194926954396,Summary1.As1,LATVIA,2012,Sector,,
2.  Industrial processes and product use,677.5518184886122,0.004182155,0.015191238598,Summary1.As1,LATVIA,2012,Sector,207.83569276895687,0.00034109092
1. Energy,6744.864420445745,13.10278902082062,0.58555555761051,Summary1.As1,LATVIA,2013,Sector,,
2.  Industrial processes and product use,607.0409717017473,0.00096595,0.0152501021675,Summary1.As1,LATVIA,2013,Sector,220.32153007705685,0.000372945532
1. Energy,6541.449956477431,14.01294487475987,0.59768927501888,Summary1.As1,LATVIA,2014,Sector,,
2.  Industrial processes and product use,607.539081542363,4.6255e-07,0.0150496801624,Summary1.As1,LATVIA,2014,Sector,233.52308189242083,0.000376223844
1. Energy,6714.044367729538,11.50729819127027,0.60255620093616,Summary1.As1,LATVIA,2015,Sector,,
2.  Industrial processes and product use,523.0819643711669,6.237955e-05,0.0150439272112,Summary1.As1,LATVIA,2015,Sector,243.1638057524871,0.00044377500208
1. Energy,6778.210472668203,12.06004915273722,0.58160791728872,Summary1.As1,LATVIA,2016,Sector,,
2.  Industrial processes and product use,402.7262842762016,,0.01434470117849,Summary1.As1,LATVIA,2016,Sector,263.49534593423243,0.000433819764
1. Energy,6695.388562850913,14.30661728597263,0.62022125510693,Summary1.As1,LATVIA,2017,Sector,,
2.  Industrial processes and product use,486.72532031009786,,0.01481635495124,Summary1.As1,LATVIA,2017,Sector,256.7997723456961,0.000452695904
1. Energy,7199.02991329338,11.90034756820431,0.65107779024726,Summary1.As1,LATVIA,2018,Sector,,
2.  Industrial processes and product use,619.0926846881702,,0.0149091538045,Summary1.As1,LATVIA,2018,Sector,251.5943777826354,0.000462428884
1. Energy,6975.707601106537,11.8591563417398,0.6361328005717,Summary1.As1,LATVIA,2019,Sector,,
2.  Industrial processes and product use,620.0400644522052,,0.014246042064,Summary1.As1,LATVIA,2019,Sector,243.3504905558012,0.000606205564
1. Energy,6320.0042706678405,11.10630159845936,0.62426524789537,Summary1.As1,LATVIA,2020,Sector,,
2.  Industrial processes and product use,608.8955106983059,,0.0121607362125,Summary1.As1,LATVIA,2020,Sector,236.9032146764107,0.000523542384
1. Energy,6554.1745050153895,11.17639039805971,0.64708908204172,Summary1.As1,LATVIA,2021,Sector,,
2.  Industrial processes and product use,602.9544384679938,,0.0126474733665,Summary1.As1,LATVIA,2021,Sector,250.3414404580486,0.000514995504
3.  Agriculture,364.8421333333333,96.45436340407502,7.41476755024992,Summary1.As2,LATVIA,1990,Sector,,
"4.  Land use, land-use change and forestry  (4)",-13398.94715318476,18.6890608736,1.832334,Summary1.As2,LATVIA,1990,Sector,,
5.  Waste,0.57466181190392,26.67269227327936,0.2174405994055,Summary1.As2,LATVIA,1990,Sector,,
3.  Agriculture,229.66496666666663,92.50327512527755,6.89340426048673,Summary1.As2,LATVIA,1991,Sector,,
"4.  Land use, land-use change and forestry  (4)",-13832.478535886286,18.4555337472,1.90587,Summary1.As2,LATVIA,1991,Sector,,
5.  Waste,0.59367444518038,27.84838602094563,0.21664400289747,Summary1.As2,LATVIA,1991,Sector,,
3.  Agriculture,36.23033333333333,76.50526278409905,5.32436426938091,Summary1.As2,LATVIA,1992,Sector,,
"4.  Land use, land-use change and forestry  (4)",-14312.227837632412,21.4228566208,1.93792,Summary1.As2,LATVIA,1992,Sector,,
5.  Waste,0.61268707845684,26.2715785163103,0.21482472791004,Summary1.As2,LATVIA,1992,Sector,,
3.  Agriculture,3.93323333333334,50.24700988897437,4.02265613293794,Summary1.As2,LATVIA,1993,Sector,,
"4.  Land use, land-use change and forestry  (4)",-14101.757365676469,18.5335704944,1.912934,Summary1.As2,LATVIA,1993,Sector,,
5.  Waste,0.6316997117333,23.3482402044264,0.20577080596103,Summary1.As2,LATVIA,1993,Sector,,
3.  Agriculture,2.43466666666666,44.1028898061762,3.56789610262482,Summary1.As2,LATVIA,1994,Sector,,
"4.  Land use, land-use change and forestry  (4)",-16998.50958770661,18.412228368,1.913798,Summary1.As2,LATVIA,1994,Sector,,
5.  Waste,0.65071234500976,22.90085742248879,0.19404301710778,Summary1.As2,LATVIA,1994,Sector,,
3.  Agriculture,1.91216666666667,42.98516014342659,3.11304584187772,Summary1.As2,LATVIA,1995,Sector,,
"4.  Land use, land-use change and forestry  (4)",-15871.516667935854,18.7384592416,1.919163,Summary1.As2,LATVIA,1995,Sector,,
5.  Waste,0.66972497828622,23.32031991482113,0.18437918829754,Summary1.As2,LATVIA,1995,Sector,,
3.  Agriculture,1.49233333333334,41.1371419441792,3.13316814953881,Summary1.As2,LATVIA,1996,Sector,,
"4.  Land use, land-use change and forestry  (4)",-16039.383871105583,18.7389411152,1.925183,Summary1.As2,LATVIA,1996,Sector,,
5.  Waste,0.68873761156268,23.66295933544228,0.16519619494645,Summary1.As2,LATVIA,1996,Sector,,
3.  Agriculture,1.32146666666666,40.25558289966853,3.14861401025464,Summary1.As2,LATVIA,1997,Sector,,
"4.  Land use, land-use change and forestry  (4)",-14273.057031690152,18.7914349888,1.928721,Summary1.As2,LATVIA,1997,Sector,,
5.  Waste,0.70775024483914,24.31494021825891,0.16037927880899,Summary1.As2,LATVIA,1997,Sector,,
3.  Agriculture,3.30403333333334,37.45847758892602,3.02677318506327,Summary1.As2,LATVIA,1998,Sector,,
"4.  Land use, land-use change and forestry  (4)",-13324.093443732329,18.7569118624,1.935053,Summary1.As2,LATVIA,1998,Sector,,
5.  Waste,0.7267628781156,24.76321437964032,0.15553066492525,Summary1.As2,LATVIA,1998,Sector,,
3.  Agriculture,3.3605,32.28938822008638,2.8277904434078,Summary1.As2,LATVIA,1999,Sector,,
"4.  Land use, land-use change and forestry  (4)",-9680.126378313378,19.823149736,1.948194,Summary1.As2,LATVIA,1999,Sector,,
5.  Waste,0.7501461,25.11840431997708,0.15285461710857,Summary1.As2,LATVIA,1999,Sector,,
3.  Agriculture,6.02433333333333,32.46867526926713,2.88832854791072,Summary1.As2,LATVIA,2000,Sector,,
"4.  Land use, land-use change and forestry  (4)",-12901.36064622497,19.1010226096,1.944928,Summary1.As2,LATVIA,2000,Sector,,
5.  Waste,1.1886028,25.86248844478255,0.14811305348343,Summary1.As2,LATVIA,2000,Sector,,
3.  Agriculture,2.1747,34.31032502779289,3.11946297607047,Summary1.As2,LATVIA,2001,Sector,,
"4.  Land use, land-use change and forestry  (4)",-13376.61078193299,17.9049624832,1.935983,Summary1.As2,LATVIA,2001,Sector,,
5.  Waste,2.3645083,26.60819686840783,0.14752205015086,Summary1.As2,LATVIA,2001,Sector,,
3.  Agriculture,19.53636666666667,33.98822377951843,2.99346326924039,Summary1.As2,LATVIA,2002,Sector,,
"4.  Land use, land-use change and forestry  (4)",-11697.71331671892,19.0710183568,1.951466,Summary1.As2,LATVIA,2002,Sector,,
5.  Waste,0.30168831,25.79264558577383,0.15057093489714,Summary1.As2,LATVIA,2002,Sector,,
3.  Agriculture,26.08246666666666,33.99291728537872,3.11706990589899,Summary1.As2,LATVIA,2003,Sector,,
"4.  Land use, land-use change and forestry  (4)",-11265.342050349336,18.4528442304,1.948218,Summary1.As2,LATVIA,2003,Sector,,
5.  Waste,0.36872561,24.52293435818207,0.154457322,Summary1.As2,LATVIA,2003,Sector,,
3.  Agriculture,2.4332,32.89163949831916,3.03937674684613,Summary1.As2,LATVIA,2004,Sector,,
"4.  Land use, land-use change and forestry  (4)",-7551.55437145834,18.422976104,1.949137,Summary1.As2,LATVIA,2004,Sector,,
5.  Waste,0.44555225,23.27639210650937,0.152836981,Summary1.As2,LATVIA,2004,Sector,,
3.  Agriculture,2.9381,33.90618074279932,3.16424746749549,Summary1.As2,LATVIA,2005,Sector,,
