GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),Sheet,Country,Year,Level,HFCs(1) (kt CO2 equivalent),SF6 (kt),PFCs(1)
2.  Industrial processes and product use,19316.297643,0.41202,0.4329,Summary1.As1,KAZAKHSTAN,2011,Sector,1144.648974385153,7.6728e-05,529.87043
1. Energy,226870.03272569628,1061.9884430162697,4.4237024002405,Summary1.As1,KAZAKHSTAN,2012,Sector,,,
2.  Industrial processes and product use,19468.382122,0.35794,0.3214,Summary1.As1,KAZAKHSTAN,2012,Sector,1259.5725250986548,8.0115e-05,530.26025
1. Energy,233179.3387495668,1088.2846050509247,4.48879789923831,Summary1.As1,KAZAKHSTAN,2013,Sector,,,
2.  Industrial processes and product use,21977.734927,0.32312,0.343,Summary1.As1,KAZAKHSTAN,2013,Sector,1328.2196652793807,8.4442e-05,236.45209
1. Energy,252140.2911667008,1105.7668339264872,4.79380757742557,Summary1.As1,KAZAKHSTAN,2014,Sector,,,
2.  Industrial processes and product use,22142.406557,0.39034,0.5441,Summary1.As1,KAZAKHSTAN,2014,Sector,1619.8685950891506,8.8108e-05,199.76373
1. Energy,254965.94877761527,1062.1919893565914,4.34926753379255,Summary1.As1,KAZAKHSTAN,2015,Sector,,,
2.  Industrial processes and product use,23688.604432,0.38293,0.6019,Summary1.As1,KAZAKHSTAN,2015,Sector,1698.5359490201456,8.8284e-05,196.66117
1. Energy,254963.5476634316,1040.5193541405802,4.36775156660096,Summary1.As1,KAZAKHSTAN,2016,Sector,,,
2.  Industrial processes and product use,22682.060488,0.40901,0.6606,Summary1.As1,KAZAKHSTAN,2016,Sector,1740.314641299654,9.0424e-05,209.06524
1. Energy,270155.1056094357,1126.8793820212954,4.59659421902691,Summary1.As1,KAZAKHSTAN,2017,Sector,,,
2.  Industrial processes and product use,23292.056328,0.39139,0.6966,Summary1.As1,KAZAKHSTAN,2017,Sector,1968.387042175841,9.196926e-05,84.05921
1. Energy,285075.20182899944,1186.9952026919436,4.74063034455074,Summary1.As1,KAZAKHSTAN,2018,Sector,,,
2.  Industrial processes and product use,22075.069827,0.36349,0.6784,Summary1.As1,KAZAKHSTAN,2018,Sector,2119.4987393635147,9.439933e-05,127.77904
1. Energy,251962.034800264,1162.6986759067377,4.52320641425973,Summary1.As1,KAZAKHSTAN,2019,Sector,,,
2.  Industrial processes and product use,23314.516086,0.4026,0.6538,Summary1.As1,KAZAKHSTAN,2019,Sector,2258.3613396222704,0.0001017,12.66969
1. Energy,231173.8095530218,1083.6477139721094,4.15238261665086,Summary1.As1,KAZAKHSTAN,2020,Sector,,,
2.  Industrial processes and product use,24281.689089,0.43985,0.6573,Summary1.As1,KAZAKHSTAN,2020,Sector,2529.750826065392,0.0001011,10.75381
1. Energy,231012.86006551504,1187.6655724147893,4.12082467837765,Summary1.As1,KAZAKHSTAN,2021,Sector,,,
2.  Industrial processes and product use,24125.853823,0.41335,0.7691982,Summary1.As1,KAZAKHSTAN,2021,Sector,2706.490723278512,0.000104,9.64584
3.  Agriculture,104.4,1121.65646,52.73537,Summary1.As2,KAZAKHSTAN,1990,Sector,,,
"4.  Land use, land-use change and forestry  (4)",-6865.340000000007,0.54,1.1934,Summary1.As2,KAZAKHSTAN,1990,Sector,,,
5.  Waste,,142.99,0.89,Summary1.As2,KAZAKHSTAN,1990,Sector,,,
3.  Agriculture,91.36,1093.05333,64.74141,Summary1.As2,KAZAKHSTAN,1991,Sector,,,
"4.  Land use, land-use change and forestry  (4)",-6614.11333333334,0.76,1.206,Summary1.As2,KAZAKHSTAN,1991,Sector,,,
5.  Waste,,142.198,0.89,Summary1.As2,KAZAKHSTAN,1991,Sector,,,
3.  Agriculture,78.31,1072.78594,83.0458,Summary1.As2,KAZAKHSTAN,1992,Sector,,,
"4.  Land use, land-use change and forestry  (4)",-6508.533333333339,0.55,1.194,Summary1.As2,KAZAKHSTAN,1992,Sector,,,
5.  Waste,,137.752,0.91,Summary1.As2,KAZAKHSTAN,1992,Sector,,,
3.  Agriculture,65.27,1048.46347,92.45732,Summary1.As2,KAZAKHSTAN,1993,Sector,,,
