GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),Unspecified mix of HFCs and PFCs(1),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),309760.71901152184,,,,,,,Summary1.As1,ITALY,2021,Subsector,1. Energy
                                           Sectoral approach(2),319646.2006029306,120.9381072622892,15.44043252187125,,,,,Summary1.As1,ITALY,2021,Subsector,1. Energy
1.  Energy industries,86008.66362719343,4.6587571713738,1.09001382608986,,,,,Summary1.As1,ITALY,2021,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,52790.84112343776,11.59760249173873,2.82202233800368,,,,,Summary1.As1,ITALY,2021,Subsector,1. Energy
3.  Transport,102200.1136057466,7.7614611594659,3.25425397232289,,,,,Summary1.As1,ITALY,2021,Subsector,1. Energy
4.  Other sectors,78347.12442620637,96.88236886971077,8.24944159545482,,,,,Summary1.As1,ITALY,2021,Subsector,1. Energy
5.  Other,299.45782034648226,0.03791757,0.02470079,,,,,Summary1.As1,ITALY,2021,Subsector,1. Energy
B. Fugitive emissions from fuels,1815.6323729455155,138.7400535896037,0.02866513115218,,,,,Summary1.As1,ITALY,2021,Subsector,1. Energy
1.  Solid fuels,,0.99644327497817,,,,,,Summary1.As1,ITALY,2021,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,1815.6323729455155,137.74361031462553,0.02866513115218,,,,,Summary1.As1,ITALY,2021,Subsector,1. Energy
