GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),Unspecified mix of HFCs and PFCs(1),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),434671.04622613813,,,,,,,Summary1.As1,ITALY,2001,Subsector,1. Energy
                                           Sectoral approach(2),440179.8235143535,93.25397566459193,18.1576668333863,,,,,Summary1.As1,ITALY,2001,Subsector,1. Energy
1.  Energy industries,142817.6248189057,5.47080006509261,1.60714284278667,,,,,Summary1.As1,ITALY,2001,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,90272.27082649234,5.77861660020986,4.48052747236525,,,,,Summary1.As1,ITALY,2001,Subsector,1. Energy
3.  Transport,123453.30489181259,29.27367684634304,5.45007018916381,,,,,Summary1.As1,ITALY,2001,Subsector,1. Energy
4.  Other sectors,83268.3195724505,52.64280072647584,6.58876067318822,,,,,Summary1.As1,ITALY,2001,Subsector,1. Energy
5.  Other,368.303404692334,0.08808142647059,0.03116565588235,,,,,Summary1.As1,ITALY,2001,Subsector,1. Energy
B. Fugitive emissions from fuels,3070.8726671440413,298.18008914647527,0.04167087683269,,,,,Summary1.As1,ITALY,2001,Subsector,1. Energy
1.  Solid fuels,0.39280788482954,4.323665,,,,,,Summary1.As1,ITALY,2001,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,3070.479859259212,293.85642414647526,0.04167087683269,,,,,Summary1.As1,ITALY,2001,Subsector,1. Energy
