GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),Unspecified mix of HFCs and PFCs(1),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),282226.80625749944,,,,,,,Summary1.As1,ITALY,2020,Subsector,1. Energy
                                           Sectoral approach(2),286963.90769688966,112.26476195991162,14.14061483825979,,,,,Summary1.As1,ITALY,2020,Subsector,1. Energy
1.  Energy industries,81212.42264388545,4.70278397536873,1.09231740431119,,,,,Summary1.As1,ITALY,2020,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,44899.295190724886,11.00975888837988,2.35512511821654,,,,,Summary1.As1,ITALY,2020,Subsector,1. Energy
3.  Transport,85640.23671357935,6.94640912174975,2.73510468800585,,,,,Summary1.As1,ITALY,2020,Subsector,1. Energy
4.  Other sectors,74586.79442139492,89.52642610088385,7.90861528360856,,,,,Summary1.As1,ITALY,2020,Subsector,1. Energy
5.  Other,625.1587273050777,0.07938387352941,0.04945234411765,,,,,Summary1.As1,ITALY,2020,Subsector,1. Energy
B. Fugitive emissions from fuels,2112.355343414707,145.49285684419647,0.02714977853694,,,,,Summary1.As1,ITALY,2020,Subsector,1. Energy
1.  Solid fuels,,1.02787550209208,,,,,,Summary1.As1,ITALY,2020,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,2112.355343414707,144.4649813421044,0.02714977853694,,,,,Summary1.As1,ITALY,2020,Subsector,1. Energy
