GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),Unspecified mix of HFCs and PFCs(1),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),418520.6627128499,,,,,,,Summary1.As1,ITALY,1998,Subsector,1. Energy
                                           Sectoral approach(2),431818.61265770544,108.16406838504894,21.66745610610833,,,,,Summary1.As1,ITALY,1998,Subsector,1. Energy
1.  Energy industries,138233.57753126096,8.13429847446104,1.58820133136791,,,,,Summary1.As1,ITALY,1998,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,95514.26911577284,6.67670962116626,4.34303228003761,,,,,Summary1.As1,ITALY,1998,Subsector,1. Energy
3.  Transport,118881.46965021793,37.17033196293445,9.00992617123752,,,,,Summary1.As1,ITALY,1998,Subsector,1. Energy
4.  Other sectors,78112.1649530541,56.02458666060484,6.55690597993588,,,,,Summary1.As1,ITALY,1998,Subsector,1. Energy
5.  Other,1077.1314073996102,0.15814166588235,0.16939034352941,,,,,Summary1.As1,ITALY,1998,Subsector,1. Energy
B. Fugitive emissions from fuels,3886.826803254708,330.98117773310656,0.04330310511065,,,,,Summary1.As1,ITALY,1998,Subsector,1. Energy
1.  Solid fuels,0.00430096718957,2.65466035828297,,,,,,Summary1.As1,ITALY,1998,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,3886.822502287518,328.3265173748236,0.04330310511065,,,,,Summary1.As1,ITALY,1998,Subsector,1. Energy
