GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),Unspecified mix of HFCs and PFCs(1),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),339118.75142712676,,,,,,,Summary1.As1,ITALY,2013,Subsector,1. Energy
                                           Sectoral approach(2),350546.4159813464,124.48745831920505,16.03442724346305,,,,,Summary1.As1,ITALY,2013,Subsector,1. Energy
1.  Energy industries,108537.55314761131,5.41095786165835,1.66733226806007,,,,,Summary1.As1,ITALY,2013,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,55702.363557891535,11.52567131593054,2.81466141740566,,,,,Summary1.As1,ITALY,2013,Subsector,1. Energy
3.  Transport,103303.95984805128,10.06173368550045,3.17821369497686,,,,,Summary1.As1,ITALY,2013,Subsector,1. Energy
4.  Other sectors,82417.71001968205,97.43452041552746,8.24043159066752,,,,,Summary1.As1,ITALY,2013,Subsector,1. Energy
5.  Other,584.8294081101956,0.05457504058824,0.13378827235294,,,,,Summary1.As1,ITALY,2013,Subsector,1. Energy
B. Fugitive emissions from fuels,2701.607306209676,245.48340519536055,0.03215758074758,,,,,Summary1.As1,ITALY,2013,Subsector,1. Energy
1.  Solid fuels,0.20629478843566,2.328155,,,,,,Summary1.As1,ITALY,2013,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,2701.4010114212406,243.15525019536057,0.03215758074758,,,,,Summary1.As1,ITALY,2013,Subsector,1. Energy
