GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),Unspecified mix of HFCs and PFCs(1),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),442069.1961971607,,,,,,,Summary1.As1,ITALY,2007,Subsector,1. Energy
                                           Sectoral approach(2),458303.7898088928,121.76737888289726,19.11852855632606,,,,,Summary1.As1,ITALY,2007,Subsector,1. Energy
1.  Energy industries,158483.30392562164,5.33544803716004,1.82497124429679,,,,,Summary1.As1,ITALY,2007,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,89775.39903314676,6.88375714836599,4.93762723531099,,,,,Summary1.As1,ITALY,2007,Subsector,1. Energy
3.  Transport,128175.20144503638,16.1530600415048,3.80786725849837,,,,,Summary1.As1,ITALY,2007,Subsector,1. Energy
4.  Other sectors,80948.18280984405,93.2815627870429,8.32145071292579,,,,,Summary1.As1,ITALY,2007,Subsector,1. Energy
5.  Other,921.7025952439868,0.11355086882353,0.22661210529412,,,,,Summary1.As1,ITALY,2007,Subsector,1. Energy
B. Fugitive emissions from fuels,2526.2901186339814,258.09036855875524,0.04440010003191,,,,,Summary1.As1,ITALY,2007,Subsector,1. Energy
1.  Solid fuels,0.44650104894293,4.53363,,,,,,Summary1.As1,ITALY,2007,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,2525.8436175850384,253.55673855875526,0.04440010003191,,,,,Summary1.As1,ITALY,2007,Subsector,1. Energy
