GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),Unspecified mix of HFCs and PFCs(1),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),400766.4026296384,,,,,,,Summary1.As1,ITALY,2010,Subsector,1. Energy
                                           Sectoral approach(2),411945.0670800203,126.40882288795979,17.89774153175959,,,,,Summary1.As1,ITALY,2010,Subsector,1. Energy
1.  Energy industries,136885.38897573395,4.89561362401079,1.67608143863287,,,,,Summary1.As1,ITALY,2010,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,68899.42780569018,5.68038259856019,3.7700968039248,,,,,Summary1.As1,ITALY,2010,Subsector,1. Energy
3.  Transport,114627.94008058573,12.42695847011633,3.5209875511846,,,,,Summary1.As1,ITALY,2010,Subsector,1. Energy
4.  Other sectors,90880.41385815901,103.3412046505666,8.79984281919379,,,,,Summary1.As1,ITALY,2010,Subsector,1. Energy
5.  Other,651.8963598514486,0.06466354470588,0.13073291882353,,,,,Summary1.As1,ITALY,2010,Subsector,1. Energy
B. Fugitive emissions from fuels,2376.9608602083404,260.31307795353234,0.03973690451608,,,,,Summary1.As1,ITALY,2010,Subsector,1. Energy
1.  Solid fuels,0.28542155660276,3.442235,,,,,,Summary1.As1,ITALY,2010,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,2376.6754386517377,256.87084295353236,0.03973690451608,,,,,Summary1.As1,ITALY,2010,Subsector,1. Energy
