GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),Sheet,Country,Year,Level,Parent_Sector
C.  Incineration and open burning of waste (5),223.67717275980004,2.17174130820316,0.07876033968441,Summary1.As2,ITALY,2013,Subsector,5.  Waste
D.  Wastewater treatment and discharge,,99.7071865585347,4.38054412241326,Summary1.As2,ITALY,2013,Subsector,5.  Waste
