GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Main_Category,Sub_Category,Detail_Category,CO2 (kt),CH4,N2O,Year
3.  Agriculture,Total national emissions and removals,Agriculture,3.  Agriculture,972.7244192167443,1135.3312487707701,59.65839795831264,2000
A.  Enteric fermentation,Total national emissions and removals,Agriculture,A.  Enteric fermentation,,961.2429804953747,,2000
B.  Manure management,Total national emissions and removals,Agriculture,B.  Manure management,,163.22545804680806,11.22586829166089,2000
D.  Agricultural soils,Total national emissions and removals,Agriculture,D.  Agricultural soils,,,47.89173855553407,2000
G. Liming,Total national emissions and removals,Agriculture,G. Liming,827.425445409049,,,2000
H. Urea application,Total national emissions and removals,Agriculture,H. Urea application,142.29494956550886,,,2000
J.  Other ,Total national emissions and removals,Agriculture,J.  Other ,3.00402424218649,10.86281022858742,0.54079111111768,2000
"4.  Land use, land-use change and forestry  (4)",Total national emissions and removals,"Land use, land-use change and forestry","4.  Land use, land-use change and forestry  (4)",-881.9565978461866,197.43298536900156,6.341672087864,2000
A. Forest land (4),Total national emissions and removals,"Land use, land-use change and forestry",A. Forest land (4),-16792.195128512816,3.91219633874828,1.68836774165767,2000
B. Cropland (4),Total national emissions and removals,"Land use, land-use change and forestry",B. Cropland (4),14127.289291634956,11.73367703341898,2.03293880953541,2000
C. Grassland (4),Total national emissions and removals,"Land use, land-use change and forestry",C. Grassland (4),-478.72410798537567,98.21186716258342,0.1058951843825,2000
D. Wetlands (4),Total national emissions and removals,"Land use, land-use change and forestry",D. Wetlands (4),693.1241603683898,82.9817296139997,0.07368827012673,2000
E. Settlements (4),Total national emissions and removals,"Land use, land-use change and forestry",E. Settlements (4),4344.7836294110375,0.07945151415683,1.1871696126875,2000
G. Harvested wood products ,Total national emissions and removals,"Land use, land-use change and forestry",G. Harvested wood products ,-2776.2344427623766,,,2000
H. Other  (4),Total national emissions and removals,"Land use, land-use change and forestry",H. Other  (4),,0.51406370609434,0.41311328287149,2000
5.  Waste,Total national emissions and removals,Waste,5.  Waste,709.6248054484236,2369.6580134540804,4.12757377325753,2000
A.  Solid waste disposal (5),Total national emissions and removals,Waste,A.  Solid waste disposal (5),,2281.3947577472604,,2000
B.  Biological treatment of solid waste (5),Total national emissions and removals,Waste,B.  Biological treatment of solid waste (5),,9.96816115550442,0.5976222988727,2000
C.  Incineration and open burning of waste (5),Total national emissions and removals,Waste,C.  Incineration and open burning of waste (5),709.6248054484236,2.99776458608076,0.28214563794894,2000
D.  Wastewater treatment and discharge,Total national emissions and removals,Waste,D.  Wastewater treatment and discharge,,75.29732996523482,3.24780583643589,2000
