GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Main_Category,Sub_Category,Detail_Category,CO2 (kt),CH4,N2O,Year
3.  Agriculture,Total national emissions and removals,Agriculture,3.  Agriculture,1389.6220400746072,1157.9974090478333,62.97354595791011,1991
A.  Enteric fermentation,Total national emissions and removals,Agriculture,A.  Enteric fermentation,,975.9177750286402,,1991
B.  Manure management,Total national emissions and removals,Agriculture,B.  Manure management,,164.58572854685056,11.36037153210608,1991
D.  Agricultural soils,Total national emissions and removals,Agriculture,D.  Agricultural soils,,,50.85887784063269,1991
F.  Field burning of agricultural residues,Total national emissions and removals,Agriculture,F.  Field burning of agricultural residues,,6.56362189372771,0.17016797502258,1991
G. Liming,Total national emissions and removals,Agriculture,G. Liming,1016.4167639794517,,,1991
H. Urea application,Total national emissions and removals,Agriculture,H. Urea application,369.64186970555056,,,1991
J.  Other ,Total national emissions and removals,Agriculture,J.  Other ,3.56340638960483,10.93028357861486,0.58412861014876,1991
"4.  Land use, land-use change and forestry  (4)",Total national emissions and removals,"Land use, land-use change and forestry","4.  Land use, land-use change and forestry  (4)",3183.095061353885,198.7648820573357,7.15096975757703,1991
A. Forest land (4),Total national emissions and removals,"Land use, land-use change and forestry",A. Forest land (4),-14476.670770223727,3.69658268822828,1.65386711400932,1991
B. Cropland (4),Total national emissions and removals,"Land use, land-use change and forestry",B. Cropland (4),14225.703683698042,11.85994902427967,2.45531128662272,1991
C. Grassland (4),Total national emissions and removals,"Land use, land-use change and forestry",C. Grassland (4),-687.4543698384172,99.89774947808672,0.08439689022248,1991
D. Wetlands (4),Total national emissions and removals,"Land use, land-use change and forestry",D. Wetlands (4),697.0377785478196,82.64028011635197,0.07107656266983,1991
E. Settlements (4),Total national emissions and removals,"Land use, land-use change and forestry",E. Settlements (4),5321.860489882822,0.13994508456921,1.45143708485841,1991
G. Harvested wood products ,Total national emissions and removals,"Land use, land-use change and forestry",G. Harvested wood products ,-1897.381750712655,,,1991
H. Other  (4),Total national emissions and removals,"Land use, land-use change and forestry",H. Other  (4),,0.53037566581983,0.42246024075145,1991
5.  Waste,Total national emissions and removals,Waste,5.  Waste,1413.9562295202718,2533.9213916161984,3.31037496310122,1991
A.  Solid waste disposal (5),Total national emissions and removals,Waste,A.  Solid waste disposal (5),,2439.673052495284,,1991
B.  Biological treatment of solid waste (5),Total national emissions and removals,Waste,B.  Biological treatment of solid waste (5),,1.69967673201469,0.10172362530916,1991
C.  Incineration and open burning of waste (5),Total national emissions and removals,Waste,C.  Incineration and open burning of waste (5),1413.9562295202718,7.48621620662736,0.22446180759664,1991
D.  Wastewater treatment and discharge,Total national emissions and removals,Waste,D.  Wastewater treatment and discharge,,85.06244618227237,2.98418953019542,1991
