GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Main_Category,Sub_Category,Detail_Category,CO2 (kt),CH4,N2O,Year
3.  Agriculture,Total national emissions and removals,Agriculture,3.  Agriculture,1641.5733894450811,1052.549387921461,52.35699196873851,2007
A.  Enteric fermentation,Total national emissions and removals,Agriculture,A.  Enteric fermentation,,887.3320981033988,,2007
B.  Manure management,Total national emissions and removals,Agriculture,B.  Manure management,,155.49242563234714,10.30544851019885,2007
D.  Agricultural soils,Total national emissions and removals,Agriculture,D.  Agricultural soils,,,41.60676323742716,2007
G. Liming,Total national emissions and removals,Agriculture,G. Liming,1386.3679899186209,,,2007
H. Urea application,Total national emissions and removals,Agriculture,H. Urea application,252.19250404999846,,,2007
J.  Other ,Total national emissions and removals,Agriculture,J.  Other ,3.01289547646186,9.72486418571492,0.4447802211125,2007
"4.  Land use, land-use change and forestry  (4)",Total national emissions and removals,"Land use, land-use change and forestry","4.  Land use, land-use change and forestry  (4)",-4337.019740424854,199.26209407721763,5.61868066365788,2007
A. Forest land (4),Total national emissions and removals,"Land use, land-use change and forestry",A. Forest land (4),-18839.244608896533,4.14294667568457,1.66936474246298,2007
B. Cropland (4),Total national emissions and removals,"Land use, land-use change and forestry",B. Cropland (4),13217.494412997463,11.58435509065206,1.59186104677707,2007
C. Grassland (4),Total national emissions and removals,"Land use, land-use change and forestry",C. Grassland (4),-1104.838424297988,99.27481786809774,0.13751025798608,2007
D. Wetlands (4),Total national emissions and removals,"Land use, land-use change and forestry",D. Wetlands (4),616.8990772818406,83.59545194987113,0.07459706141008,2007
E. Settlements (4),Total national emissions and removals,"Land use, land-use change and forestry",E. Settlements (4),4046.200033349402,0.14128889091451,1.04874434163543,2007
G. Harvested wood products ,Total national emissions and removals,"Land use, land-use change and forestry",G. Harvested wood products ,-2273.5302308590362,,,2007
H. Other  (4),Total national emissions and removals,"Land use, land-use change and forestry",H. Other  (4),,0.52323360199762,0.39665976681756,2007
5.  Waste,Total national emissions and removals,Waste,5.  Waste,453.0504957286163,1600.5010866590949,4.60284643220396,2007
A.  Solid waste disposal (5),Total national emissions and removals,Waste,A.  Solid waste disposal (5),,1496.8076898346073,,2007
B.  Biological treatment of solid waste (5),Total national emissions and removals,Waste,B.  Biological treatment of solid waste (5),,19.63930074768659,1.16523656427849,2007
C.  Incineration and open burning of waste (5),Total national emissions and removals,Waste,C.  Incineration and open burning of waste (5),453.0504957286163,2.62857057887276,0.28300724863348,2007
D.  Wastewater treatment and discharge,Total national emissions and removals,Waste,D.  Wastewater treatment and discharge,,81.4255254979283,3.15460261929199,2007
