Main_Category,Sub_Category,Detail_Category,Year,CO2 (kt),CH4,N2O
Total national emissions and removals,Agriculture,A.  Enteric fermentation,2021,0.0,840.884762071076,0.0
Total national emissions and removals,Agriculture,B.  Manure management,1990,0.0,165.93408129716465,11.46756402078032
Total national emissions and removals,Agriculture,B.  Manure management,1991,0.0,164.58572854685056,11.36037153210608
Total national emissions and removals,Agriculture,B.  Manure management,1992,0.0,165.64526043191523,11.35796098664445
Total national emissions and removals,Agriculture,B.  Manure management,1993,0.0,167.4183534291007,11.39406334079226
Total national emissions and removals,Agriculture,B.  Manure management,1994,0.0,170.27113370271204,11.4598945082763
Total national emissions and removals,Agriculture,B.  Manure management,1995,0.0,168.49802033592374,11.4358865254303
Total national emissions and removals,Agriculture,B.  Manure management,1996,0.0,173.30826814280388,11.84862033377254
Total national emissions and removals,Agriculture,B.  Manure management,1997,0.0,173.30332686320406,12.02929450728553
Total national emissions and removals,Agriculture,B.  Manure management,1998,0.0,172.99614611488107,11.89334166424726
Total national emissions and removals,Agriculture,B.  Manure management,1999,0.0,170.1118943865644,11.55904303026542
Total national emissions and removals,Agriculture,B.  Manure management,2000,0.0,163.22545804680806,11.22586829166089
Total national emissions and removals,Agriculture,B.  Manure management,2001,0.0,158.01212708682624,10.8712401262127
Total national emissions and removals,Agriculture,B.  Manure management,2002,0.0,156.24934808649644,10.52977738072676
Total national emissions and removals,Agriculture,B.  Manure management,2003,0.0,156.4224305231209,10.56411960806682
Total national emissions and removals,Agriculture,B.  Manure management,2004,0.0,158.52439285298084,10.75811592756518
Total national emissions and removals,Agriculture,B.  Manure management,2005,0.0,156.92611791529484,10.69273070061971
Total national emissions and removals,Agriculture,B.  Manure management,2006,0.0,155.46588184397783,10.50731803692006
Total national emissions and removals,Agriculture,B.  Manure management,2007,0.0,155.49242563234714,10.30544851019885
Total national emissions and removals,Agriculture,B.  Manure management,2008,0.0,151.5976892257229,9.96949475693288
Total national emissions and removals,Agriculture,B.  Manure management,2009,0.0,150.87505398534887,9.91045937016322
Total national emissions and removals,Agriculture,B.  Manure management,2010,0.0,153.02824480943426,9.96812468411967
Total national emissions and removals,Agriculture,B.  Manure management,2011,0.0,151.80799416564977,9.76759007537927
Total national emissions and removals,Agriculture,B.  Manure management,2012,0.0,150.67491408637048,9.6536499322222
Total national emissions and removals,Agriculture,B.  Manure management,2013,0.0,151.68363803188157,9.63180742505951
Total national emissions and removals,Agriculture,B.  Manure management,2014,0.0,155.65866428635897,9.68617725738808
Total national emissions and removals,Agriculture,B.  Manure management,2015,0.0,155.6872303815765,9.66625102509933
Total national emissions and removals,Agriculture,B.  Manure management,2016,0.0,154.043630916629,9.64372940423149
Total national emissions and removals,Agriculture,B.  Manure management,2017,0.0,154.33807580374682,9.60527494523809
Total national emissions and removals,Agriculture,B.  Manure management,2018,0.0,152.28122264366718,9.48297588536446
Total national emissions and removals,Agriculture,B.  Manure management,2019,0.0,153.01418682071542,9.46724583823779
Total national emissions and removals,Agriculture,B.  Manure management,2020,0.0,151.82418440050117,9.35024990600951
Total national emissions and removals,Agriculture,B.  Manure management,2021,0.0,153.21983020239216,9.41021245275326
Total national emissions and removals,Agriculture,D.  Agricultural soils,1990,0.0,0.0,50.67324186235371
Total national emissions and removals,Agriculture,D.  Agricultural soils,1991,0.0,0.0,50.85887784063269
Total national emissions and removals,Agriculture,D.  Agricultural soils,1992,0.0,0.0,48.90404994535157
Total national emissions and removals,Agriculture,D.  Agricultural soils,1993,0.0,0.0,47.45275962672041
Total national emissions and removals,Agriculture,D.  Agricultural soils,1994,0.0,0.0,49.42064659652281
Total national emissions and removals,Agriculture,D.  Agricultural soils,1995,0.0,0.0,49.57119364145385
Total national emissions and removals,Agriculture,D.  Agricultural soils,1996,0.0,0.0,50.24793621390635
Total national emissions and removals,Agriculture,D.  Agricultural soils,1997,0.0,0.0,50.89895817596661
Total national emissions and removals,Agriculture,D.  Agricultural soils,1998,0.0,0.0,50.02567619993229
Total national emissions and removals,Agriculture,D.  Agricultural soils,1999,0.0,0.0,50.46471303003741
Total national emissions and removals,Agriculture,D.  Agricultural soils,2000,0.0,0.0,47.89173855553407
Total national emissions and removals,Agriculture,D.  Agricultural soils,2001,0.0,0.0,45.87948281843053
Total national emissions and removals,Agriculture,D.  Agricultural soils,2002,0.0,0.0,46.32372626049393
Total national emissions and removals,Agriculture,D.  Agricultural soils,2003,0.0,0.0,45.96784608778641
Total national emissions and removals,Agriculture,D.  Agricultural soils,2004,0.0,0.0,44.89162415443094
Total national emissions and removals,Agriculture,D.  Agricultural soils,2005,0.0,0.0,43.82048743001639
Total national emissions and removals,Agriculture,D.  Agricultural soils,2006,0.0,0.0,42.47977649803328
Total national emissions and removals,Agriculture,D.  Agricultural soils,2007,0.0,0.0,41.60676323742716
Total national emissions and removals,Agriculture,D.  Agricultural soils,2008,0.0,0.0,41.61939160327524
Total national emissions and removals,Agriculture,D.  Agricultural soils,2009,0.0,0.0,41.57608241700451
Total national emissions and removals,Agriculture,D.  Agricultural soils,2010,0.0,0.0,42.11211072426452
Total national emissions and removals,Agriculture,D.  Agricultural soils,2011,0.0,0.0,42.68826213090617
Total national emissions and removals,Agriculture,D.  Agricultural soils,2012,0.0,0.0,42.17752953737814
Total national emissions and removals,Agriculture,D.  Agricultural soils,2013,0.0,0.0,42.39531362738236
Total national emissions and removals,Agriculture,D.  Agricultural soils,2014,0.0,0.0,44.35218722362319
Total national emissions and removals,Agriculture,D.  Agricultural soils,2015,0.0,0.0,43.70519914909664
